Sant Llorenç des Cardassar;10722;3410;99;3410;10821;72174
Sencelles;525;443;0;443;525;6933
Binissalem;1146;575;0;575;1146;22617
Llubí;5797;419;0;419;5797;14278
Es Mercadal;42162;4135;0;4135;42162;60465
Escorca;4128;1508;0;1508;4128;6019
Alaior;5952;4072;0;4072;5952;49907
Esporles;16119;1491;0;1491;16119;33657
Algaida;3311;1588;409;1588;3720;23363
Sóller;3742;7667;0;7667;3742;42448
Artà;6225;2042;0;2042;6225;52809
Deià;889;1266;0;1266;889;5290
Andratx;6823;5601;0;5601;6823;84919
Ses Salines;1715;1961;14;1961;1729;34097
Es Migjorn Gran;2795;1302;0;1302;2795;10264
Llucmajor;11742;7210;0;7210;11742;165270
Santa Eugènia;2749;362;0;362;2749;6880
Lloret de Vistalegre;612;230;0;230;612;4093
Maó;13336;26968;466;26968;13802;92342
Marratxí;28895;4757;83;4757;28978;187432
Lloseta;2718;336;0;336;2718;14900
Sant Antoni de Portmany;127131;8729;66;8729;127197;170362
Sant Joan de Labritja;83435;2901;0;2901;83435;99834
Formentera;31339;2988;250;2988;31589;50744
Petra;999;928;0;928;999;14398
Ciutadella;17022;26008;19;26008;17041;135812
Santanyí;26911;20668;420;20668;27331;130858
Campos;6426;3024;0;3024;6426;69661
Palma;83356;21887;391;21887;83748;706829
Son Servera;8798;1981;185;1981;8984;48759
Ariany;378;316;0;316;378;9353
Alcúdia;12808;5094;113;5094;12921;95041
Santa Margalida;6340;2627;0;2627;6340;75425
Selva;2283;988;0;988;2283;14423
Vilafranca de Bonany;948;327;0;327;948;16505
Calvià;15760;15955;920;15955;16680;265581
Manacor;32231;18960;0;18960;32231;202845
Sant Lluís;2420;17344;0;17344;2420;70214
Capdepera;8001;4230;0;4230;8001;98424
Santa María del Camí;128;8648;0;8648;128;17671
Campanet;1665;524;0;524;1665;9614
Maria de la Salut;1445;394;0;394;1445;13230
Costitx;2436;234;0;234;2436;5141
Alaró;715;5219;0;5219;715;16239
Fornalutx;216;1310;142;1310;357;1373
Pollença;16164;13586;1382;13586;17547;82070
Sant Joan;2362;576;0;576;2362;11987
Puigpunyent;3867;695;0;695;3867;14557
Mancor de la Vall;787;237;0;237;787;5960
Felanitx;21287;4683;141;4683;21428;91389
Valldemossa;11047;2362;117;2362;11164;19699
Estellencs;2324;227;0;227;2324;4379
Sa Pobla;8441;1313;0;1313;8441;51701
Búger;236;188;0;188;236;4891
Montuïri;4293;723;0;723;4293;12211
Inca;7198;1796;0;1796;7198;64397
Santa Eulalia del Río;243503;6770;0;6770;243503;321624
Muro;3732;2294;0;2294;3732;40984
Sineu;4363;728;80;728;4443;19458
Banyalbufar;0;928;0;928;0;6247
Bunyola;3861;1754;0;1754;3861;40506
Ferreries;6541;2226;0;2226;6541;17134
Eivissa;16263;4235;28;4235;16291;78245
Porreres;1792;967;163;967;1956;15653
Sant Josep de sa Talaia;132844;8938;632;8938;133476;230280
Es Castell;61;7311;0;7311;61;28859
Consell;1441;363;0;363;1441;10738
