La Victoria de Acentejo;1656;885;0;885;1656;25236
Gáldar;1557;2733;89;2733;1646;96924
San Cristóbal de La Laguna;56839;17243;621;17243;57460;390423
Tejeda;525;1901;0;1901;525;12099
Los Silos;852;7087;0;7087;852;20628
Los Llanos de Aridane;17993;4732;0;4732;17993;64764
Garafía;12677;3507;0;3507;12677;14496
Agüimes;3114;6959;541;6959;3654;129517
Los Realejos;27573;4768;0;4768;27573;97104
Antigua;4431;2976;0;2976;4431;101845
Yaiza;3969;10778;25083;10778;29052;183320
Puntallana;7987;1611;0;1611;7987;13059
Tijarafe;14280;2731;0;2731;14280;26309
La Guancha;6243;926;0;926;6243;24255
Tegueste;4561;1049;0;1049;4561;42806
Tinajo;733;1503;0;1503;733;49466
Ingenio;553;2521;78;2521;631;100971
Arucas;1470;2667;0;2667;1470;91324
El Rosario;5445;13642;89;13642;5534;58458
Tuineje;10097;5000;465;5000;10562;65859
Santiago del Teide;3062;9281;0;9281;3062;30843
Santa Cruz de Tenerife;25970;26261;25;26261;25995;360905
Telde;2623;6987;158;6987;2782;263619
Garachico;6790;5107;0;5107;6790;23566
Valsequillo de Gran Canaria;640;1095;0;1095;640;50401
Güímar;12975;4862;0;4862;12975;58033
Frontera;1666;5775;74;5775;1740;20494
Santa María de Guía de Gran Canaria;303;2173;0;2173;303;41002
Arona;50256;10384;395;10384;50651;207610
Valle Gran Rey;2164;2807;321;2807;2485;16625
Puntagorda;6090;1963;0;1963;6090;24786
Fuencaliente de la Palma;8461;1661;0;1661;8461;17643
Teguise;1673;9800;2030;9800;3703;172354
San Miguel de Abona;36801;3100;0;3100;36801;91877
Tazacorte;2657;2038;0;2038;2657;10579
Mogán;1965;5736;0;5736;1965;84891
Moya;117;1125;0;1125;117;30665
Vallehermoso;11324;2964;2745;2964;14070;18507
Breña Baja;7767;3942;367;3942;8134;30719
Haría;323;2093;0;2093;323;47298
Santa Lucía de Tirajana;5492;2720;0;2720;5492;127564
Artenara;348;1196;0;1196;348;6599
San Andrés y Sauces;6982;1241;0;1241;6982;18045
Hermigua;6361;1868;53;1868;6414;6986
Villa de Mazo;25114;2613;0;2613;25114;31947
Adeje;34672;11595;154;11595;34825;139671
Firgas;289;828;0;828;289;32837
Granadilla de Abona;32498;8250;6678;8250;39177;147734
El Pinar de El Hierro;7489;3107;0;3107;7489;18123
Pájara;3696;10579;1074;10579;4771;66158
Buenavista del Norte;6876;9568;1060;9568;7935;24665
Santa Úrsula;4071;6434;0;6434;4071;58968
El Paso;13555;2728;0;2728;13555;49159
Valverde;10044;9137;107;9137;10151;42768
Guía de Isora;9684;19031;0;19031;9684;62245
San Juan de la Rambla;7131;1318;0;1318;7131;21192
Betancuria;2195;1709;0;1709;2195;8474
Teror;234;1268;0;1268;234;35370
Breña Alta;18134;2112;0;2112;18134;44290
Icod de los Vinos;56266;3062;0;3062;56266;104482
Alajeró;11700;1450;614;1450;12313;16638
San Sebastián de la Gomera;16888;2812;1510;2812;18398;32793
Tacoronte;16902;1546;0;1546;16902;90628
Valleseco;191;848;0;848;191;18864
La Oliva;39430;7164;529;7164;39959;222965
Puerto de la Cruz;5945;5034;0;5034;5945;65633
Arafo;5428;6879;0;6879;5428;28057
Candelaria;18305;19076;0;19076;18305;71522
El Tanque;4853;3983;0;3983;4853;17495
Arico;14219;4359;0;4359;14219;58033
El Sauzal;7014;1191;0;1191;7014;38797
Vilaflor;3114;1813;0;1813;3114;8582
Fasnia;3544;1141;0;1141;3544;13853
Barlovento;9717;1173;0;1173;9717;13730
Vega de San Mateo;1333;1650;0;1650;1333;27474
San Bartolomé;1115;2398;2110;2398;3225;67966
Las Palmas de Gran Canaria;19522;31771;559;31771;20081;530853
Arrecife;4605;3035;0;3035;4605;125894
Tías;3624;3972;2057;3972;5681;123914
Santa Cruz de la Palma;5389;1467;0;1467;5389;25702
San Bartolomé de Tirajana;6860;32733;472;32733;7332;191437
La Matanza de Acentejo;6664;1040;0;1040;6664;26691
Agulo;5674;857;397;857;6071;7293
La Orotava;58253;5063;0;5063;58253;150688
Santa Brígida;1031;1561;0;1561;1031;69432
Puerto del Rosario;92460;4239;0;4239;92460;183124
Agaete;906;2079;1981;2079;2888;21136
San Nicolás de Tolentino;198;2042;0;2042;198;40115
