Santander;13957;30658;3187;30658;17143;272707
Camaleño;14150;1587;715;1587;14865;15874
Arenas de Iguña;5485;1296;0;1296;5485;20165
Valdeprado del Río;4207;685;95;685;4301;7963
Colindres;4146;655;0;655;4146;19921
Valdáliga;16109;1773;138;1773;16247;23747
Potes;214;1578;461;1578;675;7592
Castañeda;14514;342;117;342;14631;16460
Camargo;58283;2200;5667;2200;63950;113614
Corvera de Toranzo;19758;434;788;434;20545;22959
Entrambasaguas;542;3029;0;3029;542;24463
Udías;3470;155;173;155;3642;5544
Bareyo;5062;695;736;695;5797;27966
Piélagos;0;2644;3164;2644;3164;130379
Penagos;7178;1083;184;1083;7362;13629
Liérganes;4386;1170;0;1170;4386;12680
Santiurde de Reinosa;2336;249;0;249;2336;7539
Cabezón de la Sal;35321;1401;1930;1401;37251;45417
Alfoz de Lloredo;5371;680;376;680;5747;42323
Miera;1454;1166;0;1166;1454;5109
Tresviso;39;112;0;112;39;1078
Liendo;11140;274;1376;274;12517;17674
Selaya;2988;283;0;283;2988;7579
Los Tojos;3644;416;48;416;3692;3692
Castro-Urdiales;18753;8812;3388;8812;22141;92663
Vega de Pas;1470;764;61;764;1531;3402
Laredo;15323;3472;234;3472;15557;49652
Ampuero;4086;272;1543;272;5629;9899
Lamasón;3178;274;0;274;3178;4185
Herrerías;8237;636;0;636;8237;8533
Ruente;6495;842;0;842;6495;12234
Marina de Cudeyo;1057;1049;0;1049;1057;53444
Tudanca;4383;186;575;186;4959;5309
San Pedro del Romeral;1510;253;395;253;1905;2581
Campoo de Yuso;12242;749;13;749;12255;17890
Polanco;14416;652;3208;652;17624;24740
Meruelo;89;386;0;386;89;16575
San Vicente de la Barquera;7320;1005;641;1005;7961;16797
Vega de Liébana;4314;935;381;935;4694;18826
Mazcuerras;18206;464;678;464;18884;21648
Luena;4816;515;0;515;4816;5815
Cabezón de Liébana;7359;342;897;342;8256;13506
Rasines;1091;295;145;295;1236;1838
San Roque de Riomiera;85;1262;0;1262;85;85
Cieza;2157;188;0;188;2157;3245
Reocín;38935;1283;1615;1283;40550;49114
Bárcena de Cicero;11410;753;1868;753;13278;26412
Santa Cruz de Bezana;25306;1146;11135;1146;36441;66349
Puente Viesgo;14446;1033;0;1033;14446;25862
Molledo;14347;1127;0;1127;14347;18449
Arredondo;4157;416;175;416;4331;5105
Valle de Villaverde;1632;425;0;425;1632;3298
Pesquera;0;111;0;111;0;1752
Ruesga;3833;604;753;604;4585;8615
Villacarriedo;9329;336;0;336;9329;14418
Hermandad de Campoo de Suso;13051;1916;74;1916;13124;26804
Limpias;2715;114;1193;114;3908;6112
Peñarrubia;6550;307;0;307;6550;8252
Bárcena de Pie de Concha;5288;205;0;205;5288;5288
Ramales de la Victoria;7821;466;187;466;8009;15599
Guriezo;10843;745;133;745;10976;12788
Valdeolea;5331;636;0;636;5331;18691
Val de San Vicente;15242;1184;393;1184;15635;28858
Arnuero;8790;729;910;729;9699;34833
Hazas de Cesto;8;353;0;353;8;15020
Villaescusa;24377;874;427;874;24804;30521
Comillas;16976;810;1395;810;18371;26596
Santillana del Mar;23375;1281;4575;1281;27949;33236
Santa María de Cayón;11695;3217;681;3217;12375;37766
Solórzano;198;286;0;286;198;6553
Escalante;65;260;0;260;65;5026
Suances;21281;1308;3313;1308;24595;62397
Campoo de Enmedio;10999;1056;460;1056;11458;30364
Los Corrales de Buelna;0;8751;0;8751;0;48123
Cillorigo de Liébana;8315;679;0;679;8315;9499
Santiurde de Toranzo;13292;363;76;363;13368;19793
Voto;11011;563;684;563;11695;22084
Santoña;2045;531;0;531;2045;26921
Pesaguero;6019;230;1776;230;7795;9840
Polaciones;2896;288;914;288;3810;5803
Saro;1148;75;0;75;1148;1672
Valderredible;919;2000;0;2000;919;37274
Medio Cudeyo;1811;3477;281;3477;2093;35809
El Astillero;9925;966;1246;966;11172;31705
Rionansa;3971;673;184;673;4156;19728
Cabuérniga;10218;620;0;620;10218;17307
Las Rozas de Valdearroyo;1004;378;0;378;1004;15235
Anievas;66;160;0;160;66;7538
Soba;1252;1963;0;1963;1252;24956
Noja;5137;1573;576;1573;5713;30267
Reinosa;4768;966;1413;966;6181;32701
Ribamontán al Mar;1056;3732;0;3732;1056;44519
Villafufre;12141;194;0;194;12141;13502
San Felices de Buelna;19046;1039;0;1039;19046;19690
San Miguel de Aguayo;717;192;0;192;717;1820
Miengo;7958;907;942;907;8900;30028
Cartes;12535;482;937;482;13472;17131
Torrelavega;1315;24600;0;24600;1315;127955
Ruiloba;9271;295;1541;295;10812;14405
Argoños;3764;340;2447;340;6211;23652
Riotuerto;3139;2217;164;2217;3303;18092
Ribamontán al Monte;4263;586;0;586;4263;15535
