Fabero;22967;310;0;310;22967;38006
Turcia;3040;397;0;397;3040;18431
Villadangos del Páramo;757;821;0;821;757;40728
Algadefe;6236;71;0;71;6236;6236
Santa Cristina de Valmadrigal;0;125;0;125;0;7123
Villarejo de Órbigo;31394;529;0;529;31394;31916
Puente de Domingo Flórez;14869;266;125;266;14993;15426
Fuentes de Carbajal;2054;73;0;73;2054;4464
Castrocalbón;14542;231;0;231;14542;14798
Palacios del Sil;17474;823;0;823;17474;17746
Villademor de la Vega;8322;70;0;70;8322;8322
Bembibre;15507;1852;511;1852;16019;52409
Corbillos de los Oteros;0;212;0;212;0;5628
Balboa;5856;151;0;151;5856;6742
Pajares de los Oteros;0;472;0;472;0;10311
San Andrés del Rabanedo;997;1736;122;1736;1118;77349
Escobar de Campos;1784;33;0;33;1784;1784
Valdepolo;13439;794;0;794;13439;24917
Prado de la Guzpeña;4246;68;0;68;4246;4246
Cubillos del Sil;28476;541;0;541;28476;37550
Pobladura de Pelayo García;6795;111;0;111;6795;6795
Candín;11921;192;0;192;11921;13465
Bercianos del Páramo;12485;225;0;225;12485;12485
Boñar;10037;555;2599;555;12635;21287
Boca de Huérgano;9495;673;0;673;9495;12153
Cubillas de los Oteros;0;282;0;282;0;4657
Urdiales del Páramo;14723;202;0;202;14723;15468
Noceda del Bierzo;10569;267;0;267;10569;14696
Matallana de Torío;12519;246;0;246;12519;14227
Cebanico;4574;74;0;74;4574;4574
Chozas de Abajo;793;1007;0;1007;793;39615
San Emiliano;19100;988;0;988;19100;20440
Villasabariego;553;596;0;596;553;19339
Santa Marina del Rey;18125;682;0;682;18125;21467
Oencia;358;123;0;123;358;10514
Berlanga del Bierzo;3625;945;0;945;3625;9603
Corullón;20689;209;0;209;20689;20689
Toreno;27003;527;0;527;27003;34377
Villazala;11770;319;0;319;11770;15726
Villamandos;6901;96;0;96;6901;6901
Valderrey;13387;240;0;240;13387;13827
Benuza;14385;225;0;225;14385;14385
Santa María de la Isla;6923;70;0;70;6923;6923
Sahagún;11312;835;0;835;11312;25043
Cistierna;25259;468;79;468;25338;32553
La Bañeza;10553;712;0;712;10553;39789
Valdevimbre;0;531;0;531;0;18407
La Pola de Gordón;22225;1022;0;1022;22225;41154
La Vecilla;4842;63;0;63;4842;4842
Santiago Millas;12135;142;0;142;12135;12430
Mansilla Mayor;220;340;0;340;220;7145
Campazas;3965;106;0;106;3965;3965
Sobrado;0;158;0;158;0;7570
Valverde-Enrique;3073;127;0;127;3073;5792
Calzada del Coto;2106;235;0;235;2106;6242
Riego de la Vega;11296;321;0;321;11296;19290
Gordoncillo;6359;79;0;79;6359;6359
Regueras de Arriba;4893;69;0;69;4893;5025
Páramo del Sil;25224;865;553;865;25777;27615
Brazuelo;12340;474;0;474;12340;13849
Cimanes de la Vega;7941;140;0;140;7941;7941
Roperuelos del Páramo;3351;318;0;318;3351;12228
Vega de Valcarce;11034;487;0;487;11034;11543
Villaturiel;588;681;0;681;588;29847
Joarilla de las Matas;4557;134;0;134;4557;4862
Destriana;5421;161;0;161;5421;8868
Lucillo;15768;269;0;269;15768;15768
Crémenes;8574;537;353;537;8926;10557
Riaño;1535;425;366;425;1901;7364
Maraña;1839;255;0;255;1839;2667
Valdepiélago;7721;183;0;183;7721;10352
Congosto;3335;747;334;747;3669;18823
San Cristóbal de la Polantera;10751;200;0;200;10751;11100
Vallecillo;1314;102;0;102;1314;4592
Castrotierra de Valmadrigal;0;60;0;60;0;3813
Zotes del Páramo;6018;173;0;173;6018;8490
Villaobispo de Otero;11619;210;0;210;11619;12039
Garrafe de Torío;324;571;0;571;324;30442
Val de San Lorenzo;12451;149;0;149;12451;12451
Laguna de Negrillos;14431;274;0;274;14431;16251
Valderrueda;23770;484;0;484;23770;23970
El Burgo Ranero;9744;408;0;408;9744;17943
Villazanzo de Valderaduey;9935;153;0;153;9935;11022
La Ercina;11877;118;0;118;11877;11877
Izagre;3833;115;0;115;3833;5970
Vegacervera;2796;160;904;160;3700;5967
Carrocera;11049;514;155;514;11204;11982
Sancedo;9578;123;0;123;9578;10628
Trabadelo;8889;259;0;259;8889;11085
Castrillo de la Valduerna;2451;58;0;58;2451;2451
Soto y Amío;13261;313;0;313;13261;16655
Carrizo;3708;425;0;425;3708;26076
Las Omañas;7528;136;0;136;7528;7528
Santa Colomba de Curueño;15009;239;0;239;15009;16084
Campo de Villavidel;0;106;0;106;0;4552
Villablino;51261;2084;0;2084;51261;61929
Castrocontrigo;14738;1629;0;1629;14738;20888
Benavides;13313;438;0;438;13313;26413
Gradefes;24463;429;0;429;24463;24463
Luyego;18715;331;0;331;18715;18715
Villafranca del Bierzo;22814;691;0;691;22814;32999
Truchas;13741;316;0;316;13741;14846
Oseja de Sajambre;7160;794;0;794;7160;7531
