Palau-sator;0;581;0;581;0;3271
Riner;0;459;0;459;0;1576
el Prat de Llobregat;267;9962;0;9962;267;70379
Sant Esteve de Palautordera;439;274;0;274;439;16219
Verdú;3036;687;0;687;3036;6559
Vilafant;120;1192;0;1192;120;28760
Regencós;0;92;0;92;0;1840
Massanes;68;199;0;199;68;10647
Sant Miquel de Campmajor;0;750;0;750;0;1101
Fígols i Alinyà;0;447;0;447;0;3438
Olesa de Bonesvalls;0;331;0;331;0;27478
Navàs;129;1115;0;1115;129;22088
Gavà;249;2014;0;2014;249;71095
Lleida;2763;10487;38;10487;2802;229267
Vilaür;0;311;0;311;0;1995
Banyoles;0;4932;254;4932;254;65036
Campelles;0;126;0;126;0;2047
el Brull;42;718;0;718;42;1106
Garrigoles;0;227;0;227;0;2194
Vespella de Gaià;27;118;0;118;27;7788
Riu de Cerdanya;0;153;0;153;0;1426
Naut Aran;88;3394;599;3394;687;25160
Torrent;0;265;0;265;0;2557
Montagut i Oix;0;835;0;835;0;4960
Preixana;1226;210;0;210;1226;4166
Das;0;245;0;245;0;7295
Torrelavit;0;343;0;343;0;6163
Santa Bàrbara;0;984;0;984;0;33320
Capellades;0;217;0;217;0;14824
Alpens;603;126;863;126;1466;3388
Sant Pere de Torelló;1654;910;0;910;1654;13583
Alfarràs;0;1196;0;1196;0;11582
Solsona;304;2726;0;2726;304;33805
Nalec;316;142;0;142;316;1762
Tordera;322;2216;131;2216;453;97901
Cubelles;0;1327;0;1327;0;75274
Lluçà;0;371;0;371;0;1057
Pontons;0;344;0;344;0;6910
Vilanova i la Geltrú;0;21892;0;21892;0;149975
Santa Oliva;1436;470;0;470;1436;25498
Matadepera;71;2346;0;2346;71;88088
Granollers;4843;8948;30;8948;4873;94813
Sant Quirze del Vallès;3087;1831;266;1831;3353;91292
Alella;1330;702;1318;702;2648;55760
Salomó;0;108;0;108;0;4753
Sant Feliu de Guíxols;234;10464;325;10464;559;87309
Fontanals de Cerdanya;0;577;150;577;150;14176
Salt;0;1341;0;1341;0;30945
Valls;3339;1513;0;1513;3339;84759
Montferri;327;184;0;184;327;3618
Vilabertran;0;90;0;90;0;3087
Sant Ferriol;0;592;0;592;0;193
la Pobla de Massaluca;391;146;0;146;391;2409
Castell-Platja d'Aro;162;6213;0;6213;162;108730
Torroja del Priorat;652;93;0;93;652;2136
Planoles;0;287;0;287;0;5500
Talarn;0;733;0;733;0;7093
Montoliu de Lleida;382;98;0;98;382;4939
Vilaplana;0;402;0;402;0;2305
Susqueda;0;272;0;272;0;225
Clariana de Cardener;0;441;0;441;0;293
la Morera de Montsant;1044;696;0;696;1044;2045
Montferrer i Castellbò;0;1210;0;1210;0;17990
Sant Esteve de la Sarga;0;691;0;691;0;2846
Santa Coloma de Farners;0;3237;0;3237;0;53086
Prat de Comte;0;116;0;116;0;1909
Tavèrnoles;213;225;0;225;213;2014
l'Albiol;988;151;0;151;988;6189
Granera;0;298;0;298;0;1465
Solivella;289;347;0;347;289;4619
Jafre;0;113;0;113;0;3825
Santa Pau;0;1584;77;1584;77;6856
el Bruc;0;1086;0;1086;0;21272
Pinell de Solsonès;55;596;0;596;55;472
Sant Boi de Lluçanès;1132;251;1273;251;2406;6716
Aiguamúrcia;2432;566;66;566;2498;17162
Seva;1045;918;0;918;1045;54604
Santa Maria de Merlès;0;386;0;386;0;159
Font-rubí;0;531;0;531;0;8328
Caldes de Malavella;601;1223;0;1223;601;73837
Crespià;0;225;30;225;30;2589
Vidreres;528;781;0;781;528;71955
es Bòrdes;0;382;0;382;0;3205
Ogassa;0;311;0;311;0;2650
Canejan;0;763;0;763;0;904
Alins;0;1628;11;1628;11;4409
Vinyols i els Arcs;1359;778;0;778;1359;10619
Biosca;0;831;0;831;0;2516
Farrera;0;467;0;467;0;2182
Sant Pere Pescador;65;1395;0;1395;65;17163
Montblanc;4857;3534;149;3534;5006;35105
la Coma i la Pedra;0;775;0;775;0;11556
Roda de Ter;3639;215;0;215;3639;20870
