Lezo;5370;1205;48;1205;5418;17200
Barrundia;0;3071;0;3071;0;22337
Gipuzkoa eta Arabako Partzuergo Orokorra;0;466;0;466;0;0
Ibarra;2369;617;0;617;2369;5473
Ibarrangelu;1471;862;0;862;1471;1471
Itsasondo;0;458;0;458;0;985
Basauri;7580;1741;66;1741;7645;42137
Leza;2346;318;0;318;2346;2346
Sestao;826;1713;264;1713;1090;21658
Lekeitio;5382;778;175;778;5557;12680
Arraia-Maeztu;10259;3049;1391;3049;11649;14444
Bidania-Goiatz;550;401;0;401;550;1872
Zizurkil;2142;713;174;713;2316;2796
Altzaga;0;193;0;193;0;0
Leioa;9140;3012;295;3012;9435;43477
Kortezubi;300;728;285;728;585;585
San Millán/Donemiliaga;0;2528;0;2528;0;22881
Zegama;234;1404;98;1404;332;3288
Peñacerrada-Urizaharra;5626;908;0;908;5626;5834
Zarautz;8497;2186;0;2186;8497;33315
Aulesti;1064;534;0;534;1064;1822
Mendexa;171;248;0;248;171;782
Gatika;864;1072;0;1072;864;3363
Arakaldo;0;213;0;213;0;3472
Deba;2626;1679;0;1679;2626;8071
Arratzua-Ubarrundia;0;2309;0;2309;0;14298
Gamiz-Fika;3755;1312;0;1312;3755;4622
Erandio;6763;2976;475;2976;7237;32255
Zigoitia;472;4719;0;4719;472;32038
Olaberria;796;576;0;576;796;1613
Ortuella;1896;1780;21;1780;1916;19825
Andoain;4140;2448;734;2448;4874;17537
Baliarrain;364;100;0;100;364;550
Berriz;8688;1145;0;1145;8688;11740
Valle de Arana/Harana;0;757;0;757;0;6090
Campezo / Kanpezu;5738;1464;104;1464;5841;8169
Irun;11533;9063;1073;9063;12606;72940
Iruña Oka/Iruña de Oca;0;3336;0;3336;0;34475
Laguardia;6096;2148;172;2148;6268;10847
Hondarribia/Fontarrabie;15573;4285;622;4285;16195;33921
Azkoitia;5242;1530;72;1530;5314;16860
Lizartza;840;186;0;186;840;1320
Laukiz;4419;445;239;445;4658;4658
Samaniego;1946;283;0;283;1946;2129
Urduña / Orduña;12040;1197;1270;1197;13310;16795
Villabuena de Álava/Eskuernaga;2816;320;0;320;2816;3601
Ormaiztegi;203;484;0;484;203;1181
Gordexola;7510;370;1610;370;9120;9645
Larraul;0;253;33;253;33;829
Bergara;4457;2258;0;2258;4457;21865
Bermeo;5775;3666;1034;3666;6808;19063
Aia;2110;1783;161;1783;2271;5263
Lantarón;4121;1696;386;1696;4507;19608
Mañaria;196;499;177;499;374;1324
Okondo;208;1124;0;1124;208;2532
Munitibar-Arbatzegi Gerrikaitz;1050;570;324;570;1375;2133
Zaldibia;0;889;0;889;0;1359
Gaztelu;0;219;0;219;0;0
Garai;542;240;0;240;542;542
Mutriku;1318;1449;48;1449;1367;7955
Beasain;2960;1271;0;1271;2960;16386
Ordizia;1231;690;0;690;1231;13369
Igorre;4529;1511;0;1511;4529;8671
Labastida/Bastida;12153;1454;151;1454;12303;14663
Sondika;6618;1376;0;1376;6618;17639
Karrantza Harana / Valle de Carranza;2415;2103;2018;2103;4433;11232
Oyón/Oion;4513;1240;364;1240;4877;14860
Pasaia;2301;1138;531;1138;2832;13296
Ubide;2353;205;48;205;2401;2401
Errenteria;7403;3480;85;3480;7488;36029
Gorliz;8837;1847;0;1847;8837;18488
Ataun;63;1399;236;1399;299;915
Enirio-Aralarko Mankomunitatea;0;1468;0;1468;0;0
Portugalete;2198;2553;783;2553;2981;35625
Elgoibar;4951;2136;0;2136;4951;18142
Lemoa;8074;772;761;772;8835;8835
Alonsotegi;538;928;136;928;674;5533
Villabona-Amasa;736;1031;0;1031;736;3404
Legutio;3210;2400;0;2400;3210;16933
Nabarniz;1269;510;0;510;1269;1269
Yécora/Iekora;2550;235;0;235;2550;2550
Plentzia;3473;986;78;986;3552;13014
Morga;956;717;507;717;1463;1463
Moreda de Álava;387;362;499;362;886;1828
Ribera Alta;410;2349;0;2349;410;18211
Urnieta;4185;1513;0;1513;4185;10445
Kuartango/Cuartango;0;1140;0;1140;0;13930
Aramaio;4382;2388;0;2388;4382;4851
Orozko;2485;2395;2105;2395;4590;10265
Larrabetzu;822;1077;0;1077;822;5310
Alkiza;0;410;0;410;0;1054
Sukarrieta;192;252;0;252;192;1449
Trucios-Turtzioz;2325;388;1006;388;3330;4862
Maruri-Jatabe;3035;967;0;967;3035;3035
Lasarte-Oria;6847;1175;916;1175;7763;20432
Muskiz;7468;2412;470;2412;7939;19312
Amurrio;26292;4123;208;4123;26500;37046
Parzonería de Badaya/Badaiako partzuergoa;0;110;0;110;0;0
Galdakao;19348;3290;520;3290;19867;49198
Leaburu;300;233;0;233;300;623
Galdames;1544;961;0;961;1544;6859
Murueta;863;324;0;324;863;863
Gabiria;46;512;108;512;154;1418
Zamudio;13933;2097;0;2097;13933;22433
Orexa;458;162;0;162;458;965
Ziortza-Bolibar;727;350;0;350;727;727
Artzentales;580;830;305;830;884;975
Usurbil;12227;1510;82;1510;12309;23433
Forua;1174;577;0;577;1174;2552
Orio;2061;709;498;709;2559;11284
Zuya/Zuia;0;3232;0;3232;0;34583
Elburgo/Burgelu;0;1063;0;1063;0;8473
Agurain/Salvatierra;0;1631;0;1631;0;17091
Ermua;3311;564;412;564;3723;10855
Arrankudiaga;4279;880;281;880;4560;5219
Balmaseda;2335;858;443;858;2779;10928
Fruiz;1754;502;74;502;1828;1828
Urduliz;2209;682;0;682;2209;9254
Parzonería Menor de Guipúzcoa/Gipuzkoako Partzuergo Txikia;0;29;0;29;0;0
Azpeitia;8726;3182;107;3182;8833;19875
Barrika;1920;653;0;653;1920;7080
Irura;5656;359;0;359;5656;6843
Eskoriatza;2008;1570;0;1570;2008;6953
Ea;677;786;274;786;952;2437
Artziniega / Arceniega;5203;1025;1570;1025;6773;6997
Comunidad de Laño, Pipaón y Peñacerrada;0;31;0;31;0;0
Arrigorriaga;3445;1387;0;1387;3445;11922
Berriatua;2264;340;49;340;2313;3502
Iurreta;9589;774;205;774;9795;11377
Alegia;577;470;0;470;577;2864
Belauntza;797;253;0;253;797;1124
Elvillar/Bilar;4243;386;0;386;4243;4243
Añana;0;443;0;443;0;3508
Vitoria-Gasteiz;0;35301;0;35301;0;332313
Zalla;8826;2745;1248;2745;10074;20790
Kripan;1796;225;0;225;1796;1796
Berantevilla;7290;888;0;888;7290;9401
Bedia;1939;488;147;488;2086;2385
Elantxobe;54;233;69;233;123;711
Lanciego/Lantziego;3741;621;1017;621;4758;5646
Gernika-Lumo;10543;2073;174;2073;10717;26803
Idiazabal;3442;901;0;901;3442;4991
Markina-Xemein;2312;931;0;931;2312;7061
Urkabustaiz;14015;1570;0;1570;14015;33346
Arrasate / Mondragón;8684;2557;19;2557;8702;35742
Zerain;0;492;0;492;0;0
Zumaia;4772;1107;0;1107;4772;24900
Amezketa;595;717;0;717;595;1040
Dima;1834;2094;2426;2094;4260;4997
Mendata;893;739;78;739;971;1372
Laudio/Llodio;381;3089;0;3089;381;34161
Barakaldo;6939;7061;1826;7061;8765;85119
Parzonería General de Encía;0;428;0;428;0;0
Elgeta;3650;712;231;712;3881;5597
Zaratamo;3421;537;688;537;4108;4120
Urretxu;3086;984;0;984;3086;6500
Berastegi;2222;1136;0;1136;2222;4921
Lagrán;3693;681;0;681;3693;4983
Legorreta;0;697;0;697;0;2653
Zeberio;901;1010;538;1010;1439;1439
Muxika;2198;2109;113;2109;2311;2311
Donostia/San Sebastián;37685;15622;510;15622;38195;228942
Mungia;19667;5314;2163;5314;21830;49426
Segura;420;566;220;566;641;4433
Otxandio;2428;1070;229;1070;2658;4979
Ajangiz;1156;486;62;486;1218;1218
Sopuerta;6363;1153;194;1153;6556;7353
Anoeta;1546;432;0;432;1546;2719
Bilbao;14222;13739;1772;13739;15994;238743
Getxo;3501;5849;294;5849;3795;74802
Busturia;5958;1610;1302;1610;7261;8825
Altzo;288;476;0;476;288;454
Lanestosa;260;225;0;225;260;2462
Asparrena;0;2509;0;2509;0;19700
Elciego;5647;601;0;601;5647;7908
Lazkao;3840;860;0;860;3840;11217
Gizaburuaga;122;98;0;98;122;122
Izurtza;517;196;404;196;921;921
Armiñón;0;519;0;519;0;4059
Loiu;6568;1274;0;1274;6568;11245
Mundaka;604;913;0;913;604;4952
Zumarraga;6140;1636;280;1636;6420;12981
