Palas de Rei;48131;1967;518;1967;48649;50707
O Vicedo;9200;1396;0;1396;9200;11616
Redondela;94356;2604;550;2604;94907;130240
Pontecesures;13611;205;131;205;13742;19041
Dumbría;21111;1100;1109;1100;22220;22220
Mondariz;72903;2684;13343;2684;86246;89197
Vilanova de Arousa;49885;930;5696;930;55581;61958
Guntín;24497;501;359;501;24856;26137
O Barco de Valdeorras;25014;3711;467;3711;25480;57911
Monterrei;29779;578;0;578;29779;32724
Santiago de Compostela;69757;19904;6528;19904;76285;269207
O Páramo;20001;426;122;426;20123;20123
Negueira de Muñiz;4606;109;0;109;4606;4606
O Grove;33202;1202;676;1202;33878;49818
O Porriño;54524;5557;965;5557;55489;78846
A Mezquita;11995;534;221;534;12217;16436
Frades;7391;2791;79;2791;7471;20663
Vilamarín;24178;421;517;421;24695;24695
Malpica de Bergantiños;54864;2591;2722;2591;57586;64050
Barro;28813;586;113;586;28925;29029
Baltar;18730;473;0;473;18730;20854
Sada;27455;8426;4420;8426;31875;73430
Boimorto;7374;665;0;665;7374;7374
O Incio;36005;705;0;705;36005;36862
Castroverde;52442;914;0;914;52442;54335
Paradela;31647;630;85;630;31732;31893
Begonte;18245;903;91;903;18336;20490
Irixoa;5645;1310;568;1310;6213;6675
A Guarda;25606;2117;0;2117;25606;46851
A Gudiña;14158;851;0;851;14158;20232
A Teixeira;7588;136;0;136;7588;8683
Fisterra;13846;1355;6802;1355;20648;28806
Entrimo;19388;372;0;372;19388;19449
Vilar de Barrio;20035;404;102;404;20137;22953
Alfoz;17299;620;905;620;18204;18204
Oroso;11685;1637;481;1637;12166;20848
Ribas de Sil;14367;488;616;488;14983;16295
Laza;28334;788;653;788;28988;32858
Trazo;8497;1096;433;1096;8930;9758
Riós;35013;800;39;800;35052;35052
Bande;28766;578;0;578;28766;30128
Pol;40993;1171;29;1171;41022;41816
Montederramo;19380;637;0;637;19380;19444
Triacastela;13429;293;0;293;13429;13429
Viveiro;4852;7680;992;7680;5844;17835
As Pontes de García Rodríguez;15129;3859;170;3859;15299;44863
Coles;36181;592;0;592;36181;36425
A Peroxa;31146;897;2859;897;34005;34005
Corcubión;5795;323;439;323;6235;8066
A Pobra do Brollón;32430;830;0;830;32430;34084
Toques;12085;448;0;448;12085;12085
Beade;5681;45;0;45;5681;5681
Piñor;17496;474;0;474;17496;17496
Carballo;65590;3003;998;3003;66588;121680
Vigo;137345;15304;28952;15304;166297;550887
Carballedo;48654;827;0;827;48654;48654
A Pobra de Trives;26958;604;608;604;27566;33388
Gondomar;38592;1022;5396;1022;43988;46655
Mañón;13192;1878;445;1878;13638;18045
Sarria;70378;2770;125;2770;70503;94143
Cerceda;2859;2696;194;2696;3053;16877
Valga;29589;641;0;641;29589;32767
Xunqueira de Ambía;18690;558;0;558;18690;20185
Vilar de Santos;13350;186;0;186;13350;14274
Teo;14855;6674;3643;6674;18498;32047
Cabanas;17740;2406;942;2406;18683;24146
San Cibrao das Viñas;32968;1664;73;1664;33041;35107
Muras;1695;697;0;697;1695;2099
A Pontenova;47488;997;0;997;47488;47488
Monfero;18866;1194;0;1194;18866;18866
Verea;26691;345;0;345;26691;26691
Rubiá;20806;671;0;671;20806;24842
