Sant Llorenç des Cardassar;9712;3411;99;3411;9812;70766
Sencelles;525;443;0;443;525;6933
Binissalem;1146;577;0;577;1146;22617
Llubí;5797;419;0;419;5797;14278
Es Mercadal;6988;4307;0;4307;6988;61342
Escorca;4128;1512;0;1512;4128;6019
Alaior;2041;4107;0;4107;2041;50444
Esporles;16227;1491;0;1491;16227;33765
Algaida;3311;1588;409;1588;3720;23363
Sóller;3742;7695;0;7695;3742;43044
Artà;5244;2065;0;2065;5244;51830
Deià;889;1266;0;1266;889;5290
Andratx;6823;5602;0;5602;6823;84919
Ses Salines;1715;1961;14;1961;1729;34097
Es Migjorn Gran;2495;1312;0;1312;2495;10318
Llucmajor;11742;7227;0;7227;11742;165270
Santa Eugènia;2749;370;0;370;2749;6880
Lloret de Vistalegre;612;230;0;230;612;4093
Maó;13336;27051;466;27051;13802;92342
Marratxí;27878;4753;83;4753;27961;187421
Lloseta;2726;336;0;336;2726;14908
Sant Antoni de Portmany;127131;8729;66;8729;127197;170362
Sant Joan de Labritja;83435;2901;0;2901;83435;99834
Formentera;31339;2988;250;2988;31589;50744
Petra;999;929;0;929;999;14398
Ciutadella;17023;29796;19;29796;17042;135813
Santanyí;26911;20698;420;20698;27331;130858
Campos;6409;3033;0;3033;6409;69644
Palma;83130;22760;392;22760;83522;706825
Son Servera;8798;1981;185;1981;8984;48759
Ariany;378;316;0;316;378;9353
Alcúdia;12808;5155;113;5155;12921;95049
Santa Margalida;6340;2630;0;2630;6340;75425
Selva;2283;991;0;991;2283;14423
Vilafranca de Bonany;948;327;0;327;948;16505
Calvià;15760;15959;920;15959;16680;265580
Manacor;34447;19064;0;19064;34447;201707
Sant Lluís;2420;17344;0;17344;2420;70208
Capdepera;7920;4270;0;4270;7920;98424
Santa María del Camí;128;8648;0;8648;128;17671
Campanet;1665;526;0;526;1665;9614
Maria de la Salut;1445;395;0;395;1445;13230
Costitx;2578;244;0;244;2578;5791
Alaró;715;5243;0;5243;715;16239
Fornalutx;216;1310;142;1310;357;1373
Pollença;15824;13586;1382;13586;17206;82070
Sant Joan;2362;576;0;576;2362;11987
Puigpunyent;3867;695;0;695;3867;14557
Mancor de la Vall;787;237;0;237;787;5960
Felanitx;20383;4684;141;4684;20524;91391
Valldemossa;10256;2528;161;2528;10417;19692
Estellencs;2324;227;0;227;2324;4379
Sa Pobla;8441;1318;0;1318;8441;51701
Búger;236;188;0;188;236;4891
Montuïri;4042;736;0;736;4042;12221
Inca;7198;1802;0;1802;7198;64397
Santa Eulalia del Río;243503;6770;0;6770;243503;321624
Muro;3732;2298;0;2298;3732;40984
Sineu;4363;728;80;728;4443;19458
Banyalbufar;0;930;0;930;0;6247
Bunyola;3861;1759;0;1759;3861;40506
Ferreries;6261;2253;0;2253;6261;17138
Eivissa;16263;4235;28;4235;16291;78245
Porreres;1792;971;163;971;1956;15653
Sant Josep de sa Talaia;132844;8938;632;8938;133476;230280
Es Castell;61;7311;0;7311;61;28861
Consell;1288;364;0;364;1288;10738
