La Victoria de Acentejo;1656;886;0;886;1656;25236
Gáldar;1557;2735;89;2735;1646;96924
San Cristóbal de La Laguna;56800;17296;621;17296;57421;390432
Tejeda;525;1902;0;1902;525;12099
Los Silos;852;7087;0;7087;852;20628
Los Llanos de Aridane;17993;4734;0;4734;17993;64764
Garafía;12677;3529;0;3529;12677;14496
Agüimes;3114;6959;541;6959;3654;129517
Los Realejos;27459;4793;0;4793;27459;97112
Antigua;4431;2979;0;2979;4431;101845
Yaiza;3983;10827;25083;10827;29066;183335
Puntallana;7987;1618;0;1618;7987;13059
Tijarafe;14280;2738;0;2738;14280;26309
La Guancha;6243;926;0;926;6243;24255
Tegueste;4561;1051;0;1051;4561;42806
Tinajo;733;1598;0;1598;733;49466
Ingenio;553;2520;78;2520;631;100971
Arucas;1470;2667;0;2667;1470;91324
El Rosario;5445;13646;89;13646;5534;58458
Tuineje;11510;5229;465;5229;11975;67274
Santiago del Teide;3062;9282;0;9282;3062;30843
Santa Cruz de Tenerife;25971;27508;25;27508;25996;361008
Telde;2623;6989;158;6989;2782;263619
Garachico;6790;5107;0;5107;6790;23566
Valsequillo de Gran Canaria;640;1095;0;1095;640;50401
Güímar;12975;4869;0;4869;12975;58033
Frontera;1666;5780;74;5780;1740;20494
Santa María de Guía de Gran Canaria;303;2173;0;2173;303;41002
Arona;50256;10385;395;10385;50651;207610
Valle Gran Rey;2164;2806;321;2806;2485;16625
Puntagorda;6031;1968;0;1968;6031;24727
Fuencaliente de la Palma;8461;1663;0;1663;8461;17643
Teguise;1673;9803;2030;9803;3703;173202
San Miguel de Abona;36801;3100;0;3100;36801;91877
Tazacorte;2657;2038;0;2038;2657;10579
Mogán;1965;5761;0;5761;1965;84891
Moya;117;1125;0;1125;117;30665
Vallehermoso;11324;2964;2745;2964;14070;18507
Breña Baja;7767;3939;367;3939;8134;30719
Haría;323;2096;0;2096;323;47298
Santa Lucía de Tirajana;5492;2721;0;2721;5492;127564
Artenara;348;1196;0;1196;348;6599
San Andrés y Sauces;6982;1242;0;1242;6982;18045
Hermigua;6361;1868;53;1868;6414;6986
Villa de Mazo;25114;2623;0;2623;25114;31947
Adeje;34672;11631;154;11631;34825;139671
Firgas;289;827;0;827;289;32837
Granadilla de Abona;32498;8250;6678;8250;39177;147734
El Pinar de El Hierro;7489;3107;0;3107;7489;18123
Pájara;3696;10580;1074;10580;4771;66158
Buenavista del Norte;6876;9569;1060;9569;7935;24665
Santa Úrsula;4071;6434;0;6434;4071;58968
El Paso;13166;2783;0;2783;13166;47922
Valverde;10044;9158;107;9158;10151;42768
Guía de Isora;9684;19032;0;19032;9684;62245
San Juan de la Rambla;7131;1330;0;1330;7131;21191
Betancuria;2195;1709;0;1709;2195;8474
Teror;234;1268;0;1268;234;35370
Breña Alta;18134;2112;0;2112;18134;44290
Icod de los Vinos;56133;3065;0;3065;56133;104349
Alajeró;11700;1450;614;1450;12313;16638
San Sebastián de la Gomera;16888;2814;1510;2814;18398;32793
Tacoronte;17004;1572;0;1572;17004;90731
Valleseco;191;848;0;848;191;18864
La Oliva;39430;7164;529;7164;39959;222965
Puerto de la Cruz;5945;5045;0;5045;5945;65633
Arafo;5428;6879;0;6879;5428;28057
Candelaria;18305;19076;0;19076;18305;71522
El Tanque;4853;3983;0;3983;4853;17495
Arico;14219;4359;0;4359;14219;58033
El Sauzal;7014;1203;0;1203;7014;38745
Vilaflor;3114;1813;0;1813;3114;8582
Fasnia;3544;1141;0;1141;3544;13853
Barlovento;8583;1176;0;1176;8583;12595
Vega de San Mateo;1333;1654;0;1654;1333;27474
San Bartolomé;1115;2408;2110;2408;3225;67966
Las Palmas de Gran Canaria;19360;33324;559;33324;19919;530339
Arrecife;4632;3037;0;3037;4632;127634
Tías;3624;4254;2057;4254;5681;123914
Santa Cruz de la Palma;5389;1478;0;1478;5389;25703
San Bartolomé de Tirajana;6860;32752;472;32752;7332;191438
La Matanza de Acentejo;6664;1041;0;1041;6664;26691
Agulo;5674;857;397;857;6071;7293
La Orotava;58256;5068;0;5068;58256;150698
Santa Brígida;1031;1561;0;1561;1031;69432
Puerto del Rosario;92416;4278;0;4278;92416;183071
Agaete;906;2085;1981;2085;2888;21136
San Nicolás de Tolentino;198;2042;0;2042;198;40114
