Melgar de Arriba;0;89;0;89;0;3908
Pollos;718;165;0;165;718;7428
Valverde de Campos;0;388;0;388;0;1888
La Parrilla;178;127;0;127;178;6700
San Martín de Valvení;994;87;0;87;994;2414
Geria;451;102;0;102;451;3426
Valdearcos de la Vega;99;34;0;34;99;1013
Castrillo de Duero;949;150;0;150;949;3993
Viloria;235;86;0;86;235;4919
Camporredondo;283;99;0;99;283;3294
Viana de Cega;1696;357;0;357;1696;26063
Morales de Campos;606;97;0;97;606;2371
Urones de Castroponce;0;32;0;32;0;2882
Villafrechós;1001;176;0;176;1001;6639
San Pablo de la Moraleja;1540;115;0;115;1540;2497
La Pedraja de Portillo;2158;401;0;401;2158;10819
Villalán de Campos;0;40;0;40;0;1389
Mucientes;3095;125;0;125;3095;6915
Fombellida;1500;102;0;102;1500;3399
Herrín de Campos;0;65;0;65;0;3950
Corcos;3637;129;0;129;3637;5538
Tordesillas;32654;1668;0;1668;32654;69901
Nava del Rey;3051;340;0;340;3051;14205
Torrescárcela;69;41;0;41;69;1874
Villanueva de Duero;6779;187;0;187;6779;19856
Canillas de Esgueva;1061;95;0;95;1061;2666
Valladolid;33841;16156;2323;16156;36164;434066
Villavellid;330;58;0;58;330;1751
Barcial de la Loma;0;50;0;50;0;3301
San Pelayo;154;33;0;33;154;1228
Melgar de Abajo;0;77;0;77;0;3542
Laguna de Duero;7320;5972;0;5972;7320;83447
Rueda;6018;443;0;443;6018;15071
Villabáñez;4609;126;0;126;4609;10224
Villacarralón;61;71;0;71;61;2374
Villafuerte;415;89;0;89;415;2317
Olmedo;3178;1894;0;1894;3178;20074
Cabreros del Monte;1258;86;0;86;1258;2622
Barruelo del Valle;172;56;0;56;172;1948
Valdunquillo;558;95;0;95;558;4854
Curiel de Duero;892;88;0;88;892;3060
Cogeces de Íscar;495;80;0;80;495;2678
Castronuevo de Esgueva;4107;81;0;81;4107;5897
Amusquillo;670;66;0;66;670;2571
Quintanilla de Trigueros;423;51;0;51;423;1657
Adalia;982;53;0;53;982;2675
Velilla;224;83;0;83;224;1973
Villardefrades;861;227;0;227;861;3413
Bocigas;34;72;0;72;34;1718
Pedrajas de San Esteban;745;213;0;213;745;24696
La Mudarra;875;77;0;77;875;2143
Pozuelo de la Orden;756;53;0;53;756;2566
Valdestillas;3000;372;0;372;3000;13513
Villagómez la Nueva;0;61;0;61;0;3923
Carpio;1122;169;0;169;1122;9855
Manzanillo;36;18;0;18;36;648
Nueva Villa de las Torres;135;53;0;53;135;3705
Villalbarba;816;43;0;43;816;3536
Arroyo de la Encomienda;2464;1214;104;1214;2568;67433
Torre de Peñafiel;476;75;0;75;476;2721
Vega de Ruiponce;0;47;0;47;0;3554
Trigueros del Valle;2506;212;3228;212;5734;8146
Ceinos de Campos;974;128;0;128;974;4966
Quintanilla del Molar;0;42;0;42;0;1398
Encinas de Esgueva;1364;113;0;113;1364;4836
Villalba de la Loma;27;41;0;41;27;2090
Saelices de Mayorga;132;42;0;42;132;3538
Villafrades de Campos;0;49;0;49;0;4063
Robladillo;24;32;0;32;24;1152
Peñafiel;8207;755;0;755;8207;26918
Villacid de Campos;0;53;0;53;0;2867
Bocos de Duero;395;27;0;27;395;726
Castromembibre;656;78;0;78;656;2257
San Pedro de Latarce;1635;163;0;163;1635;7225
Berrueces;0;118;0;118;0;3099
Fuensaldaña;15039;255;0;255;15039;26288
Fompedraza;523;58;0;58;523;2364
Ventosa de la Cuesta;586;49;0;49;586;2330
Moraleja de las Panaderas;408;30;0;30;408;918
Íscar;2310;457;332;457;2643;32892
Moral de la Reina;868;129;0;129;868;4165
Berceruelo;62;145;0;145;62;1476
Santibáñez de Valcorba;830;73;0;73;830;3800
Santovenia de Pisuerga;3412;314;0;314;3412;15620
Puras;0;26;0;26;0;686
Torrecilla de la Torre;242;16;0;16;242;725
San Miguel del Arroyo;2309;264;0;264;2309;12286
Mota del Marqués;528;154;0;154;528;5527
Pozaldez;735;81;0;81;735;6193
Roales de Campos;0;85;0;85;0;3669
Villavaquerín;106;66;0;66;106;1964
Rubí de Bracamonte;12;41;0;41;12;3250
Castroponce;0;50;0;50;0;3677
Medina de Rioseco;3470;567;0;567;3470;23434
Valoria la Buena;1236;228;0;228;1236;6281
Aldea de San Miguel;228;138;0;138;228;4421
Vega de Valdetronco;529;84;0;84;529;2246
Piñel de Abajo;356;104;0;104;356;2044
Becilla de Valderaduey;0;162;0;162;0;5937
Tordehumos;1923;50;0;50;1923;5120
Cervillego de la Cruz;704;46;0;46;704;3138
Fontihoyuelo;0;42;0;42;0;1700
Villaco;538;86;0;86;538;1687
Piñel de Arriba;520;74;0;74;520;2408
Villán de Tordesillas;285;49;0;49;285;2448
Cubillas de Santa Marta;8046;138;0;138;8046;9920
Bercero;62;354;0;354;62;2670
Renedo de Esgueva;4515;223;0;223;4515;24613
Castrodeza;0;73;0;73;0;7616
San Llorente;645;86;0;86;645;2019
Pozal de Gallinas;4607;125;0;125;4607;8239
Villalón de Campos;0;275;0;275;0;15622
Villalba de los Alcores;2896;178;0;178;2896;5631
Aguasal;228;89;0;89;228;1227
La Seca;1492;172;0;172;1492;9315
Urueña;210;397;0;397;210;3162
Castroverde de Cerrato;904;93;0;93;904;2510
Bolaños de Campos;1595;89;0;89;1595;4945
Santervás de Campos;137;170;0;170;137;5907
Esguevillas de Esgueva;2184;163;0;163;2184;5466
Cistérniga;7158;595;64;595;7223;29071
Mayorga;3991;253;1525;253;5516;14133
La Unión de Campos;132;64;0;64;132;5773
Villasexmir;144;44;0;44;144;1567
Monasterio de Vega;0;31;0;31;0;1644
Peñaflor de Hornija;631;212;0;212;631;4335
Gatón de Campos;0;35;0;35;0;1958
Torrecilla de la Orden;763;115;0;115;763;5916
Velascálvaro;55;30;0;30;55;3035
San Cebrián de Mazote;0;157;0;157;0;3536
Castrillo-Tejeriego;647;114;39;114;687;2990
Rábano;568;113;0;113;568;3312
Mojados;12189;393;0;393;12189;33311
Montemayor de Pililla;659;241;0;241;659;12382
Benafarces;402;63;0;63;402;2083
San Miguel del Pino;1023;46;0;46;1023;2638
Alaejos;300;282;0;282;300;14448
Aldeamayor de San Martín;19067;1706;166;1706;19233;76035
Villanueva de San Mancio;0;43;0;43;0;2528
Piña de Esgueva;146;60;0;60;146;3297
Matapozuelos;3354;1052;0;1052;3354;15637
Villarmentero de Esgueva;531;27;0;27;531;1784
Bahabón;219;55;0;55;219;3346
Campaspero;708;144;63;144;771;9234
Velliza;1408;77;0;77;1408;4333
Ciguñuela;642;89;0;89;642;3854
Medina del Campo;2612;7682;0;7682;2612;45324
La Zarza;758;46;0;46;758;1769
El Campillo;946;76;0;76;946;5482
Villaverde de Medina;822;143;0;143;822;5585
Castromonte;3565;249;168;249;3733;7031
Torre de Esgueva;436;46;0;46;436;1762
Santa Eufemia del Arroyo;609;275;0;275;609;2525
Sardón de Duero;1773;146;128;146;1901;7366
Portillo;14;3211;0;3211;14;17241
Langayo;814;90;0;90;814;4657
Cuenca de Campos;1188;79;0;79;1188;3694
Villanueva de los Infantes;56;33;0;33;56;2063
Fuente-Olmedo;404;50;0;50;404;2112
Villanubla;5323;607;0;607;5323;16342
Villabrágima;3777;147;0;147;3777;8515
Zaratán;2459;532;0;532;2459;24174
San Vicente del Palacio;949;110;0;110;949;2665
Salvador de Zapardiel;543;68;0;68;543;3045
Castrobol;0;21;0;21;0;2704
Villabaruz de Campos;230;32;0;32;230;1637
Canalejas de Peñafiel;54;78;0;78;54;4880
Ramiro;186;28;0;28;186;1394
Cabezón de Valderaduey;0;30;0;30;0;1696
Cogeces del Monte;423;124;0;124;423;6334
Tudela de Duero;16374;592;653;592;17027;52522
Serrada;1501;221;0;221;1501;9641
Muriel;867;56;0;56;867;3125
Casasola de Arión;1708;167;0;167;1708;5628
Tamariz de Campos;2946;96;0;96;2946;3809
Bobadilla del Campo;853;94;0;94;853;5037
Traspinedo;10804;199;0;199;10804;23763
Valbuena de Duero;3479;162;0;162;3479;5488
Gallegos de Hornija;590;52;0;52;590;1965
Olmos de Esgueva;0;45;0;45;0;2985
San Salvador;301;36;0;36;301;1217
Villafranca de Duero;48;56;0;56;48;3595
Montealegre de Campos;0;148;0;148;0;2922
Hornillos de Eresma;979;118;0;118;979;2765
Villanueva de la Condesa;0;24;0;24;0;1080
Villagarcía de Campos;832;124;0;124;832;4465
Marzales;247;35;0;35;247;1494
Alcazarén;5908;209;0;209;5908;9788
San Román de Hornija;719;128;0;128;719;4359
Corrales de Duero;89;29;0;29;89;1597
Castrejón de Trabancos;1488;77;0;77;1488;5154
Almenara de Adaja;0;38;0;38;0;563
Villanueva de los Caballeros;202;146;0;146;202;4513
Valdenebro de los Valles;1310;217;0;217;1310;4436
Fresno el Viejo;1199;209;0;209;1199;7731
Lomoviejo;999;39;0;39;999;2798
Torrecilla de la Abadesa;792;105;0;105;792;2937
Torrelobatón;367;136;0;136;367;7166
Tiedra;2410;182;0;182;2410;6623
Olmos de Peñafiel;225;49;0;49;225;1381
Wamba;450;91;0;91;450;2505
Aguilar de Campos;0;75;0;75;0;5374
Quintanilla de Onésimo;3656;271;0;271;3656;13750
Matilla de los Caños;162;59;0;59;162;1484
Brahojos de Medina;168;65;0;65;168;3124
Villavicencio de los Caballeros;0;93;0;93;0;6119
Boecillo;15262;864;52;864;15314;69776
Villalar de los Comuneros;215;118;0;118;215;5012
Siete Iglesias de Trabancos;1099;210;0;210;1099;7835
Megeces;104;91;0;91;104;5630
Castronuño;382;192;0;192;382;7715
Simancas;7233;730;56;730;7288;39536
Fuente el Sol;0;69;0;69;0;2145
Ataquines;1681;182;0;182;1681;6851
Pesquera de Duero;1821;193;0;193;1821;4561
Olivares de Duero;793;94;0;94;793;3706
Villamuriel de Campos;0;51;0;51;0;2525
Pedrosa del Rey;237;160;0;160;237;4609
Palazuelo de Vedija;194;76;0;76;194;4853
Roturas;309;34;0;34;309;1432
Cigales;1083;360;0;360;1083;20618
Bustillo de Chaves;1240;36;0;36;1240;2991
Llano de Olmedo;0;35;0;35;0;1791
Quintanilla de Arriba;407;109;0;109;407;2225
Cabezón de Pisuerga;7833;381;0;381;7833;24126
