Villarejo de Fuentes;7920;599;0;599;7920;7920
Retamoso de la Jara;35;67;0;67;35;3626
Membrilla;1638;303;0;303;1638;37030
El Recuenco;2122;47;0;47;2122;2122
Sigüenza;19799;2031;2603;2031;22402;46182
Santa María del Val;0;45;0;45;0;1216
El Cubillo de Uceda;973;65;0;65;973;1923
Los Pozuelos de Calatrava;269;87;0;87;269;2808
Estriégana;579;54;0;54;579;625
Toledo;62608;8728;1600;8728;64208;251078
Medranda;1385;54;0;54;1385;2076
Corral de Almaguer;7483;592;0;592;7483;44266
Valdeolivas;1521;124;0;124;1521;4320
Hombrados;603;26;0;26;603;603
Tórtola de Henares;1443;123;0;123;1443;14377
Valdesotos;763;202;0;202;763;763
Almonacid de Zorita;5250;224;0;224;5250;12537
Guadalmez;0;92;0;92;0;7218
Paredes de Sigüenza;1882;50;0;50;1882;1882
Cabezarados;466;46;0;46;466;2234
Caspueñas;1381;31;0;31;1381;1381
Alcohujate;0;44;0;44;0;2799
Belmontejo;711;116;0;116;711;4113
Daimiel;10792;1662;69;1662;10861;72829
Villamiel de Toledo;553;98;0;98;553;10541
Navalcán;769;293;0;293;769;17027
Maqueda;1003;211;0;211;1003;6074
Mesegar de Tajo;882;58;0;58;882;4406
Pozorrubio;6304;158;0;158;6304;6304
Arroba de los Montes;376;50;0;50;376;3462
Orea;58;179;0;179;58;4469
Tartanedo;9002;329;0;329;9002;9002
Taragudo;1483;49;0;49;1483;1483
Escalonilla;389;291;0;291;389;11850
La Cierva;0;106;0;106;0;1885
Caleruela;0;29;0;29;0;2410
Atanzón;33;58;0;58;33;3076
Tejadillos;2019;30;0;30;2019;2305
Molinicos;15117;713;0;713;15117;21135
San Pedro Palmiches;176;82;0;82;176;2970
Peñas de San Pedro;7973;1131;0;1131;7973;19031
La Torre de Esteban Hambrán;2628;255;1557;255;4185;15248
Villatoya;1598;334;886;334;2484;4740
Porzuna;3458;364;0;364;3458;28762
Tendilla;230;296;2619;296;2848;4589
Caudete;10753;1635;0;1635;10753;51434
Puebla de Beleña;1030;187;0;187;1030;1233
Hortezuela de Océn;1176;41;177;41;1353;1353
Palomares del Campo;5128;895;0;895;5128;8280
Talayuelas;9676;296;0;296;9676;15267
Alovera;5432;1090;62;1090;5493;62094
Zarzuela de Jadraque;948;20;0;20;948;948
Montearagón;539;73;0;73;539;4048
Las Ventas con Peña Aguilera;14753;278;0;278;14753;15367
Solana del Pino;923;190;0;190;923;3904
Madrigueras;2746;505;0;505;2746;35313
Aldeanueva de Barbarroya;3628;200;0;200;3628;14181
Castillo de Garcimuñoz;1637;410;0;410;1637;4199
Cardiel de los Montes;2131;147;0;147;2131;12042
Luciana;94;80;0;80;94;5247
Malaguilla;2037;121;0;121;2037;2037
Erustes;0;108;0;108;0;4506
Burujón;1333;195;0;195;1333;13069
Huérmeces del Cerro;430;22;0;22;430;430
Jadraque;10297;559;0;559;10297;16747
Alcázar de San Juan;9670;3619;0;3619;9670;132885
Villar del Humo;424;123;0;123;424;3155
Puerto de San Vicente;289;134;0;134;289;6223
Montesclaros;894;105;0;105;894;6488
Pajaroncillo;369;110;0;110;369;1725
Valmojado;1538;310;0;310;1538;21806
Yeles;3959;412;0;412;3959;53741
Priego;606;325;0;325;606;8182
Torrejoncillo del Rey;7162;533;0;533;7162;13017
Cuerva;1926;130;0;130;1926;10537
Pozo de Guadalajara;147;192;0;192;147;9883
Yebra;9364;131;0;131;9364;9364
Ruidera;536;217;0;217;536;9864
Auñón;2116;214;0;214;2116;4302
Chillarón de Cuenca;1867;162;0;162;1867;6934
La Guardia;6938;603;0;603;6938;28897
Montiel;263;287;0;287;263;15067
Palomera;268;150;0;150;268;1589
Huérguina;781;26;0;26;781;1855
Huelves;711;138;0;138;711;3385
Torrenueva;4443;189;0;189;4443;19647
Tordellego;386;18;0;18;386;386
Fuentenava de Jábaga;2856;435;0;435;2856;12416
