Lezo;5370;1205;48;1205;5418;17200
Barrundia;0;3071;0;3071;0;22337
Gipuzkoa eta Arabako Partzuergo Orokorra;0;466;0;466;0;0
Ibarra;2369;617;0;617;2369;5473
Ibarrangelu;1471;862;0;862;1471;1471
Itsasondo;0;461;0;461;0;985
Basauri;7580;1741;66;1741;7645;42137
Leza;611;319;0;319;611;2346
Sestao;826;1713;264;1713;1090;21658
Lekeitio;5161;793;176;793;5338;12642
Arraia-Maeztu;0;3101;0;3101;0;16553
Bidania-Goiatz;550;400;0;400;550;1872
Zizurkil;2142;715;174;715;2316;2796
Altzaga;0;193;0;193;0;0
Leioa;9141;3025;295;3025;9437;43485
Kortezubi;300;728;285;728;585;585
San Millán/Donemiliaga;0;2528;0;2528;0;22881
Zegama;234;1412;98;1412;332;3288
Peñacerrada-Urizaharra;5626;908;0;908;5626;5834
Zarautz;8504;2189;0;2189;8504;33318
Aulesti;1064;535;0;535;1064;1822
Mendexa;171;265;0;265;171;782
Gatika;864;1148;0;1148;864;3363
Arakaldo;0;213;0;213;0;3472
Deba;2626;1679;0;1679;2626;8071
Arratzua-Ubarrundia;0;2309;0;2309;0;14298
Gamiz-Fika;3669;1314;0;1314;3669;4535
Erandio;6763;2978;475;2978;7237;32255
Zigoitia;0;4752;0;4752;0;32085
Olaberria;796;576;0;576;796;1613
Ortuella;1896;1784;21;1784;1916;19825
Andoain;4140;2452;734;2452;4874;17537
Baliarrain;364;100;0;100;364;550
Berriz;8688;1145;0;1145;8688;11740
Valle de Arana/Harana;0;757;0;757;0;6090
Campezo / Kanpezu;1028;1476;0;1476;1028;9330
Irun;11533;9068;1073;9068;12606;72940
Iruña Oka/Iruña de Oca;0;3337;0;3337;0;34475
Laguardia;4420;2148;0;2148;4420;10847
Hondarribia/Fontarrabie;15931;4291;622;4291;16553;34279
Azkoitia;5242;1530;72;1530;5314;16860
Lizartza;840;186;0;186;840;1320
Laukiz;4419;445;239;445;4658;4658
Samaniego;57;296;0;296;57;5236
Urduña / Orduña;12040;1197;1270;1197;13310;16795
Villabuena de Álava/Eskuernaga;0;320;0;320;0;3601
Ormaiztegi;203;486;0;486;203;1181
Gordexola;7510;370;1610;370;9120;9645
Larraul;0;253;33;253;33;829
Bergara;4457;2258;0;2258;4457;21865
Bermeo;5775;3666;1034;3666;6808;19063
Aia;2110;1783;161;1783;2271;5263
Lantarón;4121;1696;386;1696;4507;19608
Mañaria;196;499;177;499;374;1324
Okondo;0;1133;0;1133;0;2532
Munitibar-Arbatzegi Gerrikaitz;1050;570;324;570;1375;2133
Zaldibia;0;889;0;889;0;1359
Gaztelu;0;219;0;219;0;0
Garai;542;240;0;240;542;542
Mutriku;1318;1449;48;1449;1367;7955
Beasain;2960;1273;0;1273;2960;16386
Ordizia;1231;692;0;692;1231;13369
Igorre;4529;1511;0;1511;4529;8671
Labastida/Bastida;12153;1454;151;1454;12303;14663
Sondika;6618;1376;0;1376;6618;17639
Karrantza Harana / Valle de Carranza;2415;2103;2018;2103;4433;11232
Oyón/Oion;428;1267;0;1267;428;16464
Pasaia;2301;1139;531;1139;2832;13296
Ubide;2601;207;48;207;2649;2649
Errenteria;7403;3480;85;3480;7488;36029
Gorliz;8837;1846;0;1846;8837;18488
Ataun;63;1399;236;1399;299;915
Enirio-Aralarko Mankomunitatea;0;1468;0;1468;0;0
Portugalete;2198;2553;783;2553;2981;35625
Elgoibar;4951;2137;0;2137;4951;18142
Lemoa;8074;772;761;772;8835;8835
Alonsotegi;538;930;136;930;674;5533
Villabona-Amasa;736;1031;0;1031;736;3404
Legutio;0;2414;0;2414;0;17778
Nabarniz;1269;510;0;510;1269;1269
Yécora/Iekora;0;235;0;235;0;2737
Plentzia;3473;986;78;986;3552;13014
Morga;956;717;507;717;1463;1463
Moreda de Álava;0;478;0;478;0;2915
Ribera Alta;587;2354;0;2354;587;18723
Urnieta;4185;1515;0;1515;4185;10445
Kuartango/Cuartango;0;1140;0;1140;0;13930
Aramaio;0;2374;0;2374;0;5468
Orozko;2485;2395;2105;2395;4590;10265
Larrabetzu;822;1077;0;1077;822;5310
Alkiza;0;410;0;410;0;1054
Sukarrieta;192;252;0;252;192;1449
Trucios-Turtzioz;2325;388;1006;388;3330;4862
Maruri-Jatabe;3035;967;0;967;3035;3035
Lasarte-Oria;6847;1175;916;1175;7763;20432
Muskiz;7470;2412;470;2412;7941;19314
Amurrio;26073;4123;208;4123;26281;37046
Parzonería de Badaya/Badaiako partzuergoa;0;112;0;112;0;0
Galdakao;19348;3291;520;3291;19867;49198
Leaburu;300;233;0;233;300;623
Galdames;1544;963;0;963;1544;6859
Murueta;863;324;0;324;863;863
Gabiria;46;512;108;512;154;1418
Zamudio;13933;2095;0;2095;13933;22433
Orexa;458;162;0;162;458;965
Ziortza-Bolibar;727;356;0;356;727;727
Artzentales;580;830;305;830;884;975
Usurbil;12227;1513;82;1513;12309;23433
Forua;1174;577;0;577;1174;2552
Orio;2061;709;498;709;2559;11284
Zuya/Zuia;0;3232;0;3232;0;34583
Elburgo/Burgelu;0;1063;0;1063;0;8473
Agurain/Salvatierra;0;1631;0;1631;0;17091
Ermua;3311;564;412;564;3723;10855
Arrankudiaga;4279;891;281;891;4560;5219
Balmaseda;2335;858;443;858;2779;10928
Fruiz;1754;505;74;505;1828;1828
Urduliz;2239;692;0;692;2239;9286
Parzonería Menor de Guipúzcoa/Gipuzkoako Partzuergo Txikia;0;29;0;29;0;0
Azpeitia;8726;3182;107;3182;8833;19875
Barrika;1920;653;0;653;1920;7080
Irura;5656;359;0;359;5656;6843
Eskoriatza;2008;1570;0;1570;2008;6953
Ea;677;790;274;790;952;2437
Artziniega / Arceniega;5203;1025;1570;1025;6773;6997
Comunidad de Laño, Pipaón y Peñacerrada;0;31;0;31;0;0
Arrigorriaga;3445;1387;0;1387;3445;11922
Berriatua;2264;355;49;355;2313;3502
Iurreta;9589;774;205;774;9795;11377
Alegia;577;475;0;475;577;2864
Belauntza;797;253;0;253;797;1124
Elvillar/Bilar;6;388;0;388;6;4484
Añana;0;443;0;443;0;3508
Vitoria-Gasteiz;0;35883;0;35883;0;332930
Zalla;8826;2762;1248;2762;10074;20940
Kripan;0;231;0;231;0;2335
Berantevilla;7290;888;0;888;7290;9401
Bedia;1939;493;147;493;2086;2385
Elantxobe;54;233;69;233;123;711
Lanciego/Lantziego;8;625;0;625;8;5646
Gernika-Lumo;10521;2079;174;2079;10694;26780
Idiazabal;3442;901;0;901;3442;4991
Markina-Xemein;2240;935;0;935;2240;7061
Urkabustaiz;0;1562;0;1562;0;30289
Arrasate / Mondragón;8684;2557;19;2557;8702;35742
Zerain;0;492;0;492;0;0
Zumaia;4772;1107;0;1107;4772;24900
Amezketa;595;717;0;717;595;1040
Dima;1834;2094;2426;2094;4260;4997
Mendata;893;739;78;739;971;1372
Laudio/Llodio;0;3089;0;3089;0;34161
Barakaldo;5992;8138;1361;8138;7352;85149
Parzonería General de Encía;0;438;0;438;0;0
Elgeta;3650;712;231;712;3881;5597
Zaratamo;3421;537;688;537;4108;4120
Urretxu;3086;984;0;984;3086;6500
Berastegi;2222;1139;0;1139;2222;4921
Lagrán;3693;681;0;681;3693;4983
Legorreta;0;699;0;699;0;2653
Zeberio;901;1010;538;1010;1439;1439
Muxika;2198;2109;113;2109;2311;2311
Donostia/San Sebastián;37685;15644;510;15644;38195;228942
Mungia;19665;5336;1945;5336;21610;49206
Segura;420;566;220;566;641;4433
Otxandio;2428;1076;229;1076;2658;4979
Ajangiz;1156;486;62;486;1218;1218
Sopuerta;6363;1153;194;1153;6556;7353
Anoeta;1546;432;0;432;1546;2719
Bilbao;14221;13758;1772;13758;15993;238611
Getxo;3507;5868;294;5868;3801;74791
Busturia;5958;1610;1302;1610;7261;8825
Altzo;288;476;0;476;288;454
Lanestosa;260;225;0;225;260;2462
Asparrena;0;2517;0;2517;0;19700
Elciego;586;601;0;601;586;7908
Lazkao;3840;860;0;860;3840;11217
Gizaburuaga;122;105;0;105;122;122
Izurtza;517;196;404;196;921;921
Armiñón;0;519;0;519;0;4059
Loiu;6566;1274;0;1274;6566;11255
Mundaka;604;913;0;913;604;4952
Zumarraga;6140;1638;280;1638;6420;12981
Bernedo;213;2083;0;2083;213;12546
Oñati;7510;3676;416;3676;7926;18008
