La Unión;20142;1711;108;1711;20249;75667
Ricote;535;305;0;305;535;7372
Librilla;6324;1374;0;1374;6324;24915
Cartagena;160565;38165;4119;38165;164683;760767
Blanca;758;624;73;624;831;14827
Cehegín;35624;1231;681;1231;36305;87594
Las Torres de Cotillas;22130;1652;579;1652;22709;123501
Puerto Lumbreras;5911;1785;155;1785;6065;57340
Totana;45167;1705;814;1705;45982;96382
Beniel;4582;610;0;610;4582;27324
Abarán;8491;780;0;780;8491;32067
Molina de Segura;138049;4106;418;4106;138467;354140
Alcantarilla;21846;1554;151;1554;21998;80825
Mula;12264;1490;186;1490;12450;61824
Yecla;55918;3416;790;3416;56708;106884
Ceutí;2222;1115;24;1115;2246;62430
Santomera;713;845;0;845;713;41414
Albudeite;764;276;127;276;891;9645
Los Alcázares;608;2274;64;2274;672;145124
Abanilla;23529;1265;38;1265;23567;52564
Fuente Álamo de Murcia;105451;2587;0;2587;105451;156457
Fortuna;25828;1251;0;1251;25828;66292
Ojós;228;624;0;624;228;2878
Caravaca de la Cruz;52981;1403;8;1403;52988;79278
Águilas;60131;4280;0;4280;60131;142002
Murcia;636111;34632;5785;34632;641897;1445567
Torre Pacheco;31920;17755;298;17755;32218;280022
Alhama de Murcia;49778;2846;399;2846;50177;126119
Mazarrón;75333;3747;0;3747;75333;162437
Alguazas;10459;529;0;529;10459;30988
Pliego;1374;515;0;515;1374;20565
Bullas;18346;726;151;726;18497;64285
San Javier;32413;7385;810;7385;33223;196167
Jumilla;22330;2814;2063;2814;24393;63336
Campos del Río;539;234;0;234;539;9056
Villanueva del Río Segura;1772;268;0;268;1772;13679
Lorca;82675;18161;977;18161;83652;208480
Lorquí;15788;825;108;825;15896;70301
San Pedro del Pinatar;19999;2233;883;2233;20882;145751
Ulea;365;334;0;334;365;4668
Calasparra;21073;1068;100;1068;21173;68094
Moratalla;25510;6421;0;6421;25510;45232
Cieza;6617;1528;428;1528;7045;42178
Archena;6471;1125;2016;1125;8487;69349
Aledo;2514;296;0;296;2514;11252
