Algorfa;1113;853;0;853;1113;44566
Vilanova d'Alcolea;0;420;0;420;0;4906
Llíria;2388;3066;381;3066;2768;121325
el Camp de Mirra / Campo de Mirra;2073;142;0;142;2073;5432
l'Alfàs del Pi;86479;1568;0;1568;86479;115398
Bolulla;33;622;0;622;33;1001
Benicarló;899;1108;0;1108;899;71339
Geldo;0;61;0;61;0;3925
Sot de Ferrer;898;228;0;228;898;6175
Carrícola;0;178;0;178;0;505
Argelita;47;107;0;107;47;2088
Almoines;97;114;0;114;97;6106
Algímia d'Alfara;0;189;0;189;0;7227
Almenara;114;794;0;794;114;39718
la Torre de les Maçanes / Torremanzanas;1769;243;0;243;1769;7893
Castellfort;0;98;0;98;0;2874
Cortes de Pallás;0;1908;0;1908;0;5968
Loriguilla;908;197;0;197;908;17579
Chelva;1033;4124;0;4124;1033;11577
Petrés;1818;84;169;84;1987;6257
Zarra;0;108;0;108;0;3467
Xeraco;0;1341;115;1341;115;26864
Massalfassar;1778;991;0;991;1778;8828
l'Alqueria d'Asnar;655;54;0;54;655;3296
Bejís;0;159;0;159;0;3889
Canet d'en Berenguer;1856;655;0;655;1856;23717
Xodos / Chodos;0;509;157;509;157;2863
Llanera de Ranes;598;112;0;112;598;7526
Sollana;611;675;0;675;611;22591
Castielfabib;3034;911;0;911;3034;7771
Beniarbeig;1841;1765;0;1765;1841;12569
Aielo de Rugat;101;403;0;403;101;1069
Pilar de la Horadada;6859;6410;673;6410;7531;222927
Matet;0;117;0;117;0;2282
Castelló de Rugat;878;1629;0;1629;878;9483
Sueca;1186;1811;0;1811;1186;82032
Godella;10341;740;1181;740;11522;46252
Olocau;0;411;0;411;0;33333
Guadasséquies;79;216;0;216;79;4573
Mutxamel;17194;1980;3103;1980;20297;117259
Titaguas;0;219;0;219;0;7582
Orxeta;5401;179;0;179;5401;9202
Alginet;11484;637;0;637;11484;48574
Beniardá;302;545;0;545;302;455
la Serratella;0;66;0;66;0;1576
Alcàntera de Xúquer;175;86;0;86;175;5579
Alboraia / Alboraya;1592;1405;0;1405;1592;34515
Navajas;77;1091;0;1091;77;8276
Orpesa / Oropesa del Mar;396;2004;0;2004;396;97871
Salem;0;483;0;483;0;2388
l'Olleria;0;353;0;353;0;19559
Benimodo;705;159;0;159;705;10176
Bufali;0;80;0;80;0;1981
Sumacàrcer;329;361;0;361;329;8615
Xirivella;4075;1517;0;1517;4075;47428
Xixona / Jijona;8082;1294;0;1294;8082;19382
Jérica;3178;756;0;756;3178;10758
Museros;5030;549;0;549;5030;16774
Chiva;4859;6285;0;6285;4859;114484
Benagéber;0;314;0;314;0;2182
Pinet;0;216;0;216;0;1156
Higueras;805;177;0;177;805;1932
Eslida;0;297;0;297;0;6668
Massalavés;286;151;0;151;286;7715
Favara;0;254;0;254;0;10560
l'Alqueria de la Comtessa;725;214;0;214;725;9825
Benlloc;0;3652;0;3652;0;5991
el Ràfol d'Almúnia;678;855;3842;855;4520;7705
Cofrentes;994;1616;129;1616;1123;4824
Catí;0;361;208;361;208;5472
Caudete de las Fuentes;1586;326;0;326;1586;10623
Algueña;477;219;0;219;477;17007
la Romana;2961;364;0;364;2961;19039
Xàtiva;9273;2268;263;2268;9536;76966
la Pobla de Vallbona;66713;1459;0;1459;66713;146568
Zucaina;20;454;0;454;20;4783
Quartell;5774;121;0;121;5774;12213
Algemesí;3815;1143;0;1143;3815;62954
Montroi / Montroy;104;229;0;229;104;21221
Enguera;988;1258;0;1258;988;15264
Llutxent;325;737;79;737;404;8577
Benassal;2108;430;0;430;2108;10328
Domeño;79;373;0;373;79;8729
la Pobla de Farnals;2582;1408;0;1408;2582;17936
Tavernes de la Valldigna;0;1879;0;1879;0;44242
Benferri;282;245;0;245;282;21593
Catral;14861;1108;0;1108;14861;59180
l'Alcora;5799;1347;75;1347;5874;42464
Beneixama;3812;314;0;314;3812;13790
