Paradas;25849;283;0;283;25849;30613
Iznatoraf;830;210;0;210;830;5884
Balanegra;470;123;0;123;470;11591
Castilléjar;0;378;0;378;0;32472
Vélez-Blanco;8273;1287;0;1287;8273;16149
Uleila del Campo;404;208;0;208;404;7401
La Lantejuela;2118;175;0;175;2118;21869
Gérgal;8591;919;0;919;8591;25298
Isla Mayor;5943;465;0;465;5943;27145
Cogollos de la Vega;0;372;0;372;0;11465
Jódar;11246;448;0;448;11246;38543
Alameda;3710;244;0;244;3710;22230
Antas;9389;692;0;692;9389;23441
Marmolejo;3498;857;0;857;3498;27913
Alicún;0;67;0;67;0;1563
Dúdar;0;74;0;74;0;5242
La Mojonera;1596;590;0;590;1596;33856
Villardompardo;38;91;0;91;38;4575
Turón;0;145;0;145;0;4963
Víznar;20;280;0;280;20;6755
Urrácal;80;37;0;37;80;2461
Monda;16331;828;0;828;16331;25652
Dos Hermanas;65911;6442;3309;6442;69219;299564
Lecrín;31;592;0;592;31;15106
Casariche;5149;467;0;467;5149;30612
Hinojosa del Duque;3668;928;0;928;3668;32235
Benamejí;1225;233;0;233;1225;16549
Iznalloz;36;1038;0;1038;36;29598
Coripe;765;190;0;190;765;7549
Huétor Vega;9;613;35;613;44;52361
El Pedroso;8801;246;58;246;8859;11636
Puerto Serrano;352;425;0;425;352;29290
Maracena;0;959;0;959;0;46217
Cambil;2008;498;533;498;2541;11199
Cortes de Baza;96;803;0;803;96;40157
Frigiliana;3845;1226;0;1226;3845;14413
Valdelarco;724;73;95;73;819;3131
Villaluenga del Rosario;3025;113;0;113;3025;3025
Rincón de la Victoria;1868;5277;0;5277;1868;129740
Santa Olalla del Cala;1526;304;98;304;1624;12376
Huércal de Almería;3062;2435;158;2435;3220;69401
Quéntar;0;273;0;273;0;8302
San Juan del Puerto;9020;1511;0;1511;9020;27633
La Victoria;1113;149;0;149;1113;14407
Serón;1633;365;0;365;1633;13706
Soportújar;0;77;0;77;0;1654
Berrocal;2641;101;0;101;2641;2641
Montellano;14819;276;0;276;14819;33829
Atarfe;0;10218;0;10218;0;109839
Villafranca de Córdoba;5301;347;0;347;5301;19373
Luque;3580;378;0;378;3580;13039
Arjona;641;1489;0;1489;641;20277
Santa Fe de Mondújar;176;211;0;211;176;2543
Cañaveral de León;887;53;0;53;887;2780
Jérez del Marquesado;0;603;0;603;0;11104
Archidona;4104;1196;0;1196;4104;38622
Los Barrios;61793;2140;0;2140;61793;77937
Agrón;0;73;0;73;0;3973
Marinaleda;8549;181;0;181;8549;13537
Almodóvar del Río;28751;619;0;619;28751;48191
Calicasas;0;68;0;68;0;3448
El Ronquillo;2942;285;0;285;2942;11834
Conquista;1100;97;0;97;1100;3348
Benizalón;0;96;0;96;0;2323
Polopos;0;344;0;344;0;10489
Higuera de Calatrava;1103;77;0;77;1103;5192
Cantillana;2198;587;0;587;2198;39963
Benalmádena;19509;3036;4263;3036;23772;199373
Benalauría;2591;101;0;101;2591;2857
La Rambla;1638;439;0;439;1638;26416
Espeluy;499;96;0;96;499;6022
San Fernando;41985;4927;287;4927;42272;117266
Torre-Cardela;0;110;0;110;0;8640
Olivares;1221;727;0;727;1221;31113
Bayárcal;733;218;0;218;733;3162
Laroya;12;37;0;37;12;1680
Gines;1882;4002;0;4002;1882;45471
Padul;0;1243;0;1243;0;83183
Torrox;19060;3673;0;3673;19060;59630
Guadahortuna;0;208;0;208;0;10770
Carcabuey;1063;156;0;156;1063;9802
Castilleja del Campo;797;68;0;68;797;3274
Albuñol;0;859;0;859;0;25531
Baza;0;2146;0;2146;0;104571
Las Navas de la Concepción;6735;74;0;74;6735;6735
Frailes;1061;141;0;141;1061;10881
Bollullos de la Mitación;2064;1021;0;1021;2064;63781
Pinos Genil;6;235;0;235;6;9904
Caniles;220;776;0;776;220;45034
Lentegí;0;104;0;104;0;2555
Alhaurín el Grande;45022;970;0;970;45022;76326
Gelves;9589;501;91;501;9680;39168
El Cuervo de Sevilla;7663;529;0;529;7663;39229
Cacín;0;172;0;172;0;8253
Aljaraque;19049;1588;285;1588;19334;134744
Torreperogil;3973;468;691;468;4664;30116
Fernán-Núñez;3804;371;0;371;3804;33317
Alhama de Almería;1925;286;0;286;1925;15464
El Valle;9;301;0;301;9;11396
Cádiar;0;404;34;404;34;11861
Villanueva del Arzobispo;1478;1741;84;1741;1563;17313
Villablanca;2569;238;192;238;2761;7896
Purchena;1404;278;0;278;1404;10788
Segura de la Sierra;4814;533;0;533;4814;16419
Ítrabo;0;221;0;221;0;6281
Cortes y Graena;0;247;0;247;0;13597
La Granjuela;513;102;0;102;513;4077
Bayarque;65;76;0;76;65;2846
Cúllar;31;1149;0;1149;31;50390
San Silvestre de Guzmán;1537;104;0;104;1537;4923
Fines;1221;188;0;188;1221;22658
Montizón;162;230;0;230;162;15032
Alcolea;658;326;0;326;658;5448
La Rinconada;35329;3946;9704;3946;45032;141265
Chipiona;39192;2125;405;2125;39598;98071
Aguadulce;10118;131;0;131;10118;10118
Albaida del Aljarafe;290;283;0;283;290;10486
Fuerte del Rey;303;159;0;159;303;9415
Higuera de la Sierra;1508;155;0;155;1508;7382
Pegalajar;1285;257;0;257;1285;14010
Puerto Moral;294;50;0;50;294;2164
Olula de Castro;0;136;0;136;0;3392
Arahal;16098;1167;8587;1167;24685;77998
Los Marines;2517;106;0;106;2517;2517
Sorihuela del Guadalimar;153;254;0;254;153;11070
Puente de Génave;6960;659;0;659;6960;18725
Alcóntar;2071;146;142;146;2213;6664
Alozaina;1215;352;0;352;1215;10353
La Calahorra;0;310;0;310;0;11074
La Granada de Río-Tinto;3153;72;0;72;3153;5001
Valle del Zalabí;27;578;0;578;27;25293
Alosno;22461;392;0;392;22461;22461
Láchar;0;306;0;306;0;33648
Beas de Segura;3507;480;31;480;3538;20586
Sanlúcar de Barrameda;129264;2625;899;2625;130163;217164
Santiago de Calatrava;211;118;0;118;211;4453
Nigüelas;0;275;0;275;0;22860
Cijuela;0;169;0;169;0;20583
Montilla;8501;1216;0;1216;8501;55143
Torre del Campo;5856;881;0;881;5856;46382
Alcalá la Real;31409;1917;518;1917;31928;83443
Churriana de la Vega;0;617;0;617;0;51729
Fuente Vaqueros;0;270;0;270;0;27199
Alájar;2424;263;0;263;2424;6597
Trigueros;9108;289;0;289;9108;26711
Busquístar;0;147;0;147;0;3242
Obejo;894;295;0;295;894;9932
Alcaucín;10608;2009;0;2009;10608;22367
Castellar;760;291;0;291;760;17786
Santo Tomé;272;548;0;548;272;15348
