Llanera;24179;3097;0;3097;24179;51717
Valdés;120412;3556;1073;3556;121485;134695
Morcín;7662;754;1614;754;9276;9869
Cangas de Onís;16163;2936;315;2936;16479;20168
Villaviciosa;28870;3926;0;3926;28870;44960
Ribera de Arriba;5235;796;117;796;5352;5352
Santo Adriano;2374;742;1233;742;3607;4658
Siero;43420;12156;1343;12156;44764;91912
Cudillero;57052;2077;2531;2077;59584;60482
Ribadesella;22248;2895;46;2895;22294;37964
Yernes y Tameza;3433;728;0;728;3433;3433
Gijón/Xixón;12331;29320;1427;29320;13757;354792
Candamo;3606;415;0;415;3606;3606
Illas;771;377;833;377;1604;2340
Santa Eulalia de Oscos;11090;332;0;332;11090;11615
Piloña;25184;2765;939;2765;26123;31815
Cangas del Narcea;133803;3323;1728;3323;135531;145073
Mieres;44029;4909;160;4909;44190;70257
Ponga;7574;1209;514;1209;8089;12779
Navia;52763;2257;0;2257;52763;60390
Sobrescobio;12085;988;0;988;12085;12085
Lena;46466;5369;1411;5369;47877;58967
Quirós;28557;4762;200;4762;28757;28757
Bimenes;5439;4332;0;4332;5439;5439
Tineo;90579;2098;82;2098;90661;94375
Peñamellera Alta;8879;1450;0;1450;8879;9071
Pravia;13470;955;0;955;13470;20609
Degaña;8807;214;0;214;8807;8807
Cabrales;5076;7260;150;7260;5225;7829
Riosa;4811;473;953;473;5764;7749
Pesoz;5476;191;164;191;5640;5640
Tapia de Casariego;30129;1097;0;1097;30129;42802
Llangréu/Langreo;23940;13996;294;13996;24234;91994
Teverga;29176;816;1069;816;30246;30929
Cabranes;7159;497;628;497;7787;7787
Vegadeo;27599;972;2896;972;30495;35344
Coaña;20831;919;0;919;20831;20831
Taramundi;14235;1945;423;1945;14659;16435
Corvera de Asturias;15905;1377;0;1377;15905;38463
Castrillón;46638;3326;378;3326;47016;82036
Nava;20728;912;408;912;21136;27687
Ibias;38581;1310;333;1310;38914;38914
Salas;25108;1870;2042;1870;27150;36137
Gozón;22628;1994;33;1994;22661;40190
Soto del Barco;15638;710;0;710;15638;25412
San Tirso de Abres;9559;452;0;452;9559;9956
Caso;21340;2341;578;2341;21919;25330
Llanes;52608;9774;2560;9774;55168;77728
Colunga;28825;4718;540;4718;29366;42312
Sariego;7113;518;0;518;7113;8720
Villayón;18135;416;619;416;18754;18754
Ribadedeva;9240;724;435;724;9674;10188
Amieva;7116;656;1547;656;8663;8663
Somiedo;33692;2200;366;2200;34058;35371
Parres;9637;1003;504;1003;10141;15384
Onís;8124;1993;0;1993;8124;8124
Carreño;12282;2052;140;2052;12422;28984
Grandas de Salime;20533;725;0;725;20533;23420
Castropol;37061;1439;0;1439;37061;47850
Proaza;15983;448;140;448;16123;16789
Aller;21575;3906;213;3906;21788;31949
Boal;9012;1260;0;1260;9012;10952
Grau/Grado;28671;2190;366;2190;29037;43044
San Martín de Oscos;12427;261;0;261;12427;12427
Illano;16736;595;1076;595;17812;17812
El Franco;9978;610;0;610;9978;17271
Villanueva de Oscos;7114;363;0;363;7114;7114
Las Regueras;6011;670;0;670;6011;6011
Peñamellera Baja;11476;648;0;648;11476;11476
Samartín del Rei Aurelio;22882;2217;192;2217;23074;42624
Noreña;1151;1313;172;1313;1323;17671
Belmonte de Miranda;11830;795;1326;795;13156;15129
Allande;41009;1413;34;1413;41044;42493
Laviana;24242;2595;0;2595;24242;33872
Muros de Nalón;6618;1508;0;1508;6618;15647
Avilés;29759;6149;2246;6149;32005;106383
Oviedo;76932;24509;2878;24509;79810;241023
Caravia;4007;822;0;822;4007;5129
