Sant Llorenç des Cardassar;9712;3413;99;3413;9812;70766
Sencelles;525;449;0;449;525;6933
Binissalem;1146;577;0;577;1146;22617
Llubí;5797;421;0;421;5797;14278
Es Mercadal;7780;6612;0;6612;7780;62185
Escorca;4127;1532;0;1532;4127;6017
Alaior;2139;7980;0;7980;2139;50577
Esporles;9164;1491;0;1491;9164;33647
Algaida;3311;1588;409;1588;3720;23363
Sóller;3742;7720;0;7720;3742;43044
Artà;5144;2070;0;2070;5144;51905
Deià;889;1266;0;1266;889;5290
Andratx;6823;5605;0;5605;6823;84919
Ses Salines;1715;1961;14;1961;1729;34097
Es Migjorn Gran;2496;1710;0;1710;2496;10317
Llucmajor;11742;7251;0;7251;11742;165271
Santa Eugènia;2749;371;0;371;2749;6880
Lloret de Vistalegre;612;230;0;230;612;4093
Maó;13338;27060;466;27060;13804;92348
Marratxí;27878;4753;83;4753;27961;188334
Lloseta;2726;336;0;336;2726;14908
Sant Antoni de Portmany;127131;8729;66;8729;127197;170362
Sant Joan de Labritja;83435;2901;0;2901;83435;99834
Formentera;31339;2988;250;2988;31589;50744
Petra;999;929;0;929;999;14398
Ciutadella;17023;29861;19;29861;17042;135813
Santanyí;26911;20703;420;20703;27331;130867
Campos;6409;3036;0;3036;6409;69644
Palma;83130;22809;392;22809;83522;706826
Son Servera;8798;1981;185;1981;8984;48759
Ariany;378;316;0;316;378;9353
Alcúdia;12690;5177;113;5177;12803;95050
Santa Margalida;6001;2630;0;2630;6001;75087
Selva;2284;999;0;999;2284;14421
Vilafranca de Bonany;948;327;0;327;948;16505
Calvià;15650;15976;920;15976;16569;265261
Manacor;34019;19066;0;19066;34019;201362
Sant Lluís;2420;17347;0;17347;2420;70208
Capdepera;7920;4271;0;4271;7920;98424
Santa María del Camí;128;8656;0;8656;128;17671
Campanet;1665;526;0;526;1665;9614
Maria de la Salut;1445;401;0;401;1445;13230
Costitx;2578;244;0;244;2578;5791
Alaró;715;5244;0;5244;715;16239
Fornalutx;216;1310;142;1310;357;1373
Pollença;15824;13616;1382;13616;17206;82070
Sant Joan;2362;576;0;576;2362;11987
Puigpunyent;3867;697;0;697;3867;14557
Mancor de la Vall;787;237;0;237;787;5959
Felanitx;20383;4702;141;4702;20523;91391
Valldemossa;10256;2554;161;2554;10417;19692
Estellencs;2324;232;0;232;2324;4379
Sa Pobla;8441;1319;0;1319;8441;51700
Búger;236;188;0;188;236;4891
Montuïri;4042;736;0;736;4042;12221
Inca;6498;1811;0;1811;6498;63698
Santa Eulalia del Río;243503;6770;0;6770;243503;321624
Muro;3732;2301;0;2301;3732;40980
Sineu;4363;728;80;728;4443;19458
Banyalbufar;0;935;0;935;0;6247
Bunyola;3861;1777;0;1777;3861;40506
Ferreries;4200;2569;0;2569;4200;17020
Eivissa;16263;4235;28;4235;16291;78245
Porreres;1792;971;163;971;1956;15653
Sant Josep de sa Talaia;132844;8938;632;8938;133476;230280
Es Castell;61;7311;0;7311;61;28861
Consell;1288;364;0;364;1288;10738
