La Victoria de Acentejo;1656;886;0;886;1656;25236
Gáldar;1557;2736;89;2736;1646;96924
San Cristóbal de La Laguna;56357;17374;621;17374;56978;390440
Tejeda;525;1903;0;1903;525;12099
Los Silos;852;7084;0;7084;852;20628
Los Llanos de Aridane;18007;4799;0;4799;18007;64772
Garafía;12677;3529;0;3529;12677;14496
Agüimes;3114;6963;541;6963;3654;129517
Los Realejos;27459;4800;0;4800;27459;97112
Antigua;4431;2982;0;2982;4431;101845
Yaiza;3983;10827;25083;10827;29066;183335
Puntallana;7986;1650;0;1650;7986;13058
Tijarafe;14280;2745;0;2745;14280;26309
La Guancha;6243;928;0;928;6243;24255
Tegueste;4561;1051;0;1051;4561;42806
Tinajo;733;1773;0;1773;733;49460
Ingenio;553;2520;78;2520;631;100971
Arucas;1470;2667;0;2667;1470;91324
El Rosario;5445;13690;89;13690;5534;58458
Tuineje;11614;5329;465;5329;12079;67447
Santiago del Teide;3062;9283;0;9283;3062;30843
Santa Cruz de Tenerife;25862;27914;25;27914;25887;361008
Telde;2623;7172;158;7172;2782;263622
Garachico;6790;5108;0;5108;6790;23566
Valsequillo de Gran Canaria;640;1098;0;1098;640;50401
Güímar;12975;4872;0;4872;12975;58033
Frontera;1666;5788;74;5788;1740;20494
Santa María de Guía de Gran Canaria;303;2174;0;2174;303;41002
Arona;50171;10388;395;10388;50566;207610
Valle Gran Rey;2164;2807;321;2807;2485;16625
Puntagorda;5784;1970;0;1970;5784;24678
Fuencaliente de la Palma;8461;1663;0;1663;8461;17643
Teguise;1613;9807;2030;9807;3642;173202
San Miguel de Abona;36801;3100;0;3100;36801;91877
Tazacorte;2657;2039;0;2039;2657;10579
Mogán;1965;5763;0;5763;1965;84891
Moya;117;1125;0;1125;117;30665
Vallehermoso;11285;2982;2745;2982;14030;18467
Breña Baja;7372;3942;367;3942;7739;30719
Haría;266;2099;0;2099;266;47298
Santa Lucía de Tirajana;5492;2721;0;2721;5492;127564
Artenara;348;1196;0;1196;348;6599
San Andrés y Sauces;6982;1242;0;1242;6982;18045
Hermigua;6361;1868;53;1868;6414;6986
Villa de Mazo;25027;2645;0;2645;25027;32040
Adeje;34617;11821;154;11821;34771;139675
Firgas;289;827;0;827;289;32837
Granadilla de Abona;32498;8255;6678;8255;39177;147732
El Pinar de El Hierro;7489;3118;0;3118;7489;18123
Pájara;3696;10708;1074;10708;4771;66159
Buenavista del Norte;6879;9597;1060;9597;7938;24664
Santa Úrsula;4071;6434;0;6434;4071;58968
El Paso;13165;2802;0;2802;13165;47922
Valverde;10044;9201;107;9201;10151;42768
Guía de Isora;9684;19155;0;19155;9684;62245
San Juan de la Rambla;7131;1330;0;1330;7131;21191
Betancuria;2195;1709;0;1709;2195;8474
Teror;234;1268;0;1268;234;35370
Breña Alta;18135;2162;0;2162;18135;44802
Icod de los Vinos;56133;3062;0;3062;56133;104349
Alajeró;11700;1459;614;1459;12313;16638
San Sebastián de la Gomera;17193;3354;1510;3354;18703;33122
Tacoronte;17004;1572;0;1572;17004;90731
Valleseco;191;848;0;848;191;18864
La Oliva;39171;7173;529;7173;39701;219147
Puerto de la Cruz;5773;5045;0;5045;5773;65459
Arafo;5428;6879;0;6879;5428;28057
Candelaria;18305;19076;0;19076;18305;71522
El Tanque;4853;3984;0;3984;4853;17495
Arico;14219;4366;0;4366;14219;58033
El Sauzal;7014;1203;0;1203;7014;38745
Vilaflor;3114;1812;0;1812;3114;8582
Fasnia;3544;1141;0;1141;3544;13853
Barlovento;8583;1176;0;1176;8583;12595
Vega de San Mateo;1333;1654;0;1654;1333;27474
San Bartolomé;1115;2408;2110;2408;3225;67966
Las Palmas de Gran Canaria;19311;34318;559;34318;19871;530405
Arrecife;4632;3037;0;3037;4632;127634
Tías;3624;4264;2057;4264;5681;123914
Santa Cruz de la Palma;5389;1490;0;1490;5389;24437
San Bartolomé de Tirajana;6860;32755;472;32755;7332;191437
La Matanza de Acentejo;6664;1041;0;1041;6664;26691
Agulo;5674;857;397;857;6071;7293
La Orotava;58256;5068;0;5068;58256;150698
Santa Brígida;1031;1561;0;1561;1031;69432
Puerto del Rosario;91940;4308;0;4308;91940;181101
Agaete;886;2138;1981;2138;2867;21111
San Nicolás de Tolentino;198;2042;0;2042;198;40114
