Palau-sator;0;583;0;583;0;3271
Riner;209;477;0;477;209;1784
el Prat de Llobregat;283;9991;0;9991;283;70375
Sant Esteve de Palautordera;439;274;0;274;439;16212
Verdú;3036;687;0;687;3036;6559
Vilafant;193;1208;0;1208;193;28820
Regencós;0;92;0;92;0;1840
Massanes;68;200;0;200;68;10647
Sant Miquel de Campmajor;0;750;0;750;0;1101
Fígols i Alinyà;0;536;0;536;0;3438
Olesa de Bonesvalls;0;363;0;363;0;26060
Navàs;0;1116;0;1116;0;22058
Gavà;249;2049;0;2049;249;71095
Lleida;2808;10539;38;10539;2846;229512
Vilaür;0;312;0;312;0;1995
Banyoles;0;4934;254;4934;254;65036
Campelles;0;125;0;125;0;2048
el Brull;42;725;0;725;42;1106
Garrigoles;0;227;0;227;0;2194
Vespella de Gaià;27;118;0;118;27;7788
Riu de Cerdanya;0;207;0;207;0;1426
Naut Aran;88;3408;599;3408;687;25160
Torrent;0;334;0;334;0;2563
Montagut i Oix;0;948;0;948;0;4960
Preixana;1226;210;0;210;1226;4166
Das;0;245;0;245;0;7295
Torrelavit;0;360;0;360;0;6163
Santa Bàrbara;0;983;0;983;0;33320
Capellades;0;217;0;217;0;14824
Alpens;603;125;863;125;1466;3388
Sant Pere de Torelló;0;918;0;918;0;13004
Alfarràs;0;1214;0;1214;0;11582
Solsona;304;2723;0;2723;304;33806
Nalec;316;142;0;142;316;1762
Tordera;322;2230;131;2230;453;97901
Cubelles;0;1354;0;1354;0;75275
Lluçà;0;371;0;371;0;1057
Pontons;0;361;0;361;0;6911
Vilanova i la Geltrú;0;22575;0;22575;0;150311
Santa Oliva;0;483;0;483;0;24128
Matadepera;71;2365;0;2365;71;88140
Granollers;4843;8964;0;8964;4843;95357
Sant Quirze del Vallès;3066;1900;266;1900;3332;91273
Alella;1215;701;1318;701;2533;55613
Salomó;0;108;0;108;0;4753
Sant Feliu de Guíxols;234;10464;325;10464;559;87309
Fontanals de Cerdanya;0;577;150;577;150;14176
Salt;0;1347;0;1347;0;30945
Valls;3339;1513;0;1513;3339;84759
Montferri;327;184;0;184;327;3618
Vilabertran;206;162;0;162;206;2777
Sant Ferriol;0;592;0;592;0;193
la Pobla de Massaluca;391;147;0;147;391;2409
Castell-Platja d'Aro;162;6213;0;6213;162;108730
Torroja del Priorat;652;93;0;93;652;2136
Planoles;0;287;0;287;0;5500
Talarn;0;740;0;740;0;7093
Montoliu de Lleida;382;110;0;110;382;4935
Vilaplana;0;449;0;449;0;2305
Susqueda;0;273;0;273;0;225
Clariana de Cardener;0;441;0;441;0;293
la Morera de Montsant;1044;697;0;697;1044;2045
Montferrer i Castellbò;0;1207;0;1207;0;17712
Sant Esteve de la Sarga;0;691;0;691;0;2846
Santa Coloma de Farners;0;3360;0;3360;0;53086
Prat de Comte;0;119;0;119;0;1909
Tavèrnoles;2109;261;0;261;2109;5693
l'Albiol;988;151;0;151;988;6189
Granera;0;298;0;298;0;1465
Solivella;289;1075;0;1075;289;4619
Jafre;0;113;0;113;0;3825
Santa Pau;0;1595;77;1595;77;6856
el Bruc;0;1108;0;1108;0;21271
Pinell de Solsonès;55;596;0;596;55;472
Sant Boi de Lluçanès;1132;251;1273;251;2406;6716
Aiguamúrcia;2412;622;66;622;2478;17143
Seva;1045;920;0;920;1045;54604
Santa Maria de Merlès;0;386;0;386;0;159
Font-rubí;0;533;0;533;0;8335
Caldes de Malavella;601;1440;0;1440;601;73954
Crespià;0;225;30;225;30;2589
Vidreres;528;781;0;781;528;71955
es Bòrdes;0;383;0;383;0;3205
Ogassa;0;311;0;311;0;2650
Canejan;0;765;0;765;0;904
Alins;0;1628;11;1628;11;4409
Vinyols i els Arcs;710;779;0;779;710;10261
Biosca;0;838;0;838;0;2516
Farrera;0;467;0;467;0;2182
Sant Pere Pescador;65;1395;0;1395;65;17213
Montblanc;3326;3696;149;3696;3475;35354
la Coma i la Pedra;0;799;0;799;0;11556
Roda de Ter;3639;220;0;220;3639;20870
La Guingueta d'Àneu;0;1053;1052;1053;1052;5958
Puigverd d'Agramunt;388;250;0;250;388;2581
Palau de Santa Eulàlia;0;388;0;388;0;1524
Madremanya;0;97;371;97;371;2761
Flix;3493;1243;0;1243;3493;21426
Vilallonga del Camp;239;156;13;156;253;9436
Cadaqués;437;2895;0;2895;437;30445
Sant Aniol de Finestres;0;695;154;695;154;1621
Torroella de Fluvià;0;530;85;530;85;7953
Gualta;0;262;0;262;0;4076
Passanant i Belltall;0;643;0;643;0;3169
el Cogul;0;610;0;610;0;2147
les Franqueses del Vallès;6725;1683;0;1683;6725;65002
Canyelles;0;604;0;604;0;53048
Santa Eulàlia de Ronçana;1217;415;94;415;1311;52059
Torre-serona;19;190;0;190;19;6479
Fulleda;898;461;0;461;898;1935
la Bisbal del Penedès;2917;740;0;740;2917;61019
l'Espluga Calba;892;742;0;742;892;3419
Capolat;0;304;0;304;0;141
Garrigàs;0;496;0;496;0;3279
Ivorra;476;241;0;241;476;1312
Vilajuïga;0;1044;0;1044;0;8259
Tona;2296;755;175;755;2470;36990
Mura;0;1508;0;1508;0;3839
Pals;1035;1587;244;1587;1278;40155
la Jonquera;0;1567;0;1567;0;18780
la Torre de Claramunt;0;319;0;319;0;42171
Sant Adrià de Besòs;0;5916;0;5916;0;28266
Sant Mori;0;273;0;273;0;1992
la Pobla de Cérvoles;158;818;0;818;158;2313
Nulles;393;104;34;104;427;3870
Terrassa;1254;11521;0;11521;1254;341124
