Viguera;3496;368;0;368;3496;3995
Viniegra de Abajo;1712;194;0;194;1712;1712
Ribafrecha;403;1664;0;1664;403;14309
Ochánduri;1996;58;0;58;1996;2782
Villalobar de Rioja;2987;42;0;42;2987;2987
Pradejón;11378;445;0;445;11378;14517
Arenzana de Abajo;3302;105;0;105;3302;3302
Zorraquín;1072;117;159;117;1231;1386
Navajún;0;31;0;31;0;1060
Santurde de Rioja;492;140;0;140;492;4053
Sojuela;4968;187;1193;187;6162;6162
Arnedillo;3801;307;220;307;4021;4507
Préjano;1666;374;0;374;1666;3904
Villarejo;541;47;0;47;541;541
Anguciana;2101;116;0;116;2101;6191
Tobía;476;27;0;27;476;476
Almarza de Cameros;1403;91;0;91;1403;1403
Briñas;1278;121;0;121;1278;3674
Galbárruli;1690;117;84;117;1774;1774
Albelda de Iregua;4323;689;1100;689;5423;17129
Soto en Cameros;580;320;2035;320;2615;2881
Azofra;1971;138;0;138;1971;4133
Tormantos;215;55;0;55;215;1510
Canillas de Río Tuerto;2033;54;0;54;2033;2033
Ollauri;6265;72;0;72;6265;6265
Santa Coloma;60;92;0;92;60;2328
Bañares;4238;223;0;223;4238;4256
Arnedo;10201;1124;718;1124;10918;33500
Ocón;6433;297;0;297;6433;8907
Baños de Río Tobía;7554;86;0;86;7554;7554
Ortigosa de Cameros;2435;219;224;219;2659;2755
Zarzosa;336;35;0;35;336;336
Ojacastro;5176;105;0;105;5176;5176
Mansilla de la Sierra;108;96;0;96;108;108
Canales de la Sierra;221;83;0;83;221;670
Cirueña;6790;216;0;216;6790;8122
Fonzaleche;1749;341;0;341;1749;4295
Leiva;771;1399;652;1399;1423;4677
Leza de Río Leza;2763;92;0;92;2763;2763
Uruñuela;5426;100;77;100;5503;5503
Castañares de Rioja;36;94;0;94;36;4163
Lagunilla del Jubera;5994;310;0;310;5994;5994
Muro de Aguas;757;833;0;833;757;3387
Ledesma de la Cogolla;1117;70;0;70;1117;1117
Hornillos de Cameros;49;56;586;56;635;635
El Villar de Arnedo;2989;282;0;282;2989;6759
Sajazarra;839;128;0;128;839;4072
Cervera del Río Alhama;9191;738;6724;738;15915;16447
Alesón;1269;91;0;91;1269;1269
Alfaro;10897;1044;1857;1044;12754;41577
Arrúbal;9655;277;111;277;9766;17154
Agoncillo;2890;518;0;518;2890;11492
Briones;6575;446;609;446;7184;11403
Ajamil;1100;187;0;187;1100;1100
Tricio;4792;81;0;81;4792;4792
Cihuri;6555;121;80;121;6635;6635
Anguiano;328;553;0;553;328;7224
Santo Domingo de la Calzada;5437;1367;441;1367;5878;22445
Villanueva de Cameros;826;101;0;101;826;826
Hormilla;4789;154;0;154;4789;4789
San Vicente de la Sonsierra;2428;414;1105;414;3533;11185
San Román de Cameros;2636;222;0;222;2636;2636
Manzanares de Rioja;2319;53;0;53;2319;2319
Herramélluri;665;42;0;42;665;1991
Cuzcurrita de Río Tirón;5746;192;0;192;5746;9075
Pradillo;1017;74;0;74;1017;1017
Murillo de Río Leza;136;327;0;327;136;4605
Bobadilla;710;14;0;14;710;710
Haro;8537;1129;59;1129;8596;34438
Daroca de Rioja;1187;59;0;59;1187;1187
Tirgo;2242;104;0;104;2242;2242
Hervías;3138;83;0;83;3138;3138
Enciso;417;503;0;503;417;3864
Manjarrés;1501;40;0;40;1501;1501
Villar de Torre;3363;52;0;52;3363;3363
Pazuengos;1041;43;0;43;1041;1041
Valdemadera;0;38;0;38;0;822
Torrecilla en Cameros;970;602;0;602;970;4335
Estollo;2315;25;0;25;2315;2315
Cidamón;66;9;0;9;66;66
Nestares;137;58;0;58;137;1228
Lumbreras;3423;394;42;394;3465;7146
Grañón;974;165;0;165;974;2892
El Redal;2082;58;0;58;2082;2689
Sotés;2784;148;0;148;2784;2784
Cañas;1457;27;0;27;1457;1457
Gimileo;1482;49;0;49;1482;1482
Lardero;11099;651;1856;651;12955;29298
Nájera;10282;681;722;681;11004;21093
Cárdenas;1774;29;0;29;1774;1774
Nalda;11974;430;55;430;12029;14987
Autol;4013;554;2951;554;6964;12164
Grávalos;1638;128;0;128;1638;3562
Foncea;2102;47;0;47;2102;2102
Rabanera;656;39;0;39;656;656
Hormilleja;3234;411;114;411;3347;3347
Pinillos;847;51;0;51;847;847
Clavijo;2707;158;571;158;3277;3756
Matute;2380;115;0;115;2380;2380
Pedroso;400;42;0;42;400;400
Navarrete;6943;559;274;559;7216;12706
San Millán de la Cogolla;1735;135;106;135;1841;3657
San Asensio;11351;273;0;273;11351;11351
Casalarreina;9049;231;56;231;9105;13436
Corporales;1583;20;0;20;1583;1583
Hornos de Moncalvillo;98;45;0;45;98;722
Arenzana de Arriba;1243;68;0;68;1243;1243
Villaverde de Rioja;1329;14;0;14;1329;1852
Huércanos;6353;169;0;169;6353;6353
Cordovín;3124;28;0;28;3124;3124
Santa Eulalia Bajera;1046;59;0;59;1046;1144
Brieva de Cameros;1017;132;380;132;1396;1396
Rodezno;6325;76;0;76;6325;6792
Baños de Rioja;1703;48;0;48;1703;1703
Villalba de Rioja;999;125;0;125;999;2251
Entrena;6774;316;4947;316;11721;11721
Badarán;5627;101;0;101;5627;5627
Sorzano;3120;93;0;93;3120;3287
