Etxalar;0;1461;0;1461;0;3809
Arellano;43;41;0;41;43;2916
Orbaitzeta;0;495;0;495;0;3068
Lana;0;281;110;281;110;5668
Mañeru;126;145;0;145;126;3371
Oco;21;33;0;33;21;1629
Facería 62;0;1;0;1;0;0
Burlada/Burlata;1797;832;118;832;1915;20125
Mues;53;76;0;76;53;2565
Sangüesa/Zangoza;1135;937;0;937;1135;16470
Izagaondoa;0;297;0;297;0;4925
Sarriés/Sartze;100;98;0;98;100;924
Orbara;0;48;0;48;0;1075
Baztan;4004;8841;171;8841;4175;42852
Fontellas;460;313;0;313;460;7723
Genevilla;0;36;95;36;95;1960
Urraul Bajo;26;310;0;310;26;8176
Améscoa Baja;154;555;36;555;191;11877
Metauten;0;215;546;215;546;6327
Oteiza;472;154;0;154;472;6628
Aibar/Oibar;264;256;0;256;264;7712
Sada;313;61;0;61;313;3232
Aranarache;0;31;0;31;0;1470
Igantzi;187;764;0;764;187;3839
Sartaguda;404;409;14;409;418;11145
Ituren;0;776;317;776;317;3153
Urdazubi/Urdax;617;505;0;505;617;2800
Valle de Ollo/Ollaran;209;417;61;417;271;7616
Ablitas;308;372;0;372;308;14575
Facería 39;0;2;0;2;0;0
San Adrián;468;403;0;403;468;28753
Facería 30;0;2;0;2;0;0
Facería 31;0;1;0;1;0;0
Facería 32;0;1;0;1;0;0
Irurtzun;0;191;0;191;0;5902
Funes;3358;443;0;443;3358;14835
Jaurrieta;176;119;0;119;176;2358
Facería 37;0;1;0;1;0;0
Eslava;0;89;0;89;0;3890
Esparza de Salazar;83;44;56;44;140;2004
Castillonuevo;0;95;49;95;49;551
Isaba/Izaba;99;547;0;547;99;3050
Andosilla;737;321;0;321;737;15202
Peralta;2456;692;0;692;2456;23971
Oroz-Betelu;8;101;0;101;8;2919
Facería 55;0;5;0;5;0;0
Goizueta;3;1220;132;1220;134;2500
Pitillas;0;169;0;169;0;6419
Irañeta;0;163;0;163;0;2639
Larraun;17;1574;42;1574;59;15648
Ujué / Uxue;0;263;63;263;63;4657
Piedramillera;37;39;0;39;37;1707
Orísoain;131;57;0;57;131;1147
Erro;451;1256;1413;1256;1864;14399
Mendigorría;127;185;0;185;127;6718
Urroz;0;125;0;125;0;3420
Ibargoiti;0;462;0;462;0;6416
Dicastillo;0;128;0;128;0;4374
Puente la Reina/Gares;463;510;0;510;463;12329
Zabalza;0;100;0;100;0;3587
Cirauqui;96;399;0;399;96;5973
Arróniz;22;176;0;176;22;6795
Facería 85;0;4;0;4;0;0
Obanos;471;287;0;287;471;13425
Murillo el Fruto;82;173;0;173;82;7043
Abaurrepea/Abaurrea Baja;0;102;0;102;0;846
Torralba del Río;163;135;71;135;234;2729
Buñuel;1239;446;0;446;1239;18075
Lakuntza;0;182;0;182;0;5589
Doneztebe/Santesteban;298;583;0;583;298;5365
Bidaurreta;0;80;69;80;69;1630
Etxarri-Aranatz;841;529;0;529;841;13032
Vidángoz/Bidankoze;0;49;0;49;0;1703
Facería 29;0;4;0;4;0;0
Facería 26;0;8;0;8;0;0
Facería 24;0;18;0;18;0;0
Lekunberri;1575;783;0;783;1575;12767
El Busto;72;25;0;25;72;1890
Facería 21;0;1;0;1;0;0
Facería 49;0;8;0;8;0;0
Aranguren;2683;2265;391;2265;3074;40059
Etxauri;285;142;0;142;285;5579
Facería 40;0;4;0;4;0;0
Facería 43;0;1;0;1;0;0
Tudela;16032;3985;0;3985;16032;79166
Facería 45;0;1;0;1;0;0
Fustiñana;448;307;0;307;448;15338
Iturmendi;900;107;0;107;900;4008
Olóriz;142;291;0;291;142;5051
Artajona;264;445;0;445;264;11353
Luzaide/Valcarlos;143;331;0;331;143;1256
Sierra de Aralar/Aralar mendia;0;1194;0;1194;0;0
Oronz;0;27;0;27;0;894
Añorbe;16;155;0;155;16;4524
Izalzu/Itzaltzu;0;66;0;66;0;432
Barillas;44;158;0;158;44;3485
Ezkurra;0;312;45;312;45;1777
Lodosa;299;566;0;566;299;18089
Cáseda;0;230;1474;230;1474;11474
Urrotz;0;212;0;212;0;736
Bakaiku;0;96;0;96;0;2722
Yesa;84;233;0;233;84;6057
Gallués/Galoze;450;74;0;74;450;1886
Unzué;0;161;0;161;0;4039
Abáigar;222;49;0;49;222;1835
Garde;0;199;0;199;0;1770
Sesma;107;171;0;171;107;10419
Liédena;755;197;0;197;755;5069
Uterga;0;71;0;71;0;2010
Aberin;190;64;54;64;243;3134
Bera;368;1938;0;1938;368;8442
Valtierra;352;594;51;594;403;15452
Navascués;184;214;301;214;485;4032
Anue;37;335;0;335;37;5453
