Llanera;24179;3096;0;3096;24179;51717
Valdés;120159;3567;1073;3567;121232;134666
Morcín;7662;754;1614;754;9276;9869
Cangas de Onís;16163;2953;315;2953;16479;20168
Villaviciosa;28870;3928;0;3928;28870;44960
Ribera de Arriba;5235;795;117;795;5352;5352
Santo Adriano;2374;742;1233;742;3607;4658
Siero;43421;12190;1343;12190;44764;91915
Cudillero;56888;2087;2707;2087;59595;60478
Ribadesella;22248;2900;46;2900;22294;37964
Yernes y Tameza;3433;728;0;728;3433;3433
Gijón/Xixón;12299;29464;1337;29464;13636;354806
Candamo;3606;415;0;415;3606;3606
Illas;771;377;833;377;1604;2340
Santa Eulalia de Oscos;11090;335;0;335;11090;11615
Piloña;25184;2768;939;2768;26123;31815
Cangas del Narcea;133803;3336;1728;3336;135531;145073
Mieres;44112;4933;160;4933;44272;70358
Ponga;7574;1218;514;1218;8089;12779
Navia;52763;2257;0;2257;52763;60388
Sobrescobio;12085;989;0;989;12085;12085
Lena;46437;5524;1411;5524;47848;58938
Quirós;28579;4856;200;4856;28779;28779
Bimenes;5439;4337;0;4337;5439;5439
Tineo;90848;2119;82;2119;90929;94643
Peñamellera Alta;8879;1450;0;1450;8879;9071
Pravia;13470;955;0;955;13470;20609
Degaña;8807;214;0;214;8807;8807
Cabrales;5063;7484;150;7484;5213;7816
Riosa;4811;473;953;473;5764;7749
Pesoz;5476;191;164;191;5640;5640
Tapia de Casariego;30129;1102;0;1102;30129;42805
Llangréu/Langreo;23940;14020;294;14020;24234;91995
Teverga;29176;816;1069;816;30246;30929
Cabranes;7159;498;628;498;7787;7787
Vegadeo;27782;985;2896;985;30678;35527
Coaña;20834;938;0;938;20834;20834
Taramundi;14235;1954;423;1954;14659;16435
Corvera de Asturias;15905;1374;0;1374;15905;38463
Castrillón;46638;3326;378;3326;47016;82036
Nava;20728;912;408;912;21136;27687
Ibias;38581;1310;333;1310;38914;38914
Salas;25259;1875;2042;1875;27300;36288
Gozón;22628;1994;33;1994;22661;40190
Soto del Barco;15638;710;0;710;15638;25412
San Tirso de Abres;9559;452;0;452;9559;9956
Caso;21340;2345;578;2345;21919;25330
Llanes;52608;9796;2560;9796;55168;77728
Colunga;28825;4718;540;4718;29366;42312
Sariego;7113;518;0;518;7113;8720
Villayón;18135;415;619;415;18754;18754
Ribadedeva;9240;730;435;730;9674;10188
Amieva;7116;655;1547;655;8663;8663
Somiedo;33692;2200;366;2200;34058;35371
Parres;9637;1003;504;1003;10141;15384
Onís;8124;2033;0;2033;8124;8124
Carreño;12282;2065;140;2065;12422;28984
Grandas de Salime;20533;725;0;725;20533;23420
Castropol;37060;1449;0;1449;37060;47848
Proaza;15983;448;140;448;16123;16789
Aller;21575;3912;213;3912;21788;31949
Boal;9012;1260;0;1260;9012;10952
Grau/Grado;28671;2258;366;2258;29037;43044
San Martín de Oscos;12427;261;0;261;12427;12427
Illano;16736;595;1076;595;17812;17812
El Franco;9978;610;0;610;9978;17271
Villanueva de Oscos;7114;363;0;363;7114;7114
Las Regueras;6011;672;0;672;6011;6011
Peñamellera Baja;11476;656;0;656;11476;11476
Samartín del Rei Aurelio;22882;2222;192;2222;23074;42624
Noreña;1151;1313;172;1313;1323;17671
Belmonte de Miranda;12489;816;1326;816;13815;15789
Allande;41009;1415;34;1415;41044;42493
Laviana;24242;2597;0;2597;24242;33872
Muros de Nalón;6618;1508;0;1508;6618;15647
Avilés;28758;6146;2246;6146;31005;105383
Oviedo;76844;24552;2878;24552;79722;241021
Caravia;4007;822;0;822;4007;5129
