La Victoria de Acentejo;1656;886;0;886;1656;24877
Gáldar;1557;2764;89;2764;1646;97093
San Cristóbal de La Laguna;54708;17469;621;17469;55329;385695
Tejeda;525;1909;0;1909;525;12099
Los Silos;852;7084;0;7084;852;20628
Los Llanos de Aridane;17556;4892;0;4892;17556;64639
Garafía;12677;3531;0;3531;12677;14496
Agüimes;3021;6964;541;6964;3561;129517
Los Realejos;27459;4805;0;4805;27459;97112
La Aldea de San Nicolás;198;2069;0;2069;198;40114
Antigua;5216;3025;0;3025;5216;65137
Yaiza;3209;10875;25083;10875;28292;169003
Puntallana;7986;1655;0;1655;7986;12891
Tijarafe;14280;2748;0;2748;14280;26309
La Guancha;6243;928;0;928;6243;24255
Tegueste;4561;1054;0;1054;4561;42805
Tinajo;428;2311;0;2311;428;46784
Ingenio;553;2520;78;2520;631;100971
Arucas;1470;2667;0;2667;1470;91324
El Rosario;5445;13690;89;13690;5534;58458
Tuineje;19512;5430;465;5430;19977;69921
Santiago del Teide;3062;9285;0;9285;3062;30843
Santa Cruz de Tenerife;25033;28656;25;28656;25058;353427
Telde;2623;7173;158;7173;2782;263622
Garachico;6790;5108;0;5108;6790;23566
Valsequillo de Gran Canaria;640;1109;0;1109;640;50401
Güímar;13424;4902;0;4902;13424;58482
Frontera;1666;5791;74;5791;1740;20494
Santa María de Guía de Gran Canaria;303;2174;0;2174;303;41002
Arona;50214;10428;395;10428;50610;207653
Valle Gran Rey;2164;2807;321;2807;2485;16625
Puntagorda;5784;1970;0;1970;5784;24678
Fuencaliente de la Palma;8461;1675;0;1675;8461;17643
Teguise;1657;9814;2030;9814;3687;161835
San Miguel de Abona;36801;3134;0;3134;36801;91877
Tazacorte;2657;2053;0;2053;2657;10579
Mogán;1965;5771;0;5771;1965;84891
Moya;117;1125;0;1125;117;30665
Vallehermoso;11285;3002;2745;3002;14030;18467
Breña Baja;7703;3948;367;3948;8070;30718
Haría;299;2118;0;2118;299;36846
Santa Lucía de Tirajana;5492;2713;0;2713;5492;127357
Artenara;348;1196;0;1196;348;6599
San Andrés y Sauces;6982;1246;0;1246;6982;18045
Hermigua;6361;1868;53;1868;6414;6986
Villa de Mazo;25152;2678;0;2678;25152;32167
Adeje;34396;12340;154;12340;34549;139673
Firgas;289;827;0;827;289;32837
Granadilla de Abona;32181;8294;6678;8294;38860;148419
El Pinar de El Hierro;7490;3126;0;3126;7490;18356
Pájara;3381;10770;1159;10770;4540;61387
Buenavista del Norte;6879;9597;1060;9597;7938;24664
Santa Úrsula;3578;6433;0;6433;3578;56944
El Paso;13165;2812;0;2812;13165;47922
Valverde;10127;9207;107;9207;10234;42850
Guía de Isora;9684;19154;0;19154;9684;62245
San Juan de la Rambla;7131;1330;0;1330;7131;21191
Betancuria;2394;1709;0;1709;2394;8315
Teror;234;1268;0;1268;234;35370
Breña Alta;18135;2169;0;2169;18135;44802
Icod de los Vinos;56133;3062;0;3062;56133;104349
Alajeró;11896;1468;614;1468;12510;16835
San Sebastián de la Gomera;17501;3792;1510;3792;19011;33414
Tacoronte;16947;1587;0;1587;16947;90679
Valleseco;191;848;0;848;191;18864
La Oliva;38548;7297;530;7297;39078;204342
Puerto de la Cruz;5773;5146;0;5146;5773;65464
Arafo;5497;6889;0;6889;5497;28121
Candelaria;18305;19076;0;19076;18305;71522
El Tanque;4853;3984;0;3984;4853;17495
Arico;14219;4365;0;4365;14219;58027
El Sauzal;7014;1203;0;1203;7014;38745
Vilaflor;3139;1824;0;1824;3139;8608
Fasnia;3544;1155;0;1155;3544;13853
Barlovento;8583;1188;0;1188;8583;12595
Vega de San Mateo;1333;1656;0;1656;1333;27474
San Bartolomé;1037;2419;2111;2419;3148;63070
Las Palmas de Gran Canaria;19287;35135;559;35135;19846;530412
Arrecife;4115;3038;0;3038;4115;115847
Tías;3438;4272;2057;4272;5495;114491
Santa Cruz de la Palma;5389;1496;0;1496;5389;24436
San Bartolomé de Tirajana;6860;32769;472;32769;7332;191437
La Matanza de Acentejo;6664;1041;0;1041;6664;26691
Agulo;5674;857;397;857;6071;7293
La Orotava;58162;5103;0;5103;58162;150697
Santa Brígida;1031;1562;0;1562;1031;69432
Puerto del Rosario;86160;4379;0;4379;86160;173491
Agaete;808;2282;1981;2282;2790;21075
