Algorfa;1113;853;0;853;1113;44566
Vilanova d'Alcolea;0;451;0;451;0;4906
Llíria;2388;3066;381;3066;2768;121325
el Camp de Mirra / Campo de Mirra;2073;143;0;143;2073;5432
l'Alfàs del Pi;33474;1680;0;1680;33474;117927
Bolulla;33;632;0;632;33;1001
Benicarló;899;1110;0;1110;899;71339
Geldo;0;61;0;61;0;3925
Sot de Ferrer;898;236;0;236;898;6175
Carrícola;0;178;0;178;0;505
Argelita;47;109;0;109;47;2088
Almoines;97;114;0;114;97;6106
Algímia d'Alfara;0;190;0;190;0;7227
Almenara;114;794;0;794;114;39718
la Torre de les Maçanes / Torremanzanas;1769;252;0;252;1769;7893
Castellfort;0;98;0;98;0;2874
Cortes de Pallás;0;1951;0;1951;0;6252
Loriguilla;491;198;0;198;491;17162
Chelva;1033;4124;0;4124;1033;11577
Petrés;1818;84;169;84;1987;6257
Zarra;0;108;0;108;0;3467
Xeraco;1985;1352;115;1352;2100;27554
Massalfassar;1778;991;0;991;1778;8828
l'Alqueria d'Asnar;644;127;0;127;644;3288
Bejís;0;161;0;161;0;3889
Canet d'en Berenguer;804;747;301;747;1105;24077
Xodos / Chodos;0;572;0;572;0;2862
Llanera de Ranes;598;112;0;112;598;7526
Sollana;609;681;0;681;609;22449
Castielfabib;3034;911;0;911;3034;7771
Beniarbeig;1841;1765;0;1765;1841;12569
Aielo de Rugat;101;403;0;403;101;1069
Pilar de la Horadada;6859;6414;673;6414;7531;222927
Matet;0;121;0;121;0;2282
Castelló de Rugat;878;1630;0;1630;878;9483
Sueca;1186;1823;0;1823;1186;82032
Godella;9435;749;1181;749;10617;45347
Olocau;0;413;0;413;0;33333
Guadasséquies;79;216;0;216;79;4573
Mutxamel;14681;2020;2019;2020;16701;117259
Titaguas;0;219;0;219;0;7582
Orxeta;5401;179;0;179;5401;9202
Alginet;11484;664;0;664;11484;48574
Beniardá;302;545;0;545;302;455
la Serratella;0;79;0;79;0;1576
Alcàntera de Xúquer;175;90;0;90;175;5579
Alboraia / Alboraya;1592;1415;0;1415;1592;34516
Navajas;77;1091;0;1091;77;8276
Orpesa / Oropesa del Mar;396;2004;0;2004;396;97871
Salem;0;483;0;483;0;2388
l'Olleria;0;353;0;353;0;19559
Benimodo;705;200;0;200;705;10183
Bufali;0;80;0;80;0;1981
Sumacàrcer;329;361;0;361;329;8615
Xirivella;4110;1564;0;1564;4110;47466
Xixona / Jijona;6675;1322;0;1322;6675;19313
Jérica;3178;758;0;758;3178;10758
Museros;5030;549;0;549;5030;16774
Chiva;4859;6496;0;6496;4859;114484
Benagéber;0;314;0;314;0;2182
Pinet;0;357;0;357;0;1068
Higueras;805;177;0;177;805;1932
Eslida;0;301;0;301;0;6668
Massalavés;286;151;0;151;286;7715
Favara;0;256;0;256;0;10560
l'Alqueria de la Comtessa;725;214;0;214;725;9825
Benlloc;0;3652;0;3652;0;5991
el Ràfol d'Almúnia;678;855;3842;855;4520;7705
Cofrentes;0;1615;0;1615;0;4677
Catí;0;361;208;361;208;5472
Caudete de las Fuentes;1586;326;0;326;1586;10623
Algueña;477;219;0;219;477;17007
la Romana;2961;407;0;407;2961;19039
Xàtiva;9272;2717;263;2717;9535;76968
la Pobla de Vallbona;26240;1506;0;1506;26240;137456
Zucaina;20;454;0;454;20;4783
Quartell;5774;121;0;121;5774;12213
Algemesí;3996;1453;0;1453;3996;63301
Montroi / Montroy;104;229;0;229;104;21221
Enguera;989;1345;0;1345;989;15264
Llutxent;325;736;79;736;404;8577
Benassal;2108;431;0;431;2108;10328
Domeño;79;373;0;373;79;8729
la Pobla de Farnals;2582;1534;0;1534;2582;17936
Tavernes de la Valldigna;0;1879;0;1879;0;44242
Benferri;1311;409;0;409;1311;20273
Catral;8415;1109;0;1109;8415;59195
l'Alcora;5799;1354;75;1354;5874;42464
Beneixama;839;323;0;323;839;13790
Agres;17;1103;0;1103;17;1852
Peníscola / Peñíscola;24972;2258;2777;2258;27749;83988
la Llosa de Ranes;652;142;0;142;652;13207
Bèlgida;48;229;0;229;48;4984
Olocau del Rey;992;111;0;111;992;2176
Dénia;68740;25232;2211;25232;70951;218579
la Vilavella;0;241;0;241;0;12174
Benejúzar;663;582;0;582;663;27776
Fontanars dels Alforins;0;302;0;302;0;6626
Sella;1524;1078;198;1078;1722;4565
el Fondó de les Neus / Hondón de las Nieves;1707;427;0;427;1707;23823
Alfara de la Baronia;416;101;0;101;416;4396
