Paradas;25712;269;0;269;25712;29938
Iznatoraf;830;210;0;210;830;5884
Balanegra;470;123;0;123;470;11591
Castilléjar;0;378;0;378;0;32472
Vélez-Blanco;2434;1417;0;1417;2434;17129
Uleila del Campo;404;209;0;209;404;7409
La Lantejuela;2118;175;0;175;2118;21869
Gérgal;8591;920;0;920;8591;25298
Isla Mayor;5940;491;0;491;5940;29176
Cogollos de la Vega;0;382;0;382;0;11717
Jódar;11246;448;0;448;11246;38543
Alameda;3710;244;0;244;3710;22230
Antas;9389;755;0;755;9389;23441
Marmolejo;3498;870;0;870;3498;27913
Alicún;0;67;0;67;0;1563
Dúdar;0;74;0;74;0;5242
La Mojonera;1596;590;0;590;1596;33856
Villardompardo;38;91;0;91;38;4575
Turón;0;145;0;145;0;4963
Víznar;20;280;0;280;20;6755
Urrácal;80;37;0;37;80;2461
Monda;16331;828;0;828;16331;25652
Dos Hermanas;65944;6466;3309;6466;69253;297939
Lecrín;31;693;0;693;31;15106
Casariche;5149;467;0;467;5149;30612
Hinojosa del Duque;3668;931;0;931;3668;32235
Benamejí;1225;233;0;233;1225;16549
Iznalloz;0;1060;0;1060;0;29598
Coripe;765;190;0;190;765;7549
Huétor Vega;9;638;49;638;58;52200
El Pedroso;8801;246;58;246;8859;11636
Puerto Serrano;352;425;0;425;352;29290
Maracena;0;960;0;960;0;46178
Cambil;2008;498;533;498;2541;11199
Cortes de Baza;96;811;0;811;96;40157
Frigiliana;3834;1535;0;1535;3834;14407
Valdelarco;724;73;95;73;819;3131
Villaluenga del Rosario;3025;113;0;113;3025;3025
Rincón de la Victoria;1868;5284;0;5284;1868;129858
Santa Olalla del Cala;1711;322;98;322;1809;12561
Huércal de Almería;3062;2435;158;2435;3220;69401
Quéntar;0;273;0;273;0;8302
San Juan del Puerto;9020;1515;0;1515;9020;27633
La Victoria;1113;149;0;149;1113;14407
Serón;1633;369;0;369;1633;13706
Soportújar;0;99;0;99;0;1654
Berrocal;2641;101;0;101;2641;2641
Montellano;14819;276;0;276;14819;33829
Atarfe;0;11574;0;11574;0;109271
Villafranca de Córdoba;5301;347;0;347;5301;19373
Luque;3580;382;0;382;3580;13039
Arjona;641;1489;0;1489;641;20277
Santa Fe de Mondújar;176;223;0;223;176;2543
Cañaveral de León;887;53;0;53;887;2780
Jérez del Marquesado;0;603;0;603;0;11080
Archidona;4104;1196;0;1196;4104;38622
Los Barrios;62232;2169;0;2169;62232;78376
Agrón;0;88;0;88;0;3953
Marinaleda;8549;181;0;181;8549;13537
Almodóvar del Río;28751;619;0;619;28751;48191
Calicasas;0;90;0;90;0;2532
El Ronquillo;2942;285;0;285;2942;11834
Conquista;1100;97;0;97;1100;3348
Benizalón;0;96;0;96;0;2323
Polopos;0;344;0;344;0;10489
Higuera de Calatrava;1103;77;0;77;1103;5192
Cantillana;2198;587;0;587;2198;39963
Benalmádena;19550;3069;4279;3069;23829;200138
Benalauría;2591;101;0;101;2591;2857
La Rambla;1638;439;0;439;1638;26416
Espeluy;499;96;0;96;499;6022
San Fernando;37684;6007;287;6007;37971;111617
Torre-Cardela;0;110;0;110;0;8640
Olivares;1221;727;0;727;1221;31113
Bayárcal;733;219;0;219;733;3162
Laroya;12;37;0;37;12;1680
Gines;1668;4012;37;4012;1704;45509
Padul;0;1248;0;1248;0;83183
Torrox;17712;5465;0;5465;17712;61011
Guadahortuna;0;208;0;208;0;10770
Carcabuey;1063;156;0;156;1063;9802
Castilleja del Campo;797;68;0;68;797;3274
Albuñol;0;883;0;883;0;25886
Baza;0;2159;0;2159;0;104571
Las Navas de la Concepción;6735;74;0;74;6735;6735
Frailes;1061;141;0;141;1061;10881
Bollullos de la Mitación;2064;1021;0;1021;2064;63782
Pinos Genil;6;241;0;241;6;9897
Caniles;220;799;0;799;220;45034
Lentegí;0;104;0;104;0;2555
Alhaurín el Grande;45022;976;0;976;45022;76326
Gelves;9589;501;91;501;9680;39168
El Cuervo de Sevilla;7663;529;0;529;7663;39731
Cacín;0;172;0;172;0;8253
Aljaraque;19213;1608;283;1608;19496;134906
Torreperogil;3973;466;691;466;4664;30116
Fernán-Núñez;3804;371;0;371;3804;33317
Alhama de Almería;1925;291;0;291;1925;15398
El Valle;9;304;0;304;9;11396
Cádiar;0;414;34;414;34;11861
Villanueva del Arzobispo;1478;1741;84;1741;1563;17313
Villablanca;2569;238;192;238;2761;7896
Purchena;1404;278;0;278;1404;10788
Segura de la Sierra;4704;529;0;529;4704;16342
Ítrabo;0;221;0;221;0;6281
Cortes y Graena;0;247;0;247;0;13597
La Granjuela;513;102;0;102;513;4077
Bayarque;65;76;0;76;65;2846
Cúllar;31;1164;0;1164;31;50390
San Silvestre de Guzmán;1537;104;0;104;1537;4923
Fines;1221;188;0;188;1221;22658
Montizón;162;231;0;231;162;15032
Alcolea;658;326;0;326;658;5448
La Rinconada;31091;4577;9985;4577;41076;141275
Chipiona;39192;2127;405;2127;39598;98071
Aguadulce;10118;131;0;131;10118;10118
Albaida del Aljarafe;290;283;0;283;290;10486
Fuerte del Rey;303;159;0;159;303;9415
Higuera de la Sierra;1508;155;0;155;1508;7382
Pegalajar;1285;257;0;257;1285;14010
Puerto Moral;294;50;0;50;294;2164
Olula de Castro;0;136;0;136;0;3392
Arahal;16318;1332;8587;1332;24904;81411
Los Marines;2517;110;0;110;2517;2517
Sorihuela del Guadalimar;153;254;0;254;153;11070
Puente de Génave;6960;705;0;705;6960;18725
Alcóntar;2071;146;142;146;2213;6664
Alozaina;1215;352;0;352;1215;10353
La Calahorra;0;310;0;310;0;11074
La Granada de Río-Tinto;3153;72;0;72;3153;5001
Valle del Zalabí;27;578;0;578;27;25293
Alosno;22461;392;0;392;22461;22461
Láchar;0;306;0;306;0;33648
Beas de Segura;3495;487;31;487;3526;20574
Sanlúcar de Barrameda;129007;2724;899;2724;129906;218020
Santiago de Calatrava;211;119;0;119;211;4453
Nigüelas;0;279;0;279;0;22860
Cijuela;0;169;0;169;0;20583
Montilla;8501;1216;0;1216;8501;55143
Torre del Campo;5856;890;0;890;5856;46413
Alcalá la Real;31409;1917;518;1917;31928;83443
Churriana de la Vega;0;617;0;617;0;51729
Fuente Vaqueros;59;363;0;363;59;28862
Alájar;2424;263;0;263;2424;6597
Trigueros;9108;291;0;291;9108;26711
Busquístar;0;147;0;147;0;3242
Obejo;896;311;0;311;896;9967
Alcaucín;10608;2058;0;2058;10608;22367
Castellar;760;291;0;291;760;17786
Santo Tomé;272;548;0;548;272;15348
Beires;26;59;0;59;26;1887
Monturque;617;153;0;153;617;7394
Fonelas;0;146;0;146;0;9662
El Rubio;6842;126;0;126;6842;17252
Benahadux;1522;377;53;377;1575;16693
Cardeña;3673;470;0;470;3673;9564
Dos Torres;4770;299;0;299;4770;18433
Puerto Real;39199;3137;3818;3137;43018;128284
Cabra del Santo Cristo;1906;193;0;193;1906;9568
La Peza;0;290;0;290;0;10693
Huesa;935;522;0;522;935;13292
La Puebla de los Infantes;2396;238;0;238;2396;15515
