Llanera;24179;3104;0;3104;24179;51717
Valdés;120159;3572;1073;3572;121232;134666
Morcín;7662;754;1614;754;9276;9869
Cangas de Onís;16105;2956;315;2956;16420;20110
Villaviciosa;28870;3928;0;3928;28870;44960
Ribera de Arriba;5235;793;117;793;5352;5352
Santo Adriano;2374;742;1233;742;3607;4658
Siero;43336;12196;1343;12196;44679;91915
Cudillero;56888;2089;2707;2089;59595;60478
Ribadesella;22512;2907;46;2907;22558;38228
Yernes y Tameza;3433;728;0;728;3433;3433
Gijón/Xixón;12299;29548;1337;29548;13636;354698
Candamo;3606;415;0;415;3606;3606
Illas;771;377;833;377;1604;2340
Santa Eulalia de Oscos;11090;356;0;356;11090;11615
Piloña;25221;9638;939;9638;26160;31909
Cangas del Narcea;133673;3341;1728;3341;135402;144943
Mieres;44917;4941;305;4941;45223;70765
Ponga;7607;1223;514;1223;8121;12811
Navia;52941;2294;0;2294;52941;60567
Sobrescobio;12085;988;0;988;12085;12085
Lena;46437;5524;1411;5524;47848;58938
Quirós;28579;4857;200;4857;28779;28779
Bimenes;5439;4337;0;4337;5439;5439
Tineo;90728;2140;82;2140;90810;94524
Peñamellera Alta;8879;1450;0;1450;8879;9071
Pravia;13470;965;0;965;13470;20609
Degaña;8807;215;0;215;8807;8807
Cabrales;5065;7571;150;7571;5214;7818
Riosa;4811;473;953;473;5764;7749
Pesoz;5476;192;164;192;5640;5640
Tapia de Casariego;30129;1119;0;1119;30129;42805
Llangréu/Langreo;23939;14019;294;14019;24233;91994
Teverga;29176;816;1069;816;30246;30929
Cabranes;7159;498;628;498;7787;7787
Vegadeo;28227;1054;2896;1054;31124;35972
Coaña;20988;965;0;965;20988;21710
Taramundi;14625;1989;423;1989;15048;16825
Corvera de Asturias;15905;1374;0;1374;15905;38463
Castrillón;46638;3326;378;3326;47016;82036
Nava;20728;918;408;918;21136;27687
Ibias;38581;1309;333;1309;38914;38914
Salas;25259;1875;2042;1875;27300;36288
Gozón;22628;2006;33;2006;22661;40190
Soto del Barco;15638;712;0;712;15638;25412
San Tirso de Abres;9559;452;0;452;9559;9956
Caso;21340;2358;578;2358;21919;25330
Llanes;52885;10035;2560;10035;55445;78005
Colunga;28825;4716;540;4716;29366;42312
Sariego;7113;523;0;523;7113;8720
Villayón;18135;429;619;429;18754;18754
Ribadedeva;9240;752;431;752;9671;10184
Amieva;7116;663;1547;663;8663;8663
Somiedo;33692;2200;366;2200;34058;35371
Parres;9637;1020;504;1020;10141;15384
Onís;8124;2033;0;2033;8124;8124
Carreño;12282;2095;140;2095;12422;28984
Grandas de Salime;20533;725;0;725;20533;23420
Castropol;37060;1456;0;1456;37060;47859
Proaza;15983;448;140;448;16123;16789
Aller;21846;3929;213;3929;22059;31654
Boal;9275;1268;0;1268;9275;11214
Grau/Grado;28671;2259;366;2259;29037;43044
San Martín de Oscos;12427;263;0;263;12427;12427
Illano;16712;601;1076;601;17787;17787
El Franco;9978;616;0;616;9978;17271
Villanueva de Oscos;7114;375;0;375;7114;7114
Las Regueras;6011;672;0;672;6011;6011
Peñamellera Baja;11476;658;0;658;11476;11476
Samartín del Rei Aurelio;22882;2231;192;2231;23074;42624
Noreña;1151;1313;172;1313;1323;17671
Belmonte de Miranda;12489;839;1326;839;13815;15789
Allande;41009;1415;34;1415;41044;42493
Laviana;24242;2597;0;2597;24242;33872
Muros de Nalón;6618;1508;0;1508;6618;15647
Avilés;28463;6146;2246;6146;30709;105383
Oviedo;76843;24569;2878;24569;79721;241047
Caravia;4007;822;0;822;4007;5129
