Sant Llorenç des Cardassar;5607;3436;99;3436;5706;61980
Sencelles;525;454;0;454;525;6933
Binissalem;1146;600;0;600;1146;22617
Llubí;5797;430;0;430;5797;14278
Es Mercadal;7780;7019;0;7019;7780;62185
Escorca;4127;1540;0;1540;4127;6017
Alaior;2139;9656;0;9656;2139;50577
Esporles;8907;1500;0;1500;8907;33646
Algaida;3311;1589;409;1589;3720;23359
Sóller;3742;7762;0;7762;3742;43072
Artà;5144;2077;0;2077;5144;51905
Deià;889;1266;0;1266;889;5293
Andratx;6491;5621;0;5621;6491;84965
Santa Eulària des Riu;242352;6859;48;6859;242400;322544
Ses Salines;1715;1961;14;1961;1729;34097
Es Migjorn Gran;2496;1710;0;1710;2496;10317
Llucmajor;11981;7353;0;7353;11981;164052
Santa Eugènia;2749;372;0;372;2749;6880
Lloret de Vistalegre;612;230;0;230;612;4147
Maó;13338;27060;466;27060;13804;92363
Marratxí;28247;4761;83;4761;28330;188928
Lloseta;2726;354;0;354;2726;14914
Sant Antoni de Portmany;126566;8768;58;8768;126624;170313
Sant Joan de Labritja;85170;3016;0;3016;85170;102447
Formentera;31339;3035;250;3035;31589;50744
Petra;999;931;0;931;999;14398
Ciutadella;17052;29877;19;29877;17071;135851
Santanyí;26276;20716;420;20716;26697;131027
Campos;6409;3038;0;3038;6409;69644
Palma;83113;23859;392;23859;83505;706441
Son Servera;8864;2028;185;2028;9050;48824
Ariany;378;317;0;317;378;9353
Alcúdia;12542;5223;7;5223;12550;94915
Santa Margalida;6239;2681;0;2681;6239;75325
Selva;2162;1012;0;1012;2162;14298
Vilafranca de Bonany;948;327;0;327;948;16505
Calvià;15422;16140;920;16140;16342;264907
Manacor;32855;19099;0;19099;32855;200961
Sant Lluís;2420;17348;0;17348;2420;70208
Capdepera;7920;4275;0;4275;7920;98442
Santa María del Camí;70;8667;0;8667;70;17772
Campanet;1641;536;0;536;1641;9616
Maria de la Salut;1445;403;0;403;1445;13230
Costitx;2578;249;0;249;2578;5791
Alaró;715;5304;0;5304;715;16239
Fornalutx;216;1359;142;1359;357;1373
Pollença;15832;13642;1382;13642;17215;82078
Sant Joan;2362;590;0;590;2362;11987
Puigpunyent;3867;699;0;699;3867;14557
Mancor de la Vall;787;247;0;247;787;5959
Felanitx;20352;4719;50;4719;20401;91308
Valldemossa;10256;2568;161;2568;10417;19692
Estellencs;2324;240;0;240;2324;4379
Sa Pobla;7783;1335;0;1335;7783;51700
Búger;236;189;0;189;236;4891
Montuïri;4042;741;0;741;4042;12221
Inca;6498;1861;0;1861;6498;63698
Muro;2970;2331;0;2331;2970;40464
Sineu;4363;748;80;748;4443;19458
Banyalbufar;0;980;0;980;0;6247
Bunyola;3926;1793;0;1793;3926;40572
Ferreries;4200;2840;0;2840;4200;17020
Eivissa;14311;4350;28;4350;14339;76406
Porreres;1792;973;163;973;1956;15653
Sant Josep de sa Talaia;132588;9031;632;9031;133220;230230
Es Castell;61;7311;0;7311;61;28861
Consell;1288;374;0;374;1288;10738
