Villarejo de Fuentes;7920;599;0;599;7920;7920
Retamoso de la Jara;35;67;0;67;35;3626
Membrilla;1638;303;0;303;1638;37030
El Recuenco;2122;47;0;47;2122;2122
Sigüenza;17993;2370;3125;2370;21118;45754
Santa María del Val;0;45;0;45;0;1216
El Cubillo de Uceda;973;65;0;65;973;1923
Los Pozuelos de Calatrava;269;108;0;108;269;2808
Estriégana;579;54;0;54;579;625
Toledo;62841;8777;1600;8777;64442;251123
Medranda;1385;54;0;54;1385;2076
Corral de Almaguer;7483;634;0;634;7483;44266
Valdeolivas;1440;403;0;403;1440;4262
Hombrados;310;28;0;28;310;923
Tórtola de Henares;1443;127;0;127;1443;14377
Valdesotos;763;202;0;202;763;763
Almonacid de Zorita;5250;394;0;394;5250;12537
Guadalmez;0;92;0;92;0;7218
Paredes de Sigüenza;1882;50;0;50;1882;1882
Cabezarados;466;46;0;46;466;2234
Caspueñas;1381;35;0;35;1381;1381
Alcohujate;0;44;0;44;0;2799
Belmontejo;711;116;0;116;711;4113
Daimiel;10792;1663;68;1663;10860;73203
Villamiel de Toledo;553;100;0;100;553;10541
Navalcán;769;293;0;293;769;17027
Maqueda;1003;211;0;211;1003;6074
Mesegar de Tajo;882;58;0;58;882;4406
Pozorrubio;6304;165;0;165;6304;6304
Arroba de los Montes;376;50;0;50;376;3462
Orea;58;179;0;179;58;4469
Tartanedo;2623;387;20;387;2643;9614
Taragudo;121;74;0;74;121;2108
Escalonilla;389;291;0;291;389;11850
La Cierva;0;106;0;106;0;1885
Caleruela;44;53;0;53;44;2978
Atanzón;33;174;0;174;33;3069
Tejadillos;311;32;0;32;311;2305
Molinicos;15117;713;0;713;15117;21135
San Pedro Palmiches;482;248;69;248;551;3347
Peñas de San Pedro;7973;1131;0;1131;7973;19031
La Torre de Esteban Hambrán;2628;255;1557;255;4185;15248
Villatoya;1600;534;883;534;2484;4677
Porzuna;3458;364;0;364;3458;28762
Tendilla;222;482;3049;482;3271;5022
Caudete;10753;1656;0;1656;10753;51434
Puebla de Beleña;1030;187;0;187;1030;1233
Hortezuela de Océn;1176;41;177;41;1353;1353
Palomares del Campo;5125;907;0;907;5125;8279
Talayuelas;9676;296;0;296;9676;15267
Alovera;5172;1196;62;1196;5234;62095
Zarzuela de Jadraque;948;20;0;20;948;948
Montearagón;539;73;0;73;539;4048
Las Ventas con Peña Aguilera;14753;278;0;278;14753;15367
Solana del Pino;953;197;0;197;953;3936
Madrigueras;2746;505;0;505;2746;35313
Aldeanueva de Barbarroya;3628;200;0;200;3628;14181
Castillo de Garcimuñoz;1637;410;0;410;1637;4199
Cardiel de los Montes;2131;147;0;147;2131;12042
Luciana;94;80;0;80;94;5247
Malaguilla;2037;121;0;121;2037;2037
Erustes;0;108;0;108;0;4506
Burujón;1333;227;0;227;1333;13069
Huérmeces del Cerro;430;22;0;22;430;430
Jadraque;8278;628;0;628;8278;17120
Alcázar de San Juan;9670;3629;0;3629;9670;132885
Villar del Humo;424;123;0;123;424;3155
Puerto de San Vicente;289;134;0;134;289;6223
Montesclaros;894;105;0;105;894;6488
Pajaroncillo;369;110;0;110;369;1725
Valmojado;1538;311;0;311;1538;21806
Yeles;3959;412;0;412;3959;53741
Priego;607;687;0;687;607;8176
Torrejoncillo del Rey;236;713;0;713;236;16419
Cuerva;1926;130;0;130;1926;10537
Pozo de Guadalajara;147;190;0;190;147;9883
Yebra;9364;164;0;164;9364;9364
Ruidera;428;232;0;232;428;9737
Auñón;2650;256;0;256;2650;4835
Chillarón de Cuenca;2491;174;0;174;2491;7558
La Guardia;6938;711;0;711;6938;28896
Montiel;263;288;0;288;263;15067
Palomera;268;150;0;150;268;1589
Huérguina;781;26;0;26;781;1855
Huelves;711;138;0;138;711;3385
Torrenueva;4443;189;0;189;4443;19647
Tordellego;62;29;0;29;62;899
Fuentenava de Jábaga;2856;436;0;436;2856;12416
