Palau-sator;0;582;0;582;0;3271
Riner;0;477;0;477;0;1784
el Prat de Llobregat;204;10001;0;10001;204;70362
Sant Esteve de Palautordera;439;274;0;274;439;16212
Verdú;3036;691;0;691;3036;6559
Vilafant;120;1219;0;1219;120;29073
Regencós;0;93;0;93;0;1840
Massanes;68;200;0;200;68;10647
Sant Miquel de Campmajor;0;757;0;757;0;1101
Fígols i Alinyà;0;572;0;572;0;3438
Olesa de Bonesvalls;0;365;0;365;0;26062
Navàs;0;1151;0;1151;0;22058
Gavà;249;2083;0;2083;249;71095
Lleida;2611;10885;38;10885;2649;229279
Vilaür;0;312;0;312;0;1995
Banyoles;0;4945;254;4945;254;65053
Campelles;0;126;0;126;0;2048
el Brull;42;726;0;726;42;1106
Garrigoles;0;227;0;227;0;2194
Vespella de Gaià;27;119;0;119;27;8042
Riu de Cerdanya;0;211;0;211;0;1426
Naut Aran;88;3482;495;3482;583;25093
Torrent;0;335;0;335;0;2566
Montagut i Oix;0;1055;0;1055;0;4960
Preixana;1076;210;0;210;1076;4016
Das;0;246;0;246;0;7295
Torrelavit;0;374;0;374;0;6167
Santa Bàrbara;0;987;0;987;0;33320
Capellades;0;217;0;217;0;14824
Alpens;195;144;693;144;888;3798
Sant Pere de Torelló;0;918;0;918;0;13004
Alfarràs;0;1215;0;1215;0;11515
Solsona;304;2744;0;2744;304;33808
Nalec;316;142;0;142;316;1762
Tordera;322;2329;131;2329;453;97901
Cubelles;0;1356;0;1356;0;75284
Lluçà;0;371;0;371;0;1057
Pontons;0;361;0;361;0;6911
Vilanova i la Geltrú;0;24422;0;24422;0;150323
Santa Oliva;0;486;0;486;0;24128
Matadepera;71;2446;0;2446;71;88140
Granollers;4843;9021;0;9021;4843;95319
Sant Quirze del Vallès;3012;1900;266;1900;3278;91219
Alella;1215;701;1318;701;2533;55613
Salomó;0;133;0;133;0;4753
Sant Feliu de Guíxols;234;10529;325;10529;559;87310
Fontanals de Cerdanya;0;577;150;577;150;14176
Salt;0;1347;0;1347;0;30945
Valls;2770;1528;0;1528;2770;84794
Montferri;0;201;0;201;0;3141
Vilabertran;0;165;0;165;0;2777
Sant Ferriol;0;613;0;613;0;193
la Pobla de Massaluca;391;149;0;149;391;2409
Castell-Platja d'Aro;162;6221;0;6221;162;108718
Torroja del Priorat;574;104;0;104;574;2134
Planoles;0;294;0;294;0;5500
Talarn;0;744;0;744;0;7093
Montoliu de Lleida;382;110;0;110;382;4935
Vilaplana;0;449;0;449;0;2305
Susqueda;0;316;0;316;0;225
Clariana de Cardener;0;457;0;457;0;293
la Morera de Montsant;1044;746;0;746;1044;2045
Montferrer i Castellbò;0;1207;0;1207;0;18053
Sant Esteve de la Sarga;0;707;0;707;0;2846
Santa Coloma de Farners;95;3380;0;3380;95;53185
Prat de Comte;0;122;0;122;0;1909
Tavèrnoles;2109;261;0;261;2109;5693
l'Albiol;988;172;0;172;988;6189
Granera;0;358;0;358;0;1465
Solivella;270;1095;0;1095;270;4601
Jafre;0;113;0;113;0;3825
Santa Pau;0;1647;77;1647;77;6856
el Bruc;0;1128;0;1128;0;21271
Pinell de Solsonès;55;596;0;596;55;472
Sant Boi de Lluçanès;136;259;1177;259;1313;6642
Aiguamúrcia;1242;663;66;663;1308;17202
Seva;1045;920;0;920;1045;54604
Santa Maria de Merlès;0;386;0;386;0;159
Font-rubí;0;533;0;533;0;8329
Caldes de Malavella;601;1465;0;1465;601;74500
Crespià;0;227;30;227;30;2589
Vidreres;528;787;0;787;528;71955
es Bòrdes;0;384;0;384;0;2745
Ogassa;0;311;0;311;0;2650
Canejan;0;767;0;767;0;904
Alins;0;1629;11;1629;11;4409
Vinyols i els Arcs;324;785;0;785;324;10189
Biosca;0;839;0;839;0;2516
Farrera;0;467;0;467;0;2182
Sant Pere Pescador;65;1395;0;1395;65;17213
Montblanc;3326;3706;149;3706;3475;35354
la Coma i la Pedra;0;804;0;804;0;11556
Roda de Ter;3639;220;0;220;3639;20870
La Guingueta d'Àneu;0;1056;1052;1056;1052;5958
Puigverd d'Agramunt;258;250;0;250;258;2596
Palau de Santa Eulàlia;0;388;0;388;0;1524
Madremanya;0;97;371;97;371;2761
Flix;3493;1246;0;1246;3493;21426
Vilallonga del Camp;239;156;13;156;253;9436
Cadaqués;0;2903;0;2903;0;30445
Sant Aniol de Finestres;0;773;154;773;154;1621
Torroella de Fluvià;0;532;85;532;85;7953
Gualta;0;261;0;261;0;4076
Passanant i Belltall;0;647;0;647;0;3169
el Cogul;0;610;0;610;0;2147
les Franqueses del Vallès;7022;1759;91;1759;7113;65290
Canyelles;0;622;0;622;0;54078
Santa Eulàlia de Ronçana;1217;415;94;415;1311;52059
Torre-serona;19;190;0;190;19;6479
Fulleda;898;461;0;461;898;1935
la Bisbal del Penedès;0;771;0;771;0;58141
l'Espluga Calba;599;744;0;744;599;3380
Capolat;0;304;0;304;0;141
Garrigàs;0;496;0;496;0;3279
Ivorra;476;241;0;241;476;1312
Vilajuïga;0;1059;0;1059;0;8259
Tona;2148;756;175;756;2322;36990
Mura;0;1891;0;1891;0;3839
Pals;1035;1585;244;1585;1278;40155
la Jonquera;0;1637;0;1637;0;18778
la Torre de Claramunt;0;330;0;330;0;42171
Sant Adrià de Besòs;0;5928;0;5928;0;28261
Sant Mori;0;273;0;273;0;1992
la Pobla de Cérvoles;158;824;0;824;158;2387
Nulles;393;104;34;104;427;3870
Terrassa;1301;11595;0;11595;1301;341581
Riudecanyes;2733;315;0;315;2733;12884
Pont de Molins;0;273;0;273;0;3881
Saldes;0;801;0;801;0;3864
Martorell;974;2033;0;2033;974;45727
Cassà de la Selva;219;774;0;774;219;37268
Sant Feliu de Codines;1041;599;15;599;1056;25917
el Pla de Santa Maria;2677;627;41;627;2718;26829
Ullastret;0;151;0;151;0;3476
Vinebre;458;235;0;235;458;3539
Montellà i Martinet;46;637;0;637;46;6553
Torroella de Montgrí;487;6033;47;6033;534;72385
Almatret;1297;785;0;785;1297;3400
Sudanell;362;153;112;153;474;6932
Sant Joan Despí;54;2174;0;2174;54;35715
la Vall de Bianya;371;1021;0;1021;371;5356
Molló;0;750;0;750;0;7105
Aiguafreda;314;485;54;485;368;14577
Móra la Nova;622;445;0;445;622;13864
Callús;2917;693;563;693;3481;10009
Alpicat;3773;690;0;690;3773;34468
Fortià;0;159;0;159;0;7844
Marçà;855;331;286;331;1141;3047
Margalef;0;174;0;174;0;1507
Albanyà;0;676;0;676;0;1610
Santa Maria de Palautordera;3331;1233;0;1233;3331;55588
Gaià;0;338;0;338;0;562
Oliana;0;570;0;570;0;12735
el Milà;0;145;0;145;0;1017
Montcada i Reixac;848;15460;33;15460;881;68383
Bordils;0;317;179;317;179;9716
Vic;1606;4748;0;4748;1606;112610
Sant Climent Sescebes;0;348;0;348;0;4738
Santa Eulàlia de Riuprimer;54;165;92;165;146;5188
Oristà;1996;814;0;814;1996;5607
Riudaura;0;95;0;95;0;2437
Sant Llorenç d'Hortons;0;341;0;341;0;18752
Fogars de Montclús;0;827;0;827;0;2009
Torrefarrera;1741;371;0;371;1741;23135
Lladó;0;607;0;607;0;6815
la Selva de Mar;0;357;0;357;0;2659
el Molar;76;90;0;90;76;2192
Olivella;0;648;0;648;0;70616
Vallfogona de Balaguer;724;607;0;607;724;15815
les Cabanyes;0;53;0;53;0;5989
Santa Llogaia d'Àlguema;0;146;0;146;0;3944
Alfara de Carles;0;1627;297;1627;297;2491
Jorba;0;420;0;420;0;7790
Vilademuls;0;1230;0;1230;0;4434
Móra d'Ebre;2943;705;0;705;2943;25235
Sant Andreu de la Barca;381;1293;0;1293;381;46840
Santa Coloma de Gramenet;0;26736;0;26736;0;63861
Tortosa;250;30600;0;30600;250;108299
Sant Boi de Llobregat;580;10401;6;10401;586;122247
el Pont de Suert;0;1482;105;1482;105;13500
Cabó;0;321;0;321;0;1288
Viladamat;0;279;0;279;0;3873
Algerri;0;821;234;821;234;4371
Sant Julià de Cerdanyola;0;438;0;438;0;3085
Camarles;47;4631;0;4631;47;19376
Bellvei;0;316;76;316;76;16910
Sant Andreu Salou;0;128;0;128;0;243
Vall de Cardós;0;722;542;722;542;4833
Riudarenes;0;544;0;544;0;32581
Hostalric;109;341;0;341;109;17561
Campins;0;324;0;324;0;5487
Llardecans;296;1074;0;1074;296;3779
Massoteres;438;428;0;428;438;2104
Sarroca de Lleida;539;221;0;221;539;2115
Juià;0;96;0;96;0;2851
Queralbs;0;1201;0;1201;0;2881
Bellprat;0;137;0;137;0;1076
els Guiamets;406;92;0;92;406;1584
Torrelameu;0;150;0;150;0;4836
Vall-llobrega;0;728;0;728;0;14252
Viladrau;5893;815;0;815;5893;20585
Castellgalí;1155;865;0;865;1155;21435
Mont-roig del Camp;4199;6412;197;6412;4396;150866
Paüls;56;1012;0;1012;56;4219
Sant Pere de Vilamajor;1377;695;0;695;1377;50197
Fornells de la Selva;0;951;0;951;0;23901
Santa Maria d'Oló;372;610;0;610;372;6545
Campdevànol;0;1145;0;1145;0;14785
Cambrils;2736;6717;162;6717;2899;151630
la Figuera;324;92;0;92;324;2011
Sant Jaume de Frontanyà;0;384;0;384;0;562
Poboleda;2176;247;0;247;2176;4028
Cornudella de Montsant;2486;980;0;980;2486;6859
