Palas de Rei;47590;2043;287;2043;47878;50862
O Vicedo;9200;1420;0;1420;9200;11358
Redondela;106379;3910;552;3910;106931;141895
Pontecesures;13611;222;131;222;13742;19124
Dumbría;21111;1102;1109;1102;22220;22220
Mondariz;72789;2692;13628;2692;86417;89369
Vilanova de Arousa;49887;963;5696;963;55583;62213
Guntín;24497;503;359;503;24856;26137
O Barco de Valdeorras;25013;3718;467;3718;25480;57898
Monterrei;29767;578;0;578;29767;32724
Santiago de Compostela;68985;20589;6285;20589;75270;269046
O Páramo;20001;431;122;431;20123;20123
Negueira de Muñiz;4606;109;0;109;4606;4606
O Grove;33149;1282;676;1282;33825;49855
O Porriño;54555;5605;2650;5605;57205;80560
A Mezquita;11950;535;221;535;12171;16391
Frades;7391;2802;79;2802;7471;20663
Vilamarín;24178;421;517;421;24695;24695
Malpica de Bergantiños;54864;2589;2722;2589;57586;64050
Barro;28813;596;113;596;28925;29029
Baltar;18730;473;0;473;18730;20854
Sada;27454;8463;4549;8463;32003;72616
Boimorto;7374;670;0;670;7374;7374
O Incio;36005;705;0;705;36005;36862
Castroverde;52442;921;0;921;52442;54335
Paradela;31104;643;84;643;31188;32102
Begonte;18769;971;89;971;18858;21011
Irixoa;5641;1421;568;1421;6209;6671
A Guarda;25606;2121;0;2121;25606;46851
A Gudiña;14100;853;0;853;14100;20372
A Teixeira;7588;137;0;137;7588;8683
Fisterra;13846;1364;6802;1364;20648;28806
Entrimo;19388;373;0;373;19388;19449
Vilar de Barrio;19874;428;305;428;20178;22994
Alfoz;17299;621;905;621;18204;18204
Oroso;11102;1671;481;1671;11583;20867
Ribas de Sil;14367;488;616;488;14983;16295
Laza;28334;788;653;788;28988;32858
Trazo;8497;1098;433;1098;8930;9758
Riós;35013;800;39;800;35052;35052
Bande;28766;578;0;578;28766;30128
Pol;40993;1197;29;1197;41022;41816
Montederramo;18578;649;140;649;18718;19474
Triacastela;12477;305;0;305;12477;13570
Viveiro;4263;7827;725;7827;4987;17603
As Pontes de García Rodríguez;15059;3969;170;3969;15229;45207
Coles;36181;594;0;594;36181;36425
A Peroxa;31146;898;2859;898;34005;34005
Corcubión;5500;324;439;324;5940;7771
A Pobra do Brollón;32430;839;0;839;32430;34084
Toques;12085;449;0;449;12085;12085
Beade;3072;48;0;48;3072;5692
Piñor;17496;474;0;474;17496;17496
Carballo;65700;3039;998;3039;66699;122431
Vigo;137004;16108;28579;16108;165583;550915
Carballedo;48654;841;0;841;48654;48654
A Pobra de Trives;26569;605;608;605;27177;32998
Gondomar;44076;1427;12528;1427;56603;59266
Cangas;41619;2204;20319;2204;61938;106412
Sarria;70433;2838;125;2838;70559;94332
Cerceda;2859;2781;194;2781;3053;16877
Valga;29597;724;0;724;29597;32891
Xunqueira de Ambía;18690;588;0;588;18690;20186
Vilar de Santos;13350;186;0;186;13350;14274
Teo;19106;6709;3643;6709;22750;36410
Cabanas;17734;2437;942;2437;18676;24146
San Cibrao das Viñas;33619;1668;73;1668;33692;35752
Muras;1268;739;0;739;1268;2099
A Pontenova;42964;997;0;997;42964;47488
Monfero;20837;1253;0;1253;20837;20837
Verea;26682;346;0;346;26682;26682
Rubiá;20806;671;0;671;20806;24842
A Pastoriza;73446;1336;0;1336;73446;77525
Miño;16107;5195;1238;5195;17346;38097
Coirós;6310;1966;7747;1966;14057;14882
Ribadumia;53986;815;5953;815;59938;60350
Navia de Suarna;44041;802;2003;802;46045;47826
Porqueira;18359;291;0;291;18359;19768
Pontevedra;145288;6218;4339;6218;149626;222220
San Xoán de Río;16591;333;0;333;16591;16942
Laxe;21626;1343;1338;1343;22964;31402
Sanxenxo;79784;2133;569;2133;80353;86843
Sobrado;22140;909;1470;909;23610;23610
Melón;21720;495;462;495;22182;22182
Samos;21760;1122;0;1122;21760;22595
Foz;13559;1751;0;1751;13559;36106
Fornelos de Montes;23183;615;2075;615;25258;26301
A Coruña;20543;23027;1877;23027;22420;270297
Lobios;29560;994;954;994;30514;30514
Verín;46863;1264;1096;1264;47958;71793
Ares;402;7312;0;7312;402;37814
As Somozas;2751;1793;0;1793;2751;3501
Vilariño de Conso;13469;356;0;356;13469;15338
Castro de Rei;55912;1652;0;1652;55912;59081
Meira;17141;346;0;346;17141;20474
Culleredo;15805;7743;7450;7743;23255;79017
Lugo;159719;23990;376;23990;160095;340740
Cabana de Bergantiños;52344;1115;1079;1115;53423;53910
Paderne de Allariz;23379;535;95;535;23474;23474
Allariz;18702;13212;1283;13212;19985;30147
A Illa de Arousa;2252;482;431;482;2682;15756
Betanzos;15553;4702;546;4702;16099;36472
Boqueixón;8768;1018;399;1018;9167;9167
Gomesende;17745;247;462;247;18207;18207
Arzúa;16601;2918;0;2918;16601;24918
Cortegada;18805;340;712;340;19517;22546
Moaña;43508;1047;32408;1047;75916;86851
Val do Dubra;19761;1251;409;1251;20169;23167
Lobeira;18821;307;0;307;18821;19566
Brión;21629;1651;528;1651;22157;28496
Lourenzá;17836;724;0;724;17836;20148
Tui;67228;3885;5044;3885;72273;86802
Esgos;16471;386;0;386;16471;16471
Dozón;16242;343;162;343;16403;16403
Poio;30597;3543;0;3543;30597;102636
Paderne;15119;2338;1588;2338;16707;22780
Baiona;19304;1299;1121;1299;20425;56959
Moeche;1973;2025;161;2025;2133;4196
Cartelle;47923;1151;76;1151;47999;48081
Ponteareas;134114;5866;3168;5866;137282;154032
O Pereiro de Aguiar;47805;1438;914;1438;48720;50755
Narón;8841;17292;4667;17292;13508;94481
Soutomaior;17395;480;1185;480;18580;26177
Rianxo;57265;1725;251;1725;57516;64303
Castro Caldelas;20367;613;646;613;21013;28822
Bueu;22434;5468;29765;5468;52199;65196
O Saviñao;61117;1096;0;1096;61117;68120
Vedra;30165;2478;4563;2478;34727;35678
Vilardevós;35502;587;103;587;35605;37569
Petín;7160;234;739;234;7899;12873
Cervantes;42785;1281;385;1281;43170;44270
Vimianzo;63108;1868;1103;1868;64212;69359
Sandiás;15143;412;0;412;15143;15329
Láncara;39344;851;1021;851;40365;44936
Monforte de Lemos;61500;3072;467;3072;61967;91357
Cotobade;50886;1324;3579;1324;54465;54982
Catoira;20007;535;573;535;20580;20580
Santa Comba;40643;1610;0;1610;40643;47494
Bergondo;8538;6522;2942;6522;11480;88525
Punxín;14793;212;865;212;15658;15658
Crecente;55166;743;2024;743;57190;57190
Vilaboa;29616;775;15546;775;45162;45162
Mondoñedo;31148;1716;90;1716;31238;39456
Boiro;28247;1700;2542;1700;30789;43300
Touro;16374;1140;24;1140;16398;17419
Padrón;28242;1236;452;1236;28694;31840
Guitiriz;53785;2727;0;2727;53785;67319
Amoeiro;36080;438;211;438;36290;36290
Carballeda de Valdeorras;23562;525;136;525;23698;25437
Baños de Molgas;27076;1959;233;1959;27309;27858
O Rosal;6095;1436;0;1436;6095;78233
Friol;12346;15041;0;15041;12346;15301
Baleira;30630;669;70;669;30700;31677
Sober;51159;1508;68;1508;51227;51500
Valdoviño;21592;6275;2375;6275;23967;33893
Ponte Caldelas;23212;1362;0;1362;23212;29498
O Corgo;59360;1609;167;1609;59527;62508
Mugardos;5348;6060;348;6060;5695;30146
Dodro;17251;907;2126;907;19377;19846
Melide;31710;1861;18;1861;31728;49122
Caldas de Reis;40807;1098;772;1098;41579;46417
Portas;16936;300;215;300;17151;17151
Outes;14058;2682;706;2682;14764;18802
A Laracha;43797;2487;2246;2487;46043;62709
Covelo;69695;1862;10096;1862;79792;80680
Celanova;43191;1925;223;1925;43414;49680
Marín;58029;887;18545;887;76574;84736
Vilarmaior;1453;1190;0;1190;1453;1453
Vilalba;124974;4892;53;4892;125027;143315
Xove;4162;1369;0;1369;4162;8611
Os Blancos;15507;255;0;255;15507;15507
Baralla;44431;707;0;707;44431;50049
Tomiño;121667;2059;3037;2059;124704;128654
Vila de Cruces;57212;2068;856;2068;58068;60988
Ribeira;23445;3183;4315;3183;27759;75606
Cerdido;1154;1216;0;1216;1154;1154
Avión;31893;447;1584;447;33477;33477
O Irixo;31935;593;437;593;32371;32371
Manzaneda;17343;449;605;449;17948;20070
Toén;34534;550;46;550;34579;34579
Carral;8242;3757;3594;3757;11835;23701
Oímbra;18727;308;0;308;18727;18813
Cee;31421;1132;4715;1132;36136;45167
Moraña;34637;509;0;509;34637;36897
A Pobra do Caramiñal;13896;1197;637;1197;14533;33700
Mañón;12647;1879;445;1879;13092;18045
Castrelo de Miño;28455;422;0;422;28455;29964
Mazaricos;54971;2227;1679;2227;56649;57124
Cerdedo;21016;463;2174;463;23190;25042
Taboada;10532;591;77;591;10610;17556
Nigrán;39702;1557;2407;1557;42110;67316
Ferrol;32640;20224;11379;20224;44019;160424
Maceda;27873;864;840;864;28713;33912
Forcarei;36960;1052;23;1052;36984;39741
Lousame;25617;844;1703;844;27320;27320
Ames;39247;2642;6304;2642;45551;71213
Porto do Son;26119;1970;1929;1970;28048;33986
Vilagarcía de Arousa;36216;2157;1355;2157;37570;111202
Outeiro de Rei;39977;1571;78;1571;40055;42053
Parada de Sil;14814;554;0;554;14814;14936
Mesía;7195;2743;228;2743;7422;7422
Trasmiras;19971;451;165;451;20136;21396
Pontedeume;9963;3452;949;3452;10912;22007
San Amaro;12124;264;183;264;12306;12306
Oia;38078;912;5310;912;43388;44141
Cambados;63057;1204;6536;1204;69593;81032
Riotorto;21559;466;138;466;21697;23302
O Pino;19556;2741;202;2741;19758;24885
Maside;34460;721;0;721;34460;35220
Leiro;21741;353;1654;353;23395;23684
Camariñas;23971;2445;5113;2445;29084;46578
Ourense;145664;13290;2340;13290;148004;253390
A Baña;15797;1106;1102;1106;16898;17384
Becerreá;39903;976;0;976;39903;49117
Rairiz de Veiga;22532;354;0;354;22532;22532
Muíños;25635;575;349;575;25984;27482
Ribeira de Piquín;18366;276;76;276;18442;18442
Ribadavia;22510;629;0;629;22510;25323
Quintela de Leirado;10906;145;0;145;10906;10906
Cuntis;24764;1081;0;1081;24764;25763
San Cristovo de Cea;41283;825;114;825;41397;41460
O Carballiño;59348;1071;751;1071;60099;74062
Cedeira;24705;2996;582;2996;25287;38337
Burela;6184;690;60;690;6244;38729
Mondariz-Balneario;2727;291;1149;291;3876;5186
Rábade;2875;306;0;306;2875;12698
Negreira;23044;2783;1946;2783;24989;30703
Santiso;4672;1526;0;1526;4672;4672
Barbadás;29381;1631;1874;1631;31255;50044
Muxía;35582;2652;10471;2652;46053;51037
Trabada;17963;795;0;795;17963;19417
Coristanco;20015;1940;0;1940;20015;26207
A Capela;5674;694;0;694;5674;5674
Beariz;10476;225;109;225;10585;12242
O Valadouro;5961;721;372;721;6334;10222
Abegondo;30069;5193;3372;5193;33441;33624
A Bola;16845;264;0;264;16845;16845
Fene;5099;5984;799;5984;5898;42322
Salvaterra de Miño;68080;2855;6956;2855;75036;82230
Castrelo do Val;21364;2351;188;2351;21552;23979
Calvos de Randín;23021;654;0;654;23021;23066
Boborás;39054;602;33;602;39087;39484
Ponteceso;62972;2662;1443;2662;64415;73951
Noia;14167;2978;604;2978;14771;29958
Agolada;37932;1336;0;1336;37932;39325
Cospeito;18667;874;0;874;18667;24784
Cenlle;20459;319;62;319;20521;21318
Sarreaus;20519;570;0;570;20519;20519
A Arnoia;13944;255;437;255;14381;14381
Mos;39681;1980;7666;1980;47347;58637
Pedrafita do Cebreiro;22516;636;232;636;22748;24550
Quiroga;44400;1799;993;1799;45393;50404
Silleda;70033;2007;0;2007;70033;77044
Bóveda;19238;685;50;685;19288;21966
Chantada;76843;2015;469;2015;77312;86361
Vilamartín de Valdeorras;15901;565;0;565;15901;17959
Curtis;14613;3692;603;3692;15217;28989
Pantón;39290;1021;0;1021;39290;41838
Vilasantar;11575;1637;235;1637;11810;12616
Ourol;899;1132;297;1132;1196;2366
As Nogais;23280;1048;0;1048;23280;24744
Carballeda de Avia;20923;488;1004;488;21927;22258
A Merca;34306;1009;64;1009;34370;35139
Portomarín;20987;1035;0;1035;20987;25187
Muros;38474;1606;5467;1606;43940;47014
Arteixo;29335;8258;17392;8258;46727;115435
Antas de Ulla;34970;613;0;613;34970;38888
Ramirás;31741;415;146;415;31888;31888
Ribadeo;35932;2814;454;2814;36386;57253
Meis;51255;1474;6209;1474;57464;58275
Tordoia;7458;800;1018;800;8476;8476
