La Unión;20065;1725;108;1725;20173;76783
Ricote;535;306;0;306;535;7372
Librilla;6324;1374;0;1374;6324;24915
Cartagena;159967;38192;4176;38192;164144;760390
Blanca;758;624;73;624;831;14827
Cehegín;35624;1231;681;1231;36305;87594
Las Torres de Cotillas;22130;1669;579;1669;22709;123502
Puerto Lumbreras;5911;1785;155;1785;6065;57340
Totana;42042;1697;814;1697;42857;96926
Beniel;4984;682;0;682;4984;28973
Abarán;8491;780;0;780;8491;32067
Molina de Segura;139317;4156;418;4156;139736;354313
Alcantarilla;21846;1554;151;1554;21998;80825
Mula;12264;1512;186;1512;12450;61824
Yecla;51059;3480;790;3480;51849;106940
Ceutí;2223;1097;24;1097;2247;62260
Santomera;20750;1213;0;1213;20750;61498
Albudeite;764;278;127;278;891;9645
Los Alcázares;608;2273;64;2273;672;145129
Abanilla;22049;1373;38;1373;22086;51083
Fuente Álamo de Murcia;105451;2589;0;2589;105451;156457
Fortuna;32401;1407;0;1407;32401;72750
Ojós;228;624;0;624;228;2878
Caravaca de la Cruz;50978;1490;8;1490;50986;77276
Águilas;60724;4288;0;4288;60724;142570
Murcia;636767;38684;5676;38684;642443;1460043
Torre Pacheco;31920;17755;298;17755;32218;280022
Alhama de Murcia;49778;2859;399;2859;50177;126119
Mazarrón;75475;3752;0;3752;75475;162579
Alguazas;8528;544;0;544;8528;29511
Pliego;1374;515;0;515;1374;20565
Bullas;18346;726;151;726;18497;64285
San Javier;32413;7385;810;7385;33223;196167
Jumilla;21520;2851;979;2851;22498;64090
Campos del Río;539;233;0;233;539;9056
Villanueva del Río Segura;1772;268;0;268;1772;13679
Lorca;82626;19112;977;19112;83603;208484
Lorquí;15910;1076;201;1076;16111;70242
San Pedro del Pinatar;19999;2233;883;2233;20882;145751
Ulea;365;333;0;333;365;4668
Calasparra;21616;1069;100;1069;21716;63936
Moratalla;25508;6428;0;6428;25508;45231
Cieza;6553;1576;428;1576;6981;41912
Archena;6471;1129;2016;1129;8487;69349
Aledo;2514;297;0;297;2514;8044
