Paradas;25712;269;0;269;25712;29938
Iznatoraf;830;212;0;212;830;5884
Balanegra;470;126;0;126;470;11591
Castilléjar;0;389;0;389;0;32472
Vélez-Blanco;2434;1429;0;1429;2434;17129
Uleila del Campo;404;209;0;209;404;7409
La Lantejuela;2118;175;0;175;2118;21869
Gérgal;8591;924;0;924;8591;25298
Isla Mayor;5940;491;0;491;5940;29176
Cogollos de la Vega;0;550;0;550;0;11605
Jódar;11246;448;0;448;11246;38543
Alameda;3710;244;0;244;3710;22230
Antas;9389;755;0;755;9389;23441
Marmolejo;3498;878;0;878;3498;27913
Alicún;0;67;0;67;0;1563
Dúdar;0;74;0;74;0;5242
La Mojonera;1596;603;0;603;1596;33855
Villardompardo;38;91;0;91;38;4575
Turón;0;145;0;145;0;4963
Víznar;20;280;0;280;20;6755
Urrácal;80;37;0;37;80;2461
Monda;16331;832;0;832;16331;25652
Dos Hermanas;65632;6475;3309;6475;68941;297944
Lecrín;31;693;0;693;31;15106
Casariche;5149;467;0;467;5149;30612
Hinojosa del Duque;3668;931;0;931;3668;32235
Benamejí;1225;233;0;233;1225;16549
Iznalloz;0;1060;0;1060;0;29598
Coripe;765;190;0;190;765;7549
Huétor Vega;9;638;49;638;58;52200
El Pedroso;8801;246;58;246;8859;11636
Puerto Serrano;352;425;0;425;352;29290
Maracena;0;960;0;960;0;46178
Cambil;2008;498;533;498;2541;11199
Cortes de Baza;96;812;0;812;96;40157
Frigiliana;3846;1553;0;1553;3846;14441
Valdelarco;724;73;95;73;819;3131
Villaluenga del Rosario;0;385;3768;385;3768;3768
Rincón de la Victoria;1868;5284;0;5284;1868;129858
Santa Olalla del Cala;1711;333;98;333;1809;12561
Huércal de Almería;3062;2435;158;2435;3220;69402
Quéntar;0;273;0;273;0;8302
San Juan del Puerto;9020;1522;0;1522;9020;27633
La Victoria;1113;149;0;149;1113;14407
Serón;3034;491;0;491;3034;15108
Soportújar;0;122;0;122;0;1654
Berrocal;2641;101;0;101;2641;2641
Montellano;14819;276;0;276;14819;33829
Atarfe;0;13578;0;13578;0;103342
Villafranca de Córdoba;5301;347;0;347;5301;19373
Luque;3580;386;0;386;3580;13039
Arjona;641;1489;0;1489;641;20277
Santa Fe de Mondújar;176;223;0;223;176;2543
Cañaveral de León;887;53;0;53;887;2780
Jérez del Marquesado;0;603;0;603;0;11080
Archidona;4104;1197;0;1197;4104;38622
Los Barrios;62232;2174;0;2174;62232;78376
Agrón;0;88;0;88;0;3953
Marinaleda;8549;181;0;181;8549;13537
Almodóvar del Río;28751;619;0;619;28751;48191
Calicasas;0;90;0;90;0;2532
