Sant Llorenç des Cardassar;5607;3490;99;3490;5706;61980
Sencelles;480;457;0;457;480;6933
Binissalem;1146;600;0;600;1146;22617
Llubí;5797;430;0;430;5797;14278
Es Mercadal;7780;7019;0;7019;7780;62185
Escorca;4127;1546;0;1546;4127;6017
Alaior;2139;10536;0;10536;2139;50577
Esporles;8907;1505;0;1505;8907;33646
Algaida;3311;1591;409;1591;3720;23359
Sóller;3764;7783;0;7783;3764;43132
Artà;5144;2135;0;2135;5144;51905
Deià;889;1266;0;1266;889;5293
Andratx;6491;5628;0;5628;6491;84965
Santa Eulària des Riu;242352;6861;48;6861;242400;322544
Ses Salines;1715;1961;14;1961;1729;34097
Es Migjorn Gran;2496;1710;0;1710;2496;10317
Llucmajor;11941;7402;0;7402;11941;164044
Santa Eugènia;2749;372;0;372;2749;6880
Lloret de Vistalegre;612;230;0;230;612;4147
Maó;13338;27060;466;27060;13804;92363
Marratxí;27883;4766;83;4766;27966;188758
Lloseta;2726;356;0;356;2726;14914
Sant Antoni de Portmany;126566;8768;58;8768;126624;170313
Sant Joan de Labritja;85170;3016;0;3016;85170;102447
Formentera;31339;3035;250;3035;31589;50744
Petra;999;931;0;931;999;14398
Ciutadella;17052;29877;19;29877;17071;135851
Santanyí;26276;20718;420;20718;26697;131027
Campos;6409;3043;0;3043;6409;69642
Palma;83103;23986;395;23986;83498;705846
Son Servera;7942;2056;185;2056;8127;49204
Ariany;378;317;0;317;378;9353
Alcúdia;12542;5229;7;5229;12550;94915
Santa Margalida;6239;2693;0;2693;6239;75325
Selva;2162;1012;0;1012;2162;14298
Vilafranca de Bonany;948;330;0;330;948;16505
Calvià;15367;16160;920;16160;16287;264851
Manacor;33054;19134;0;19134;33054;201162
Sant Lluís;2420;17348;0;17348;2420;70208
Capdepera;7868;4290;0;4290;7868;98400
Santa María del Camí;70;8669;0;8669;70;17772
Campanet;1641;537;0;537;1641;9616
Maria de la Salut;1445;406;0;406;1445;13230
Costitx;2578;249;0;249;2578;5791
Alaró;715;5309;0;5309;715;16239
Fornalutx;216;1358;142;1358;357;1373
Pollença;15832;13650;1382;13650;17215;82082
Sant Joan;2362;590;0;590;2362;11987
Puigpunyent;3867;700;0;700;3867;14557
Mancor de la Vall;787;247;0;247;787;5959
Felanitx;20081;4721;50;4721;20130;91308
Valldemossa;10256;2571;161;2571;10417;19692
Estellencs;2324;240;0;240;2324;4379
Sa Pobla;7783;1335;0;1335;7783;51700
Búger;236;189;0;189;236;4891
Montuïri;4042;741;0;741;4042;12221
Inca;6498;1869;0;1869;6498;63698
Muro;2970;2331;0;2331;2970;40464
Sineu;4363;748;80;748;4443;19458
Banyalbufar;0;980;0;980;0;6247
Bunyola;3926;1796;0;1796;3926;40572
Ferreries;4200;2840;0;2840;4200;17020
Eivissa;14311;4350;28;4350;14339;76406
Porreres;1792;974;163;974;1956;15653
Sant Josep de sa Talaia;132588;9044;632;9044;133220;230230
Es Castell;61;7311;0;7311;61;28861
Consell;1288;374;0;374;1288;10738
