La Victoria de Acentejo;1656;886;0;886;1656;24877
Gáldar;1557;2767;89;2767;1646;97260
San Cristóbal de La Laguna;54378;17705;468;17705;54847;385531
Tejeda;533;1943;0;1943;533;12107
Los Silos;560;7098;0;7098;560;20657
Los Llanos de Aridane;17556;4893;0;4893;17556;64639
Garafía;12677;3570;0;3570;12677;14496
Agüimes;3021;6994;541;6994;3561;129517
Los Realejos;27464;4807;0;4807;27464;97116
La Aldea de San Nicolás;198;2093;0;2093;198;40119
Antigua;4676;3030;0;3030;4676;65137
Yaiza;3209;10892;25083;10892;28292;170531
Puntallana;7986;1658;0;1658;7986;12889
Tijarafe;14280;2747;0;2747;14280;26309
La Guancha;6243;929;0;929;6243;24255
Tegueste;4561;1058;0;1058;4561;42805
Tinajo;428;2539;0;2539;428;46791
Ingenio;553;2547;78;2547;631;100967
Arucas;1486;2816;0;2816;1486;91311
El Rosario;5445;13690;89;13690;5534;58458
Tuineje;19512;5432;465;5432;19977;69921
Santiago del Teide;3062;9285;0;9285;3062;30843
Santa Cruz de Tenerife;22859;30938;25;30938;22883;343405
Telde;2623;7195;158;7195;2782;263623
Garachico;6790;5107;0;5107;6790;23566
Valsequillo de Gran Canaria;640;1177;0;1177;640;50401
Güímar;13424;4902;0;4902;13424;58482
Frontera;1666;5806;74;5806;1740;20494
Santa María de Guía de Gran Canaria;303;2174;0;2174;303;41002
Arona;49877;10434;428;10434;50304;207839
Valle Gran Rey;2164;2814;321;2814;2485;16625
Puntagorda;6268;1980;0;1980;6268;25158
Fuencaliente de la Palma;8465;1687;0;1687;8465;17647
Teguise;1657;9824;2030;9824;3687;161509
San Miguel de Abona;36805;3153;0;3153;36805;91891
Tazacorte;2656;2060;0;2060;2656;10579
Mogán;1965;5794;0;5794;1965;84891
Moya;162;1129;0;1129;162;30707
Vallehermoso;11851;3185;2777;3185;14628;19057
Breña Baja;7703;3949;367;3949;8070;30718
Haría;299;2119;0;2119;299;36846
Santa Lucía de Tirajana;5492;2727;0;2727;5492;127357
Artenara;348;1207;0;1207;348;6599
San Andrés y Sauces;6982;1249;0;1249;6982;18045
Hermigua;6361;1885;53;1885;6414;6986
Villa de Mazo;24567;2735;0;2735;24567;31582
Adeje;35430;12553;296;12553;35726;140514
Firgas;289;834;0;834;289;32837
Granadilla de Abona;31367;8398;6678;8398;38046;149726
El Pinar de El Hierro;7493;3139;0;3139;7493;18371
Pájara;3381;10772;1159;10772;4540;61387
Buenavista del Norte;6737;9611;1079;9611;7816;24683
Santa Úrsula;3578;6433;0;6433;3578;56944
El Paso;13272;2926;0;2926;13272;48034
Valverde;10127;9212;107;9212;10234;42927
Guía de Isora;9244;19172;0;19172;9244;61879
San Juan de la Rambla;7131;1330;0;1330;7131;21191
Betancuria;2394;1710;0;1710;2394;8315
Teror;234;1269;0;1269;234;35370
Breña Alta;17560;2224;0;2224;17560;44042
Icod de los Vinos;56133;3062;0;3062;56133;104349
Alajeró;10913;1546;614;1546;11527;15622
San Sebastián de la Gomera;16682;4473;1816;4473;18498;30538
Tacoronte;16947;1587;0;1587;16947;90679
Valleseco;244;886;0;886;244;18917
La Oliva;37898;7378;433;7378;38331;198759
Puerto de la Cruz;5797;5215;0;5215;5797;65578
Arafo;5497;6888;0;6888;5497;28121
Candelaria;18305;19076;0;19076;18305;71522
El Tanque;4853;3984;0;3984;4853;17495
Arico;14224;4460;0;4460;14224;58038
El Sauzal;7014;1213;0;1213;7014;38745
Vilaflor;3141;1836;0;1836;3141;8631
Fasnia;3544;1160;0;1160;3544;13853
Barlovento;8583;1196;0;1196;8583;12595
Vega de San Mateo;1333;1699;0;1699;1333;27474
San Bartolomé;1037;2425;2111;2425;3148;63070
Las Palmas de Gran Canaria;19307;36468;559;36468;19866;530405
Arrecife;4115;3040;0;3040;4115;115847
Tías;3438;4291;2057;4291;5495;114491
Santa Cruz de la Palma;5395;1524;0;1524;5395;24436
San Bartolomé de Tirajana;6860;32804;472;32804;7332;191391
La Matanza de Acentejo;6664;1041;0;1041;6664;26691
Agulo;5674;886;397;886;6071;6856
La Orotava;58670;5135;0;5135;58670;151728
Santa Brígida;1031;1563;0;1563;1031;69432
Puerto del Rosario;87376;4539;0;4539;87376;174572
Agaete;808;2291;1981;2291;2790;21076
