Pedraza de Campos;0;65;0;65;0;2515
Osorno la Mayor;107;853;0;853;107;16316
Santa Cecilia del Alcor;0;88;0;88;0;1384
Boadilla del Camino;0;155;0;155;0;3101
Fuentes de Nava;0;340;0;340;0;5201
Venta de Baños;14739;392;0;392;14739;36435
Villalcón;0;60;0;60;0;2186
Piña de Campos;3;161;0;161;3;4913
Frechilla;0;128;0;128;0;5728
Fuentes de Valdepero;0;308;0;308;0;6385
Revenga de Campos;0;67;0;67;0;2725
Valle del Retortillo;0;262;0;262;0;5913
Cordovilla la Real;601;69;0;69;601;3274
Baquerín de Campos;0;66;0;66;0;1732
Boada de Campos;0;41;0;41;0;1409
Saldaña;14851;706;0;706;14851;29585
La Pernía;12238;777;111;777;12349;12674
Báscones de Ojeda;3013;107;0;107;3013;3892
Melgar de Yuso;0;128;0;128;0;3979
Abarca de Campos;0;45;0;45;0;977
Valdeolmillos;0;54;0;54;0;2202
Monzón de Campos;0;404;0;404;0;6954
Paredes de Nava;196;812;0;812;196;12108
Marcilla de Campos;0;81;0;81;0;1547
Osornillo;0;46;0;46;0;1615
Ampudia;0;508;0;508;0;8718
Cobos de Cerrato;2106;64;0;64;2106;2511
Villarrabé;4341;140;0;140;4341;5166
Villarmentero de Campos;0;41;0;41;0;1078
Respenda de la Peña;4417;166;0;166;4417;4558
Dehesa de Romanos;1269;84;0;84;1269;1269
Riberos de la Cueza;0;37;0;37;0;1693
Manquillos;0;61;0;61;0;1032
Mazuecos de Valdeginate;0;63;0;63;0;2484
Calzada de los Molinos;0;88;0;88;0;5830
Villaviudas;4504;160;0;160;4504;4504
Itero de la Vega;139;156;0;156;139;3531
Congosto de Valdavia;5840;120;0;120;5840;5840
La Puebla de Valdavia;2072;64;0;64;2072;2072
Páramo de Boedo;3644;127;0;127;3644;3644
Lomas;0;65;0;65;0;1695
Buenavista de Valdavia;6117;142;0;142;6117;7800
Ribas de Campos;0;171;0;171;0;2936
Pomar de Valdivia;7513;562;625;562;8138;10883
Hornillos de Cerrato;505;89;0;89;505;2968
Nogal de las Huertas;0;48;0;48;0;1928
Bustillo del Páramo de Carrión;0;64;0;64;0;2039
Hérmedes de Cerrato;2168;40;0;40;2168;2168
Cardeñosa de Volpejera;0;34;0;34;0;1842
Villaconancio;621;44;0;44;621;2508
Collazos de Boedo;3679;83;0;83;3679;3679
Mantinos;2558;60;0;60;2558;2558
Pedrosa de la Vega;7271;173;0;173;7271;7271
Lagartos;79;150;0;150;79;3997
Villacidaler;0;43;0;43;0;2661
