Valdemorillo;3756;7805;625;7805;4381;115969
Arganda del Rey;17499;6954;1263;6954;18762;146472
Villaviciosa de Odón;6004;2955;347;2955;6351;133796
Collado Mediano;882;763;0;763;882;45790
Batres;929;287;0;287;929;17227
Olmeda de las Fuentes;248;386;0;386;248;4678
Villalbilla;2258;3099;0;3099;2258;108023
Guadalix de la Sierra;1598;524;0;524;1598;36158
Alcalá de Henares;26595;18463;403;18463;26998;295246
Majadahonda;1160;4999;0;4999;1160;150009
Valdilecha;292;322;0;322;292;10445
Becerril de la Sierra;589;949;0;949;589;51578
Talamanca de Jarama;2491;331;0;331;2491;21849
Villamanta;2271;841;0;841;2271;16077
Lozoya;702;302;501;302;1204;7858
Moraleja de Enmedio;369;669;0;669;369;19286
Torrejón de Ardoz;6633;11340;432;11340;7065;118891
El Berrueco;879;733;0;733;879;7040
Collado Villalba;3201;4851;43;4851;3244;116796
Villamanrique de Tajo;964;189;0;189;964;11026
Navalcarnero;13297;2230;0;2230;13297;95003
San Agustín del Guadalix;3371;864;1096;864;4467;40467
Algete;8815;1478;168;1478;8983;68588
Los Santos de la Humosa;387;632;0;632;387;16422
Horcajo de la Sierra-Aoslos;176;144;0;144;176;1803
Pinilla del Valle;439;187;0;187;439;4476
San Sebastián de los Reyes;13584;6731;1933;6731;15517;138927
Titulcia;5585;253;0;253;5585;8197
Patones;473;500;0;500;473;4253
Ciempozuelos;1918;1240;0;1240;1918;48776
Leganés;9782;18458;597;18458;10380;197989
Miraflores de la Sierra;4614;1195;0;1195;4614;54016
Morata de Tajuña;2457;2125;0;2125;2457;27031
Navacerrada;2642;1970;99;1970;2741;23712
Pezuela de las Torres;2927;250;0;250;2927;9281
Paracuellos de Jarama;4694;4941;678;4941;5372;106806
Villavieja del Lozoya;2137;137;487;137;2624;6066
Tielmes;9042;211;18;211;9060;9060
Horcajuelo de la Sierra;671;174;0;174;671;1862
Moralzarzal;3918;1237;86;1237;4005;72746
Colmenar del Arroyo;1758;1075;0;1075;1758;15440
Piñuécar-Gandullas;2862;154;0;154;2862;7587
Quijorna;2079;396;0;396;2079;23589
Villar del Olmo;263;418;0;418;263;16051
Prádena del Rincón;187;81;866;81;1053;2147
Sevilla la Nueva;347;6728;0;6728;347;37764
Fresnedillas de la Oliva;450;1276;0;1276;450;11164
Humanes de Madrid;1808;5118;0;5118;1808;28773
Belmonte de Tajo;9911;261;0;261;9911;11152
Valdemaqueda;11101;581;1770;581;12871;16878
Valverde de Alcalá;0;229;0;229;0;4421
Nuevo Baztán;970;1297;0;1297;970;78339
Anchuelo;122;193;0;193;122;8069
Ambite;14646;195;0;195;14646;17009
San Martín de la Vega;7691;13133;0;13133;7691;81138
Venturada;1332;389;0;389;1332;31016
Ajalvir;13;917;74;917;87;15957
Lozoyuela-Navas-Sieteiglesias;3193;676;0;676;3193;15787
Aranjuez;4088;11350;429;11350;4517;139348
Fresno de Torote;1070;307;0;307;1070;26126
Zarzalejo;988;4584;40;4584;1028;15703
Cubas de la Sagra;667;310;0;310;667;24687
Cenicientos;7272;443;0;443;7272;18363
Móstoles;12913;10187;4157;10187;17070;192495
Tres Cantos;1681;2855;680;2855;2361;121857
Villamantilla;1323;402;0;402;1323;12990
La Serna del Monte;1507;93;0;93;1507;2643
Santa María de la Alameda;2292;1140;0;1140;2292;33120
Arroyomolinos;1664;1519;0;1519;1664;71039
Torremocha de Jarama;807;198;0;198;807;9714
El Boalo;5873;1088;0;1088;5873;59299
El Vellón;688;235;0;235;688;9706
Guadarrama;6153;4319;57;4319;6210;85924
Cabanillas de la Sierra;439;212;0;212;439;10807
San Martín de Valdeiglesias;2441;2267;0;2267;2441;65156
Galapagar;496;27443;0;27443;496;164370
Madarcos;291;27;0;27;291;1448
Villanueva de la Cañada;1638;1611;0;1611;1638;93207
Manzanares el Real;201;2062;0;2062;201;60798
Valdemanco;1240;389;61;389;1301;9413
Casarrubuelos;1254;283;0;283;1254;14902
San Lorenzo de El Escorial;6062;2381;55;2381;6118;59995
Cervera de Buitrago;263;58;0;58;263;2223
Villa del Prado;15117;1612;0;1612;15117;70660
Navarredonda y San Mamés;718;111;0;111;718;3267
Orusco de Tajuña;2568;157;0;157;2568;9727
Ribatejada;1759;175;0;175;1759;12787
El Álamo;3907;465;0;465;3907;53642
Pozuelo del Rey;388;178;0;178;388;7689
Pedrezuela;2691;440;196;440;2887;34236
El Escorial;5719;2565;134;2565;5854;90341
Rascafría;2293;1477;0;1477;2293;18538
La Acebeda;240;179;0;179;240;864
Colmenar de Oreja;24978;1238;0;1238;24978;82137
Rozas de Puerto Real;3694;394;0;394;3694;7860
Getafe;30242;12247;54;12247;30296;262050
Estremera;10284;425;0;425;10284;17104
Coslada;2517;11882;88;11882;2605;83352
Alcobendas;18490;7819;15506;7819;33997;182537
Santorcaz;456;327;0;327;456;12177
La Hiruela;265;130;0;130;265;1526
Mejorada del Campo;5042;2275;307;2275;5349;64004
Gargantilla del Lozoya y Pinilla de Buitrago;1305;239;0;239;1305;9028
Buitrago del Lozoya;311;1207;0;1207;311;12653
Navalagamella;1259;1821;0;1821;1259;12358
Colmenarejo;145;1352;0;1352;145;48646
Pozuelo de Alarcón;6078;15839;2605;15839;8683;258831
Somosierra;83;186;0;186;83;2197
Alpedrete;2335;1805;618;1805;2953;68678
Torres de la Alameda;2643;1309;0;1309;2643;39216
Meco;4583;2847;0;2847;4583;64601
Navas del Rey;8603;791;0;791;8603;25790
Serranillos del Valle;153;290;0;290;153;24647
Cobeña;1523;8625;0;8625;1523;26218
Valdepiélagos;2351;108;0;108;2351;5694
Torrejón de la Calzada;6583;681;0;681;6583;32635
Brea de Tajo;1026;257;17;257;1043;6465
Rivas-Vaciamadrid;9588;12610;0;12610;9588;162634
Valdetorres de Jarama;8247;374;0;374;8247;45610
El Molar;3917;624;0;624;3917;28602
Robregordo;532;90;0;90;532;3755
Fuentidueña de Tajo;10669;339;0;339;10669;20410
Valdelaguna;9379;271;0;271;9379;11548
Pelayos de la Presa;2161;974;109;974;2270;33949
Villanueva de Perales;717;450;0;450;717;7796
Colmenar Viejo;12186;4856;3199;4856;15385;158452
Torrelaguna;630;3163;0;3163;630;25902
Berzosa del Lozoya;333;285;33;285;366;4578
Los Molinos;6272;580;283;580;6556;46534
Garganta de los Montes;3512;436;29;436;3541;9699
Torrelodones;613;25111;0;25111;613;117354
Madrid;104974;239873;9955;239873;114929;2714150
Boadilla del Monte;12560;6635;3990;6635;16550;236647
Pinto;13028;3366;43;3366;13071;62832
Griñón;722;1002;0;1002;722;55557
Loeches;6178;1418;52;1418;6229;42307
Villanueva del Pardillo;2554;1102;0;1102;2554;49724
La Cabrera;1838;915;186;915;2024;23461
Alcorcón;5636;11311;56;11311;5691;172352
Chinchón;11763;1634;0;1634;11763;39412
Soto del Real;6800;1879;0;1879;6800;65885
Gascones;703;120;0;120;703;2669
Velilla de San Antonio;1214;1636;0;1636;1214;29696
Redueña;159;739;0;739;159;3130
Canencia;188;344;0;344;188;6740
Navalafuente;1799;151;0;151;1799;16655
Perales de Tajuña;1612;752;0;752;1612;9775
Valdemoro;31949;3879;248;3879;32197;145666
Las Rozas de Madrid;8691;6821;895;6821;9586;259076
Carabaña;896;286;231;286;1126;12309
Valdeavero;414;259;0;259;414;17000
Parla;7455;4143;25;4143;7480;127101
Campo Real;2937;715;0;715;2937;22581
Villarejo de Salvanés;2128;821;4434;821;6562;35381
Montejo de la Sierra;167;183;0;183;167;1874
Villaconejos;2207;419;0;419;2207;17120
Valdaracete;7990;153;0;153;7990;9505
Alameda del Valle;304;161;175;161;479;5243
Camarma de Esteruelas;3018;955;0;955;3018;40037
Torrejón de Velasco;504;598;0;598;504;16322
Bustarviejo;2959;687;475;687;3434;25218
Puebla de la Sierra;362;360;312;360;674;2650
Cadalso de los Vidrios;11530;1064;0;1064;11530;31179
Brunete;3924;779;0;779;3924;34813
Robledo de Chavela;3210;1819;0;1819;3210;66393
Fuenlabrada;5164;11668;645;11668;5809;109164
Chapinería;4499;719;0;719;4499;23135
Robledillo de la Jara;290;129;0;129;290;3349
Hoyo de Manzanares;4840;1855;72;1855;4912;53764
El Atazar;105;215;0;215;105;2252
Valdeolmos-Alalpardo;1745;354;0;354;1745;17838
Daganzo de Arriba;1823;1136;143;1136;1966;36693
Fuente el Saz de Jarama;1513;461;0;461;1513;25782
Aldea del Fresno;9875;1560;0;1560;9875;31217
Cercedilla;5332;1540;0;1540;5332;48558
Puentes Viejas;3517;397;2340;397;5856;14856
Braojos;493;146;0;146;493;3986
Corpa;313;178;294;178;607;5738
San Fernando de Henares;14649;11914;0;11914;14649;64929
