Etxalar;0;1550;0;1550;0;4057
Arellano;43;72;0;72;43;2916
Orbaitzeta;0;505;0;505;0;3068
Lana;0;305;110;305;110;5668
Mañeru;126;145;0;145;126;3371
Oco;21;37;0;37;21;1629
Facería 62;0;1;0;1;0;0
Burlada/Burlata;2072;862;118;862;2190;20470
Mues;53;76;0;76;53;2565
Sangüesa/Zangoza;1135;1199;0;1199;1135;16470
Izagaondoa;0;302;0;302;0;4925
Sarriés/Sartze;100;98;0;98;100;924
Orbara;0;48;0;48;0;1075
Baztan;4020;9345;233;9345;4252;43896
Fontellas;460;313;0;313;460;7723
Genevilla;0;36;95;36;95;1960
Facería 67;0;1;0;1;0;0
Urraul Bajo;26;310;0;310;26;8176
Améscoa Baja;154;616;36;616;191;11877
Metauten;0;289;99;289;99;5880
Oteiza;472;164;0;164;472;6628
Aibar/Oibar;264;256;0;256;264;7712
Sada;313;61;0;61;313;3232
Aranarache;0;35;0;35;0;1470
Igantzi;187;803;0;803;187;3839
Sartaguda;404;409;14;409;418;11145
Ituren;13;820;212;820;225;3805
Urdazubi/Urdax;552;541;86;541;638;2800
Valle de Ollo/Ollaran;209;418;61;418;271;7616
Ablitas;308;372;0;372;308;14575
Facería 39;0;2;0;2;0;0
San Adrián;468;403;0;403;468;28753
Facería 30;0;2;0;2;0;0
Facería 31;0;1;0;1;0;0
Facería 32;0;1;0;1;0;0
Irurtzun;0;193;0;193;0;5902
Funes;3358;447;0;447;3358;14835
Jaurrieta;176;119;0;119;176;2358
Facería 37;0;1;0;1;0;0
Eslava;0;89;0;89;0;3890
Esparza de Salazar;83;44;56;44;140;2004
Castillonuevo;0;95;49;95;49;551
Isaba/Izaba;99;550;0;550;99;3050
Andosilla;737;321;0;321;737;15202
Peralta;2456;692;0;692;2456;23971
Oroz-Betelu;8;101;0;101;8;2919
Facería 55;0;5;0;5;0;0
Goizueta;330;1309;130;1309;460;5452
Pitillas;0;169;0;169;0;6419
Irañeta;267;251;0;251;267;2697
Larraun;104;1771;34;1771;139;15918
Ujué / Uxue;0;263;63;263;63;4657
Piedramillera;37;47;0;47;37;1707
Orísoain;131;57;0;57;131;1147
Erro;750;1462;1413;1462;2162;14987
Mendigorría;127;185;0;185;127;6718
Urroz;0;132;0;132;0;3420
Ibargoiti;0;464;0;464;0;6413
Dicastillo;0;132;0;132;0;4374
Puente la Reina/Gares;463;510;0;510;463;12329
Zabalza;0;100;0;100;0;3587
Cirauqui;96;399;0;399;96;5973
Arróniz;22;249;0;249;22;6795
Facería 85;0;4;0;4;0;0
Obanos;471;292;0;292;471;13494
Murillo el Fruto;82;173;0;173;82;7043
Abaurrepea/Abaurrea Baja;0;102;0;102;0;846
Torralba del Río;163;135;71;135;234;2729
Buñuel;1239;446;0;446;1239;18075
Lakuntza;102;375;0;375;102;5790
Doneztebe/Santesteban;298;714;0;714;298;5960
Bidaurreta;0;108;69;108;69;1625
Etxarri-Aranatz;863;959;0;959;863;13287
Vidángoz/Bidankoze;0;49;0;49;0;1703
Facería 29;0;8;0;8;0;0
