Bordón;2598;78;0;78;2598;2779
Albeta;1101;27;0;27;1101;1101
Loscos;2825;69;0;69;2825;2825
Talamantes;0;78;0;78;0;1468
Ejea de los Caballeros;57822;1047;0;1047;57822;87414
Valjunquera / Valljunquera;630;183;0;183;630;4303
Las Parras de Castellote;2449;65;0;65;2449;2449
Vistabella;1592;25;0;25;1592;1592
Monreal de Ariza;2478;204;0;204;2478;3064
Torre la Ribera;425;183;0;183;425;425
Lalueza;10554;207;0;207;10554;14954
Cañada Vellida;883;32;0;32;883;883
San Martín del Río;382;130;0;130;382;3611
Laspaúles;1597;136;294;136;1892;1934
Ababuj;1412;25;0;25;1412;1412
Frías de Albarracín;0;489;0;489;0;182
Cucalón;1932;31;0;31;1932;1932
El Cuervo;1958;48;0;48;1958;2329
Escucha;6882;165;469;165;7351;10088
Lumpiaque;11502;113;0;113;11502;11502
Castillazuelo;1019;79;0;79;1019;1948
Puértolas;2106;325;0;325;2106;2320
Colungo;1259;154;0;154;1259;1361
Allepuz;647;392;0;392;647;2566
Pina de Ebro;3434;753;0;753;3434;14797
Linares de Mora;2713;128;0;128;2713;4367
Jarque de Moncayo;3978;44;0;44;3978;3978
Valtorres;0;72;39;72;39;2378
Ateca;1295;377;0;377;1295;8733
Orihuela del Tremedal;2016;210;0;210;2016;10752
Nuez de Ebro;2657;69;161;69;2817;9828
Peralta de Alcofea;7921;105;0;105;7921;8351
Bárboles;1464;210;0;210;1464;3443
Valdelinares;1283;219;0;219;1283;2241
Martín del Río;2739;101;0;101;2739;3797
Moyuela;3847;53;219;53;4066;4348
Belver de Cinca;1791;143;91;143;1882;7090
Estercuel;3597;81;436;81;4033;4033
Villanova;291;79;0;79;291;926
Cabolafuente;4597;85;0;85;4597;4597
Santa María de Dulcis;1557;69;0;69;1557;1557
Senés de Alcubierre;0;489;0;489;0;1093
Cosuenda;40;1429;0;1429;40;4853
La Almunia de Doña Godina;2991;1147;0;1147;2991;24216
Bardallur;869;96;0;96;869;1993
Torralbilla;1346;28;0;28;1346;1346
Villarreal de Huerva;2856;104;0;104;2856;2856
Munébrega;4072;115;0;115;4072;4072
Valle de Bardají;1429;61;0;61;1429;1429
La Muela;16480;1538;1560;1538;18039;51796
Cadrete;4382;383;128;383;4511;39515
Albarracín;637;2897;202;2897;839;9747
Toril y Masegoso;0;45;0;45;0;808
Maluenda;1336;133;46;133;1382;5674
Cabra de Mora;486;453;0;453;486;1183
Benabarre;2797;618;0;618;2797;9874
Villafranca de Ebro;5455;169;0;169;5455;5455
Rubielos de Mora;3594;675;0;675;3594;8637
Puendeluna;247;12;0;12;247;247
Longás;100;27;0;27;100;701
Villafeliche;1983;61;0;61;1983;1983
Almudévar;3348;1599;0;1599;3348;25566
Calmarza;120;103;0;103;120;1313
Sisamón;3639;106;0;106;3639;3639
Farlete;205;229;0;229;205;5650
Tramacastiel;1536;46;0;46;1536;1536
Villadoz;0;111;0;111;0;1556
Fuendejalón;5173;126;0;126;5173;6538
Luesma;908;54;0;54;908;908
Azara;1352;37;0;37;1352;1352
Herrera de los Navarros;4234;117;106;117;4340;4340
Mediana de Aragón;4842;210;0;210;4842;4842
Graus;4465;1410;2028;1410;6493;14409
Alquézar;2863;397;0;397;2863;4474
Obón;1489;89;0;89;1489;2798
Salillas;0;122;0;122;0;1510
Segura de los Baños;2188;45;0;45;2188;2188
Palo;602;31;0;31;602;602
Esplús;1442;87;79;87;1521;4898
Hinojosa de Jarque;3532;93;0;93;3532;3532
Monroyo / Montroig;1212;207;0;207;1212;3765
Mainar;1705;76;0;76;1705;2113
Bailo;2085;478;37;478;2122;5232
Alfamén;12327;152;0;152;12327;12327
Pitarque;1280;31;0;31;1280;1280
Tornos;5028;244;0;244;5028;5028
El Pueyo de Araguás;90;345;0;345;90;366
Aísa;2588;413;0;413;2588;5491
Pastriz;2505;129;20;129;2525;7120
Ibdes;8047;480;0;480;8047;8047
Fuentes de Ebro;4504;512;53;512;4557;23543
Villanúa;3430;528;496;528;3927;13024
Banastás;0;496;0;496;0;3674
Grisel;43;43;0;43;43;832
Ontiñena;3100;102;0;102;3100;4809
Caldearenas;938;512;0;512;938;4325
Lascellas-Ponzano;1267;138;0;138;1267;2872
Noguera de Albarracín;2909;41;0;41;2909;2909
Castejón de Alarba;1658;74;0;74;1658;1658
Loscorrales;46;251;0;251;46;1240
Albalate de Cinca;4736;374;270;374;5006;8376
Bureta;3488;57;0;57;3488;3488
Fonfría;1034;28;0;28;1034;1034
Valmadrid;939;83;0;83;939;1799
Hoz de Jaca;211;380;0;380;211;3117
Berrueco;1357;44;0;44;1357;1357
Alacón;1095;63;0;63;1095;1472
Orrios;1004;34;0;34;1004;2198
Blesa;450;107;0;107;450;3739
Yebra de Basa;128;572;0;572;128;1681
Castiliscar;1036;94;0;94;1036;4319
Sestrica;2314;119;0;119;2314;3149
Fayón / Faió;6908;188;0;188;6908;6908
Torremocha de Jiloca;2516;69;0;69;2516;2819
Novallas;6431;39;0;39;6431;6431
Cerveruela;28;23;0;23;28;661
Uncastillo;4003;139;0;139;4003;6138
Torres de Berrellén;2429;218;0;218;2429;7911
Torla-Ordesa;2169;1442;0;1442;2169;3960
Visiedo;3151;34;0;34;3151;3151
Pozondón;919;72;0;72;919;1324
Albero Alto;258;150;0;150;258;2166
Benasque;7023;1922;0;1922;7023;11487
Langa del Castillo;2303;48;0;48;2303;2303
Luna;1420;293;0;293;1420;7811
Jatiel;1079;14;0;14;1079;1079
Santa Cruz de Grío;992;14;0;14;992;992
Bordalba;2628;77;0;77;2628;2628
Alloza;4204;112;380;112;4584;10277
Adahuesca;285;90;0;90;285;1311
Sopeira;2763;166;0;166;2763;2763
Grañén;6513;855;0;855;6513;16954
Seira;545;358;0;358;545;990
Marracos;1059;22;0;22;1059;1059
Romanos;1969;97;0;97;1969;1969
Torralba de Aragón;939;309;0;309;939;1693
Sesa;0;217;0;217;0;2239
Quinto;876;275;0;275;876;8450
Santa Cruz de la Serós;1803;200;0;200;1803;2644
Las Cuerlas;1417;59;0;59;1417;1417
Torralba de Ribota;201;61;0;61;201;2516
Singra;2194;186;0;186;2194;2494
Estopiñán del Castillo;932;126;0;126;932;932
Cinco Olivas;132;45;0;45;132;2183
Jaca;11130;9340;780;9340;11910;80316
Híjar;1861;409;0;409;1861;10775
Odón;2710;66;0;66;2710;2710
Gotor;2134;31;281;31;2415;2415
Rillo;1958;46;0;46;1958;1958
Pozuel de Ariza;1412;65;0;65;1412;1412
La Cuba;579;33;0;33;579;1923
Almonacid de la Sierra;7011;170;0;170;7011;8642
Utebo;6425;992;0;992;6425;34842
Tella-Sin;1780;329;0;329;1780;1780
Sediles;203;77;703;77;906;906
Paniza;3901;129;0;129;3901;3901
Mallén;10698;322;6959;322;17656;17743
Mirambel;999;119;0;119;999;1694
Alborge;1187;37;102;37;1289;2071
Ambel;4623;74;0;74;4623;4623
Igriés;813;1244;0;1244;813;4150
Guadalaviar;2268;469;0;469;2268;4577
Gurrea de Gállego;1611;448;150;448;1761;15807
Artieda;652;96;0;96;652;1126
Los Fayos;2321;43;0;43;2321;2321
Olba;4318;1428;0;1428;4318;6661
