Llanera;24179;3121;0;3121;24179;51717
Valdés;120159;3571;1073;3571;121232;134666
Morcín;7662;754;1614;754;9276;9869
Cangas de Onís;16304;2991;315;2991;16620;20309
Villaviciosa;28870;3937;0;3937;28870;44960
Ribera de Arriba;5235;793;117;793;5352;5352
Santo Adriano;2374;746;1233;746;3607;4658
Siero;43336;12206;1343;12206;44679;91915
Cudillero;55965;2147;2707;2147;58673;59882
Ribadesella;22512;2910;46;2910;22558;38228
Yernes y Tameza;3433;728;0;728;3433;3433
Gijón/Xixón;12299;29683;1337;29683;13636;353126
Candamo;3606;415;0;415;3606;3606
Illas;771;378;833;378;1604;2340
Santa Eulalia de Oscos;10969;372;0;372;10969;11494
Piloña;25199;9798;939;9798;26137;31887
Cangas del Narcea;133691;3366;1728;3366;135419;144966
Mieres;44918;4946;305;4946;45223;70765
Ponga;7765;1575;514;1575;8279;12969
Navia;52941;2292;0;2292;52941;60567
Sobrescobio;12085;987;0;987;12085;12085
Lena;44688;5651;3322;5651;48010;59100
Quirós;28579;4866;204;4866;28783;28783
Bimenes;5439;4337;0;4337;5439;5439
Tineo;90745;2168;82;2168;90827;94541
Peñamellera Alta;8879;1451;0;1451;8879;9071
Pravia;13470;965;0;965;13470;20609
Degaña;8807;215;0;215;8807;8807
Cabrales;4982;7915;150;7915;5131;6543
Riosa;4811;473;953;473;5764;7749
Pesoz;5476;192;164;192;5640;5640
Tapia de Casariego;30210;1176;0;1176;30210;42882
Llangréu/Langreo;23939;14020;294;14020;24233;91994
Cabranes;7159;497;628;497;7787;7787
Vegadeo;26265;1310;3935;1310;30199;35048
Coaña;24135;1020;0;1020;24135;24857
Taramundi;14184;2124;423;2124;14607;16384
Corvera de Asturias;15903;1374;0;1374;15903;38462
Castrillón;46651;3326;378;3326;47029;82048
Nava;20729;928;408;928;21137;27688
Ibias;38544;1322;333;1322;38877;38877
Salas;25259;1881;2042;1881;27300;36288
Gozón;22628;2007;33;2007;22661;40190
Soto del Barco;15638;712;0;712;15638;25412
San Tirso de Abres;9318;554;0;554;9318;9715
Caso;21338;2800;578;2800;21916;25327
Llanes;53573;10169;2560;10169;56133;78693
Colunga;28825;4716;540;4716;29366;42312
Sariego;7113;523;0;523;7113;8720
Villayón;18586;431;619;431;19205;19205
Ribadedeva;9240;752;431;752;9671;10184
Amieva;7116;663;1547;663;8663;8663
Parres;9637;1034;504;1034;10141;15384
Onís;7081;2331;0;2331;7081;7081
Carreño;11369;2109;140;2109;11508;28848
Grandas de Salime;20533;725;0;725;20533;23420
Castropol;37046;1601;0;1601;37046;47846
Proaza;15984;450;140;450;16125;16791
Aller;21846;3936;213;3936;22059;31654
Boal;9957;1348;0;1348;9957;11897
Grau/Grado;28381;2300;366;2300;28747;40608
San Martín de Oscos;12427;269;0;269;12427;12427
Illano;16712;625;1076;625;17787;17787
El Franco;11254;782;0;782;11254;18538
Villanueva de Oscos;7082;477;0;477;7082;7082
Las Regueras;6011;672;0;672;6011;6011
Peñamellera Baja;11476;660;0;660;11476;11476
Samartín del Rei Aurelio;22882;2241;192;2241;23074;42624
Noreña;1151;1313;172;1313;1323;17671
Belmonte de Miranda;12489;839;1326;839;13815;15789
Allande;41009;1415;34;1415;41044;42493
Laviana;24239;2614;0;2614;24239;33869
Muros de Nalón;6618;1508;0;1508;6618;15647
Avilés;28494;6153;2246;6153;30741;105415
Oviedo;76978;24633;2875;24633;79853;241177
Caravia;4118;830;0;830;4118;5240
