Sant Llorenç des Cardassar;5641;3498;99;3498;5740;62014
Sencelles;480;457;0;457;480;6933
Binissalem;1146;627;0;627;1146;22648
Llubí;5797;435;0;435;5797;14276
Es Mercadal;7780;7018;0;7018;7780;62185
Escorca;4127;1550;0;1550;4127;6017
Alaior;2139;11070;0;11070;2139;50577
Esporles;8907;1506;0;1506;8907;33646
Algaida;3311;1603;409;1603;3720;23359
Sóller;3766;7791;0;7791;3766;43134
Artà;5141;2135;0;2135;5141;51927
Deià;889;1266;0;1266;889;5293
Andratx;6508;5662;0;5662;6508;85252
Santa Eulària des Riu;184818;6984;165;6984;184983;337259
Ses Salines;1715;1965;14;1965;1729;34097
Es Migjorn Gran;2496;1765;0;1765;2496;10317
Llucmajor;11941;7698;0;7698;11941;164062
Santa Eugènia;2749;380;0;380;2749;6902
Lloret de Vistalegre;612;230;0;230;612;4147
Maó;13338;27063;466;27063;13804;92049
Marratxí;27805;4790;83;4790;27888;188627
Lloseta;2726;358;0;358;2726;14914
Sant Antoni de Portmany;118431;8783;58;8783;118489;171299
Sant Joan de Labritja;85170;3016;0;3016;85170;102447
Formentera;31339;3040;250;3040;31589;50744
Petra;999;935;0;935;999;14437
Ciutadella;17158;29925;19;29925;17177;135968
Santanyí;26249;20747;420;20747;26670;131025
Campos;6334;3047;0;3047;6334;69641
Palma;81986;24036;395;24036;82381;705752
Son Servera;7897;2079;185;2079;8083;49164
Ariany;378;317;0;317;378;9353
Alcúdia;12895;5242;7;5242;12902;95273
Santa Margalida;6240;2699;0;2699;6240;75328
Selva;2162;1047;0;1047;2162;14408
Vilafranca de Bonany;948;346;0;346;948;16505
Calvià;15533;16244;672;16244;16205;265134
Manacor;33054;19141;0;19141;33054;201161
Sant Lluís;2420;17349;0;17349;2420;70208
Capdepera;7868;4293;0;4293;7868;98355
Santa María del Camí;70;8675;0;8675;70;17772
Campanet;1641;556;0;556;1641;9616
Maria de la Salut;1445;406;0;406;1445;13230
Costitx;2578;249;0;249;2578;5791
Alaró;715;5309;0;5309;715;16239
Fornalutx;216;1366;142;1366;357;1373
Pollença;15834;13667;1382;13667;17216;82114
Sant Joan;2362;590;0;590;2362;11987
Puigpunyent;3867;702;0;702;3867;14557
Mancor de la Vall;787;247;0;247;787;5959
Felanitx;20042;4736;50;4736;20091;91400
Valldemossa;10256;2572;205;2572;10461;19813
Estellencs;2324;240;0;240;2324;4379
Sa Pobla;7783;1336;0;1336;7783;51700
Búger;236;193;0;193;236;4891
Montuïri;4043;741;0;741;4043;12221
Inca;6427;1883;0;1883;6427;63701
Muro;2970;2332;0;2332;2970;40470
Sineu;4363;749;80;749;4443;19459
Banyalbufar;0;980;0;980;0;6247
Bunyola;3926;1801;0;1801;3926;40572
Ferreries;4200;2850;0;2850;4200;17020
Eivissa;14311;4367;28;4367;14339;76117
Porreres;1792;975;163;975;1956;15653
Sant Josep de sa Talaia;118946;9068;632;9068;119578;232980
Es Castell;61;7311;0;7311;61;28861
Consell;1288;385;0;385;1288;10738
