Melgar de Arriba;0;88;0;88;0;3849
Pollos;718;165;0;165;718;7428
Valverde de Campos;0;394;0;394;0;1987
La Parrilla;178;127;0;127;178;6700
San Martín de Valvení;662;116;0;116;662;2553
Geria;1350;214;0;214;1350;4588
Valdearcos de la Vega;99;34;0;34;99;1013
Castrillo de Duero;520;167;0;167;520;4077
Viloria;235;86;0;86;235;4919
Camporredondo;283;99;0;99;283;3294
Viana de Cega;866;378;0;378;866;26292
Morales de Campos;6;91;0;91;6;2371
Urones de Castroponce;0;32;0;32;0;2882
Villafrechós;0;166;0;166;0;6620
San Pablo de la Moraleja;181;124;0;124;181;2539
La Pedraja de Portillo;2158;516;0;516;2158;10819
Villalán de Campos;0;58;0;58;0;1389
Mucientes;1325;244;0;244;1325;7398
Fombellida;778;122;0;122;778;3747
Herrín de Campos;0;126;0;126;0;2868
Corcos;3119;191;0;191;3119;5812
Tordesillas;29923;1762;0;1762;29923;72326
Nava del Rey;1067;385;0;385;1067;14578
Torrescárcela;69;41;0;41;69;1874
Villanueva de Duero;6956;332;0;332;6956;22445
Canillas de Esgueva;1061;95;0;95;1061;2666
Valladolid;33256;17790;2209;17790;35464;434430
Villavellid;199;89;0;89;199;1879
Barcial de la Loma;0;79;0;79;0;3307
San Pelayo;154;33;0;33;154;1228
Melgar de Abajo;0;77;0;77;0;3542
Laguna de Duero;6240;5994;0;5994;6240;83252
Rueda;3454;527;0;527;3454;17133
Villabáñez;969;139;0;139;969;10713
Villacarralón;61;71;0;71;61;2374
Villafuerte;415;89;0;89;415;2317
Olmedo;3087;1957;0;1957;3087;20065
Cabreros del Monte;15;104;0;104;15;2671
Barruelo del Valle;172;56;0;56;172;1948
Valdunquillo;44;156;0;156;44;4592
Curiel de Duero;892;88;0;88;892;3060
Cogeces de Íscar;495;80;0;80;495;2678
Castronuevo de Esgueva;826;112;0;112;826;6184
Amusquillo;670;66;0;66;670;2571
Quintanilla de Trigueros;361;51;0;51;361;1660
Adalia;982;53;0;53;982;2675
Velilla;82;116;0;116;82;2201
Villardefrades;861;227;0;227;861;3413
Bocigas;34;72;0;72;34;1718
Pedrajas de San Esteban;745;213;0;213;745;24696
La Mudarra;285;110;0;110;285;2382
Pozuelo de la Orden;0;49;0;49;0;2509
Valdestillas;1342;392;0;392;1342;13621
Villagómez la Nueva;0;61;0;61;0;3923
Carpio;887;216;0;216;887;10362
Manzanillo;36;18;0;18;36;648
Nueva Villa de las Torres;135;53;0;53;135;3705
Villalbarba;554;62;0;62;554;3623
Arroyo de la Encomienda;2589;1744;105;1744;2693;67588
Torre de Peñafiel;388;80;0;80;388;2716
Vega de Ruiponce;0;48;0;48;0;3695
Trigueros del Valle;2098;217;3228;217;5326;8146
Ceinos de Campos;112;144;0;144;112;4966
Quintanilla del Molar;0;42;0;42;0;1398
Encinas de Esgueva;1364;113;0;113;1364;4836
Villalba de la Loma;0;41;0;41;0;1981
Saelices de Mayorga;0;42;0;42;0;3405
Villafrades de Campos;0;62;0;62;0;4059
Robladillo;24;32;0;32;24;1152
Peñafiel;5068;818;0;818;5068;28037
Villacid de Campos;0;81;0;81;0;2871
Bocos de Duero;369;38;0;38;369;663
Castromembibre;656;78;0;78;656;2257
San Pedro de Latarce;1635;163;0;163;1635;7225
Berrueces;0;118;0;118;0;3099
Fuensaldaña;13330;288;0;288;13330;26321
Fompedraza;523;58;0;58;523;2364
Ventosa de la Cuesta;586;49;0;49;586;2330
Moraleja de las Panaderas;564;56;0;56;564;1321
Íscar;2310;465;332;465;2643;32892
Moral de la Reina;43;123;0;123;43;4165
Berceruelo;222;145;0;145;222;1476
Santibáñez de Valcorba;377;79;0;79;377;3821
Santovenia de Pisuerga;4935;350;0;350;4935;17195
Puras;0;26;0;26;0;686
Torrecilla de la Torre;242;16;0;16;242;725
San Miguel del Arroyo;1898;292;0;292;1898;12564
Mota del Marqués;263;201;0;201;263;6207
Pozaldez;431;131;0;131;431;7342
Roales de Campos;0;85;0;85;0;3669
Villavaquerín;106;66;0;66;106;1964
Rubí de Bracamonte;12;41;0;41;12;3250
Castroponce;0;50;0;50;0;3677
Medina de Rioseco;15;602;0;602;15;23021
Valoria la Buena;1236;230;0;230;1236;6281
Aldea de San Miguel;228;207;0;207;228;4421
Vega de Valdetronco;529;84;0;84;529;2246
Piñel de Abajo;169;114;0;114;169;2054
Becilla de Valderaduey;0;162;0;162;0;5937
Tordehumos;0;99;0;99;0;6700
Cervillego de la Cruz;636;65;0;65;636;3276
Fontihoyuelo;0;42;0;42;0;1700
Villaco;538;86;0;86;538;1687
Piñel de Arriba;255;91;0;91;255;2587
Villán de Tordesillas;145;65;0;65;145;2581
Cubillas de Santa Marta;7800;137;0;137;7800;9770
Bercero;62;354;0;354;62;2670
Renedo de Esgueva;2437;239;0;239;2437;24664
Castrodeza;0;82;0;82;0;7616
San Llorente;310;92;0;92;310;2036
Pozal de Gallinas;2677;161;0;161;2677;9065
Villalón de Campos;0;367;0;367;0;15619
Villalba de los Alcores;943;188;0;188;943;5901
Aguasal;228;89;0;89;228;1227
La Seca;945;218;0;218;945;10926
Urueña;210;399;0;399;210;3162
Castroverde de Cerrato;904;93;0;93;904;2512
Bolaños de Campos;0;112;0;112;0;4947
Santervás de Campos;0;170;0;170;0;5770
Esguevillas de Esgueva;2184;163;0;163;2184;5466
Cistérniga;5827;649;64;649;5892;29079
Mayorga;0;295;0;295;0;13712
La Unión de Campos;0;95;0;95;0;5779
Villasexmir;144;44;0;44;144;1567
Monasterio de Vega;0;31;0;31;0;1644
Peñaflor de Hornija;337;264;0;264;337;4471
Gatón de Campos;0;52;0;52;0;1958
Torrecilla de la Orden;763;115;0;115;763;5916
Velascálvaro;55;30;0;30;55;3035
San Cebrián de Mazote;0;157;0;157;0;3536
Castrillo-Tejeriego;647;114;39;114;687;2990
Rábano;568;113;0;113;568;3312
Mojados;12189;408;0;408;12189;33311
Montemayor de Pililla;659;241;0;241;659;12382
Benafarces;402;63;0;63;402;2083
San Miguel del Pino;1023;46;0;46;1023;2638
Alaejos;919;292;0;292;919;13210
Aldeamayor de San Martín;19317;2008;166;2008;19483;76308
Villanueva de San Mancio;0;43;0;43;0;2528
Piña de Esgueva;146;60;0;60;146;3297
Matapozuelos;3354;1052;0;1052;3354;15637
Villarmentero de Esgueva;531;27;0;27;531;1784
Bahabón;219;55;0;55;219;3346
Campaspero;708;144;63;144;771;9234
Velliza;529;105;0;105;529;4481
Ciguñuela;151;109;0;109;151;3859
Medina del Campo;2343;7684;0;7684;2343;45324
La Zarza;746;58;0;58;746;1854
El Campillo;946;79;0;79;946;5482
Villaverde de Medina;772;165;0;165;772;5614
Castromonte;3057;302;167;302;3224;6839
Torre de Esgueva;436;46;0;46;436;1762
Santa Eufemia del Arroyo;0;267;0;267;0;2525
Sardón de Duero;1773;162;128;162;1901;7366
Portillo;14;3411;0;3411;14;17241
Langayo;814;90;0;90;814;4657
Cuenca de Campos;0;138;0;138;0;3537
Villanueva de los Infantes;56;33;0;33;56;2063
Fuente-Olmedo;244;60;0;60;244;2187
Villanubla;5323;625;0;625;5323;16430
Villabrágima;2973;154;0;154;2973;8552
Zaratán;2597;565;0;565;2597;24375
San Vicente del Palacio;654;134;0;134;654;2778
Salvador de Zapardiel;543;68;0;68;543;3045
Castrobol;0;21;0;21;0;2704
Villabaruz de Campos;0;46;0;46;0;1637
Canalejas de Peñafiel;54;78;0;78;54;4880
Ramiro;80;36;0;36;80;1439
Cabezón de Valderaduey;0;30;0;30;0;1696
Cogeces del Monte;423;124;0;124;423;6334
Tudela de Duero;15764;711;646;711;16409;56508
Serrada;599;224;0;224;599;9794
Muriel;134;74;0;74;134;2911
Casasola de Arión;123;174;0;174;123;5705
Tamariz de Campos;77;163;0;163;77;4160
Bobadilla del Campo;225;117;0;117;225;5154
Traspinedo;10209;220;0;220;10209;24133
Valbuena de Duero;1799;186;0;186;1799;5623
Gallegos de Hornija;590;52;0;52;590;1965
Olmos de Esgueva;0;45;0;45;0;2985
San Salvador;301;36;0;36;301;1217
Villafranca de Duero;175;96;0;96;175;4310
Montealegre de Campos;0;151;0;151;0;3154
Hornillos de Eresma;979;118;0;118;979;2765
Villanueva de la Condesa;0;24;0;24;0;1080
Villagarcía de Campos;832;124;0;124;832;4465
Marzales;247;35;0;35;247;1494
Alcazarén;2003;235;0;235;2003;10164
San Román de Hornija;302;130;0;130;302;4378
Corrales de Duero;89;29;0;29;89;1597
Castrejón de Trabancos;1487;78;0;78;1487;5153
Almenara de Adaja;0;38;0;38;0;563
Villanueva de los Caballeros;202;146;0;146;202;4513
Valdenebro de los Valles;0;529;0;529;0;3990
Fresno el Viejo;707;254;0;254;707;8130
Lomoviejo;703;60;0;60;703;2812
Torrecilla de la Abadesa;792;105;0;105;792;2937
Torrelobatón;367;142;0;142;367;7166
Tiedra;2410;182;0;182;2410;6623
Olmos de Peñafiel;225;49;0;49;225;1381
Wamba;199;428;0;428;199;2586
Aguilar de Campos;0;125;0;125;0;5374
Quintanilla de Onésimo;3656;271;0;271;3656;13750
Matilla de los Caños;162;59;0;59;162;1484
Brahojos de Medina;190;85;0;85;190;3283
Villavicencio de los Caballeros;0;93;0;93;0;6119
Boecillo;14352;877;52;877;14405;69769
Villalar de los Comuneros;184;120;0;120;184;5016
Siete Iglesias de Trabancos;482;221;0;221;482;7912
Megeces;104;91;0;91;104;5630
Castronuño;139;216;0;216;139;8488
Simancas;4508;857;56;857;4564;40840
Fuente el Sol;0;69;0;69;0;2145
Ataquines;1681;183;0;183;1681;6851
Pesquera de Duero;1821;193;0;193;1821;4561
Olivares de Duero;793;94;0;94;793;3706
Villamuriel de Campos;0;52;0;52;0;2525
Pedrosa del Rey;23;169;0;169;23;4649
Palazuelo de Vedija;38;84;0;84;38;4880
Roturas;309;34;0;34;309;1432
Cigales;1083;470;0;470;1083;20619
Bustillo de Chaves;27;37;0;37;27;2603
Llano de Olmedo;0;35;0;35;0;1791
Quintanilla de Arriba;407;110;0;110;407;2225
Cabezón de Pisuerga;6977;518;0;518;6977;24394
