Valdemorillo;3756;7805;625;7805;4381;115969
Arganda del Rey;17499;6954;1263;6954;18762;146472
Villaviciosa de Odón;6004;2955;347;2955;6351;133796
Collado Mediano;882;763;0;763;882;45790
Batres;929;287;0;287;929;17227
Olmeda de las Fuentes;248;386;0;386;248;4678
Villalbilla;2258;3146;0;3146;2258;106864
Guadalix de la Sierra;1598;524;0;524;1598;36158
Alcalá de Henares;26613;18461;403;18461;27016;295093
Majadahonda;1160;5000;0;5000;1160;150009
Valdilecha;292;322;0;322;292;10445
Becerril de la Sierra;589;955;0;955;589;51578
Talamanca de Jarama;2491;331;0;331;2491;21849
Villamanta;2271;841;0;841;2271;16077
Lozoya;702;302;501;302;1204;7858
Moraleja de Enmedio;369;669;0;669;369;19286
Torrejón de Ardoz;6634;11600;432;11600;7066;118892
El Berrueco;879;742;0;742;879;7041
Collado Villalba;3201;4853;43;4853;3244;116742
Villamanrique de Tajo;964;189;0;189;964;11026
Navalcarnero;13297;2230;0;2230;13297;95003
San Agustín del Guadalix;3437;878;954;878;4392;40557
Algete;8815;1479;168;1479;8983;68588
Los Santos de la Humosa;387;642;0;642;387;16422
Horcajo de la Sierra-Aoslos;176;144;0;144;176;1803
Pinilla del Valle;439;187;0;187;439;4476
San Sebastián de los Reyes;13584;6744;1933;6744;15517;138927
Titulcia;5585;253;0;253;5585;8197
Patones;412;522;61;522;473;4253
Ciempozuelos;1918;1240;0;1240;1918;48776
Leganés;9752;18576;714;18576;10466;198173
Miraflores de la Sierra;4614;1303;0;1303;4614;54016
Morata de Tajuña;2457;2125;0;2125;2457;27031
Navacerrada;2642;1952;99;1952;2741;23712
Pezuela de las Torres;2927;250;0;250;2927;9281
Paracuellos de Jarama;4694;4962;678;4962;5372;106805
Villavieja del Lozoya;1869;158;487;158;2356;6285
Tielmes;33;293;0;293;33;11023
Horcajuelo de la Sierra;671;174;0;174;671;1862
Moralzarzal;1538;1304;0;1304;1538;73440
Colmenar del Arroyo;1758;1075;0;1075;1758;15440
Piñuécar-Gandullas;592;154;0;154;592;5318
Quijorna;2079;395;0;395;2079;23589
Villar del Olmo;263;407;0;407;263;16051
Prádena del Rincón;187;81;866;81;1053;2147
Sevilla la Nueva;347;6728;0;6728;347;37764
Fresnedillas de la Oliva;291;1276;0;1276;291;11164
Humanes de Madrid;1808;5118;0;5118;1808;28773
Belmonte de Tajo;9911;261;0;261;9911;11152
Valdemaqueda;149;599;0;599;149;15818
Valverde de Alcalá;0;229;0;229;0;4421
Nuevo Baztán;1210;1405;0;1405;1210;78654
Anchuelo;122;193;0;193;122;8069
Ambite;14646;195;0;195;14646;17009
San Martín de la Vega;7659;13139;0;13139;7659;81377
Venturada;1332;389;0;389;1332;31016
Ajalvir;13;937;74;937;87;15957
Lozoyuela-Navas-Sieteiglesias;3193;691;0;691;3193;15787
Aranjuez;4088;11552;429;11552;4517;138640
Fresno de Torote;1070;307;0;307;1070;26126
Zarzalejo;988;4584;40;4584;1028;15703
Cubas de la Sagra;667;310;0;310;667;24687
Cenicientos;537;478;0;478;537;18924
Móstoles;12913;10199;4157;10199;17070;192495
Tres Cantos;1870;2875;918;2875;2787;122058
Villamantilla;1323;402;0;402;1323;12990
La Serna del Monte;0;95;0;95;0;1654
Santa María de la Alameda;2292;1140;0;1140;2292;33120
Arroyomolinos;1664;1519;0;1519;1664;71039
Torremocha de Jarama;807;198;0;198;807;9714
El Boalo;4711;1129;0;1129;4711;59940
El Vellón;688;235;0;235;688;9706
Guadarrama;3843;4324;57;4324;3900;85892
Cabanillas de la Sierra;439;212;0;212;439;10807
San Martín de Valdeiglesias;2309;2278;0;2278;2309;65386
Galapagar;434;28316;0;28316;434;164776
Madarcos;291;27;0;27;291;1448
Villanueva de la Cañada;1638;1613;0;1613;1638;93207
Manzanares el Real;201;2152;0;2152;201;60798
Valdemanco;1240;389;61;389;1301;9413
Casarrubuelos;1254;283;0;283;1254;14902
San Lorenzo de El Escorial;3938;2421;55;2421;3993;58080
Cervera de Buitrago;263;72;0;72;263;2220
Villa del Prado;15117;1612;0;1612;15117;70660
Navarredonda y San Mamés;718;111;0;111;718;3267
Orusco de Tajuña;2568;157;0;157;2568;9727
Ribatejada;1759;175;0;175;1759;12787
El Álamo;3907;465;0;465;3907;53642
Pozuelo del Rey;388;178;0;178;388;7689
Pedrezuela;2691;440;196;440;2887;34236
El Escorial;5560;2579;134;2579;5694;90341
Rascafría;2293;1488;0;1488;2293;18538
La Acebeda;240;179;0;179;240;864
Colmenar de Oreja;25547;1339;0;1339;25547;82165
Rozas de Puerto Real;72;409;0;409;72;8828
Getafe;29987;12250;54;12250;30041;262050
Estremera;10284;425;0;425;10284;17104
Coslada;2517;11882;0;11882;2517;83352
Alcobendas;18544;7831;15506;7831;34050;182590
Santorcaz;456;327;0;327;456;12177
La Hiruela;265;130;0;130;265;1526
Mejorada del Campo;5042;2275;307;2275;5349;64004
Gargantilla del Lozoya y Pinilla de Buitrago;1305;239;0;239;1305;9028
Buitrago del Lozoya;311;1207;0;1207;311;12653
Navalagamella;1259;1821;0;1821;1259;12358
Colmenarejo;145;1352;0;1352;145;48646
Pozuelo de Alarcón;6078;15843;2605;15843;8683;258831
Somosierra;83;186;0;186;83;2197
Alpedrete;2335;1808;618;1808;2953;68678
Torres de la Alameda;2643;1312;0;1312;2643;39216
Meco;4509;3065;0;3065;4509;64529
Navas del Rey;8603;790;0;790;8603;25790
Serranillos del Valle;153;290;0;290;153;24647
Cobeña;1523;8625;0;8625;1523;26218
Valdepiélagos;2351;108;0;108;2351;5694
Torrejón de la Calzada;6583;681;0;681;6583;32635
Brea de Tajo;1026;257;17;257;1043;6465
Rivas-Vaciamadrid;9588;12613;0;12613;9588;162634
Valdetorres de Jarama;8247;374;0;374;8247;45610
El Molar;3917;624;0;624;3917;28602
Robregordo;532;90;0;90;532;3755
Fuentidueña de Tajo;10669;339;0;339;10669;20410
Valdelaguna;0;316;0;316;0;11758
Pelayos de la Presa;585;983;109;983;695;34488
Villanueva de Perales;717;450;0;450;717;7796
Colmenar Viejo;12186;4856;3199;4856;15385;158452
Torrelaguna;630;3162;0;3162;630;25902
Berzosa del Lozoya;333;285;33;285;366;4578
Los Molinos;6272;584;283;584;6556;46534
Garganta de los Montes;3512;436;29;436;3541;9699
Torrelodones;613;25893;0;25893;613;117356
Madrid;104237;240930;9959;240930;114196;2714431
Boadilla del Monte;12560;6659;3990;6659;16550;236647
Pinto;13028;3371;43;3371;13071;62832
Griñón;722;1004;0;1004;722;55557
Loeches;6178;1429;52;1429;6229;42311
Villanueva del Pardillo;2554;1102;0;1102;2554;49724
La Cabrera;1838;915;186;915;2024;23461
Alcorcón;5636;11309;56;11309;5691;172352
Chinchón;11810;1654;0;1654;11810;39460
Soto del Real;6800;1903;0;1903;6800;65885
Gascones;703;120;0;120;703;2669
Velilla de San Antonio;1214;1637;0;1637;1214;29696
Redueña;159;739;0;739;159;3130
Canencia;188;344;0;344;188;6740
Navalafuente;1799;151;0;151;1799;16655
Perales de Tajuña;1612;752;0;752;1612;9775
Valdemoro;31949;3879;248;3879;32197;145666
Las Rozas de Madrid;5726;7113;895;7113;6621;259806
Carabaña;896;286;231;286;1126;12309
Valdeavero;414;259;0;259;414;17000
Parla;7455;4143;25;4143;7480;127101
Campo Real;2937;715;0;715;2937;22581
Villarejo de Salvanés;2128;821;4434;821;6562;35381
Montejo de la Sierra;167;183;0;183;167;1874
Villaconejos;2207;431;0;431;2207;17120
Valdaracete;7990;153;0;153;7990;9505
Alameda del Valle;304;168;175;168;479;5243
Camarma de Esteruelas;3018;965;0;965;3018;40037
Torrejón de Velasco;504;600;0;600;504;16322
Bustarviejo;2959;687;475;687;3434;25218
Puebla de la Sierra;362;360;312;360;674;2650
Cadalso de los Vidrios;873;1068;0;1068;873;29994
Brunete;3924;779;0;779;3924;34813
Robledo de Chavela;3210;1838;0;1838;3210;66393
Fuenlabrada;5164;11668;645;11668;5809;109164
Chapinería;4499;719;0;719;4499;23135
Robledillo de la Jara;298;138;0;138;298;3345
Hoyo de Manzanares;4840;1855;72;1855;4912;53764
El Atazar;105;216;0;216;105;2252
Valdeolmos-Alalpardo;1745;354;0;354;1745;17838
Daganzo de Arriba;1823;1136;143;1136;1966;36693
Fuente el Saz de Jarama;1513;476;0;476;1513;25782
Aldea del Fresno;9875;1560;0;1560;9875;31217
Cercedilla;3671;1582;0;1582;3671;49634
Puentes Viejas;3516;407;2340;407;5856;14859
Braojos;25;155;0;155;25;4038
Corpa;313;178;294;178;607;5738
San Fernando de Henares;14649;11917;0;11917;14649;64929
