Llanera;24179;3122;0;3122;24179;51717
Valdés;120156;3632;1073;3632;121229;134663
Morcín;7662;754;1614;754;9276;9869
Cangas de Onís;16304;3184;315;3184;16620;20309
Villaviciosa;28905;3955;0;3955;28905;44995
Ribera de Arriba;5235;793;117;793;5352;5352
Santo Adriano;2374;748;1233;748;3607;4658
Siero;43336;12210;1343;12210;44679;91915
Cudillero;55965;2191;2707;2191;58673;59882
Ribadesella;22512;2910;46;2910;22558;38228
Yernes y Tameza;3433;728;0;728;3433;3433
Gijón/Xixón;11895;29767;1337;29767;13232;353135
Candamo;3605;447;0;447;3605;3605
Illas;771;380;833;380;1604;2340
Santa Eulalia de Oscos;10981;406;0;406;10981;11506
Piloña;25199;9876;939;9876;26137;31887
Cangas del Narcea;134115;3370;1728;3370;135844;145391
Mieres;44918;4952;305;4952;45223;70880
Ponga;7765;1638;514;1638;8279;12969
Navia;52942;2297;0;2297;52942;60569
Sobrescobio;12063;1012;0;1012;12063;12085
Lena;44716;5680;3322;5680;48037;59127
Quirós;28680;4883;204;4883;28885;28885
Bimenes;5439;4337;0;4337;5439;5439
Tineo;90785;2178;82;2178;90866;94584
Peñamellera Alta;8879;1460;0;1460;8879;9071
Pravia;13781;985;0;985;13781;20907
Degaña;8830;216;0;216;8830;8830
Cabrales;1580;8309;150;8309;1729;2103
Riosa;4811;473;953;473;5764;7749
Pesoz;5476;192;164;192;5640;5640
Tapia de Casariego;30294;1194;0;1194;30294;42949
Llangréu/Langreo;23939;14020;294;14020;24233;91994
Teverga;29176;840;1069;840;30246;30929
Cabranes;7159;497;628;497;7787;7787
Vegadeo;26265;1324;3935;1324;30199;35048
Coaña;26633;1059;0;1059;26633;27355
Taramundi;14184;2138;423;2138;14607;16384
Corvera de Asturias;15903;1375;0;1375;15903;38462
Castrillón;46651;3326;378;3326;47029;82048
Nava;20731;928;408;928;21138;27689
Ibias;38634;1323;333;1323;38966;38966
Salas;25412;1894;2042;1894;27454;36441
Gozón;22628;2007;33;2007;22661;40190
Soto del Barco;15638;712;0;712;15638;25412
San Tirso de Abres;9318;558;0;558;9318;9715
Caso;21338;3001;578;3001;21916;25327
Llanes;55298;10465;2560;10465;57858;80418
Colunga;28839;4717;540;4717;29380;42328
Sariego;7113;523;0;523;7113;8720
Villayón;18586;431;619;431;19205;19205
Ribadedeva;9240;752;431;752;9671;10184
Amieva;7116;663;1547;663;8663;8663
Somiedo;33515;2206;366;2206;33880;35193
Parres;9637;1034;504;1034;10141;15384
Onís;7081;2331;0;2331;7081;7081
Carreño;11369;2109;140;2109;11508;28848
Grandas de Salime;20533;729;0;729;20533;23420
Castropol;37046;1609;0;1609;37046;47846
Proaza;15990;756;140;756;16130;16798
Aller;22435;3998;213;3998;22648;32233
Boal;12429;1406;0;1406;12429;14450
Grau/Grado;28381;2302;366;2302;28747;40608
San Martín de Oscos;12380;277;0;277;12380;12380
Illano;16712;637;1076;637;17787;17787
El Franco;11291;795;0;795;11291;18575
Villanueva de Oscos;7132;478;0;478;7132;7132
Las Regueras;6011;673;0;673;6011;6011
Peñamellera Baja;11476;668;0;668;11476;11476
Samartín del Rei Aurelio;22882;2241;192;2241;23074;42624
Noreña;1151;1313;172;1313;1323;17669
Belmonte de Miranda;12489;840;1326;840;13815;15789
Allande;41009;1417;34;1417;41044;42493
Laviana;24243;2619;0;2619;24243;33873
Muros de Nalón;6618;1508;0;1508;6618;15647
Avilés;28494;6171;2246;6171;30741;105415
Oviedo;77301;24657;2875;24657;80176;241500
Caravia;2037;876;0;876;2037;6253
