La Victoria de Acentejo;1656;886;0;886;1656;24877
Gáldar;1576;3859;89;3859;1664;97273
San Cristóbal de La Laguna;54378;17757;468;17757;54847;385690
Tejeda;533;1969;0;1969;533;12107
Los Silos;560;7105;0;7105;560;20656
Los Llanos de Aridane;17032;4900;0;4900;17032;63996
Garafía;12677;3592;0;3592;12677;14496
Agüimes;3021;7007;541;7007;3561;129517
Los Realejos;27464;4807;0;4807;27464;97116
La Aldea de San Nicolás;198;2100;0;2100;198;40119
Antigua;5055;3130;0;3130;5055;65520
Yaiza;2941;10906;25083;10906;28024;169829
Puntallana;7986;1658;0;1658;7986;12889
Tijarafe;14280;2749;0;2749;14280;26286
La Guancha;6243;929;0;929;6243;24255
Tegueste;4561;1059;0;1059;4561;42805
Tinajo;428;2530;0;2530;428;46791
Ingenio;553;2547;78;2547;631;100967
Arucas;1486;2816;0;2816;1486;91311
El Rosario;5445;13690;89;13690;5534;58458
Tuineje;19512;5530;465;5530;19977;69921
Santiago del Teide;3062;9285;0;9285;3062;30843
Santa Cruz de Tenerife;22549;32016;25;32016;22574;343423
Telde;2623;7202;158;7202;2782;263623
Garachico;6790;5107;0;5107;6790;23566
Valsequillo de Gran Canaria;640;1177;0;1177;640;50401
Güímar;13142;7687;0;7687;13142;58484
Frontera;1666;5820;74;5820;1740;20494
Santa María de Guía de Gran Canaria;303;2176;0;2176;303;41002
Arona;49877;10434;428;10434;50304;207839
Valle Gran Rey;2197;2885;321;2885;2518;17027
Puntagorda;6268;1980;0;1980;6268;25158
Fuencaliente de la Palma;8465;1687;0;1687;8465;17647
Teguise;1657;9846;2030;9846;3687;161818
San Miguel de Abona;36805;3155;0;3155;36805;91891
Tazacorte;2656;2060;0;2060;2656;10579
Mogán;1965;5820;0;5820;1965;84891
Moya;162;1139;0;1139;162;30707
Vallehermoso;11851;3189;2777;3189;14628;19057
Breña Baja;7703;3987;367;3987;8070;30718
Haría;299;2120;0;2120;299;36846
Santa Lucía de Tirajana;5492;2768;0;2768;5492;127595
Artenara;348;1209;0;1209;348;6599
San Andrés y Sauces;6978;1290;0;1290;6978;17829
Hermigua;6361;1887;53;1887;6414;6986
Villa de Mazo;24567;2796;0;2796;24567;31582
Adeje;34750;12588;296;12588;35046;140355
Firgas;289;834;0;834;289;32837
Granadilla de Abona;29682;8463;6678;8463;36360;149791
El Pinar de El Hierro;7493;3144;0;3144;7493;18371
Pájara;3381;10948;1159;10948;4540;61387
Buenavista del Norte;6737;9619;1079;9619;7816;24683
Santa Úrsula;3578;6433;0;6433;3578;56944
El Paso;13165;3803;0;3803;13165;48402
Valverde;10127;9230;107;9230;10234;42927
Guía de Isora;9244;19172;0;19172;9244;61879
San Juan de la Rambla;7131;1330;0;1330;7131;21191
Betancuria;2394;1710;0;1710;2394;8315
Teror;234;1276;0;1276;234;35370
Breña Alta;17298;2257;0;2257;17298;43783
Icod de los Vinos;56133;3062;0;3062;56133;104349
Alajeró;10913;1546;614;1546;11527;15622
San Sebastián de la Gomera;16682;4474;1816;4474;18498;30538
Tacoronte;17365;1613;0;1613;17365;91097
Valleseco;245;906;0;906;245;18918
La Oliva;38672;7418;433;7418;39105;200782
Puerto de la Cruz;5797;5217;0;5217;5797;65578
Arafo;5497;6888;0;6888;5497;28121
Candelaria;18305;19076;0;19076;18305;71522
El Tanque;4853;3984;0;3984;4853;17495
Arico;14224;4460;0;4460;14224;58038
El Sauzal;7014;1229;0;1229;7014;38745
Vilaflor;3141;1836;0;1836;3141;8631
Fasnia;3544;1160;0;1160;3544;13853
Barlovento;8584;1246;0;1246;8584;12596
Vega de San Mateo;1333;1699;0;1699;1333;27474
San Bartolomé;1037;2414;2111;2414;3148;62773
Las Palmas de Gran Canaria;19307;37569;559;37569;19866;530463
Arrecife;4115;3040;0;3040;4115;115847
Tías;3717;4308;2060;4308;5777;112689
Santa Cruz de la Palma;5395;1526;0;1526;5395;24436
San Bartolomé de Tirajana;6864;32969;472;32969;7336;191232
La Matanza de Acentejo;6664;1055;0;1055;6664;26691
Agulo;5674;887;397;887;6071;6856
La Orotava;58670;5141;0;5141;58670;151728
Santa Brígida;1031;1563;0;1563;1031;69432
Puerto del Rosario;87401;4673;0;4673;87401;174599
Agaete;808;2292;1981;2292;2790;21076
