Palau-sator;0;597;0;597;0;3271
Riner;0;477;0;477;0;1784
el Prat de Llobregat;204;10161;0;10161;204;69808
Sant Esteve de Palautordera;439;328;0;328;439;16213
Verdú;0;695;0;695;0;6527
Vilafant;120;1215;0;1215;120;28820
Regencós;0;93;0;93;0;1840
Massanes;68;206;0;206;68;10647
Sant Miquel de Campmajor;0;774;0;774;0;1101
Fígols i Alinyà;0;574;0;574;0;3438
Olesa de Bonesvalls;0;376;0;376;0;26062
Navàs;0;1152;0;1152;0;22058
Gavà;151;2812;0;2812;151;71167
Lleida;2611;10921;38;10921;2649;229433
Vilaür;0;312;0;312;0;1995
Banyoles;0;4956;254;4956;254;65043
Campelles;0;134;0;134;0;2048
el Brull;42;740;0;740;42;1106
Garrigoles;0;227;0;227;0;2194
Vespella de Gaià;27;121;0;121;27;8042
Riu de Cerdanya;0;211;0;211;0;1426
Naut Aran;88;3560;496;3560;584;24578
Torrent;0;336;0;336;0;2566
Montagut i Oix;147;1229;90;1229;237;5469
Preixana;1076;210;0;210;1076;4016
Das;0;250;0;250;0;7295
Torrelavit;0;388;0;388;0;6167
Santa Bàrbara;0;987;0;987;0;33320
Capellades;0;220;0;220;0;14824
Alpens;0;156;693;156;693;3798
Sant Pere de Torelló;0;1147;0;1147;0;13004
Alfarràs;0;1215;0;1215;0;11515
Solsona;304;2747;0;2747;304;33804
Nalec;316;143;0;143;316;1762
Tordera;322;2348;131;2348;453;97901
Cubelles;0;1362;0;1362;0;75284
Lluçà;0;377;0;377;0;1057
Pontons;0;411;0;411;0;6911
Vilanova i la Geltrú;0;29646;0;29646;0;150389
Santa Oliva;0;487;0;487;0;24128
Matadepera;71;2469;0;2469;71;88135
Granollers;4792;9023;0;9023;4792;95320
Sant Quirze del Vallès;1752;1911;266;1911;2019;91054
Alella;243;718;0;718;243;55531
Salomó;0;155;0;155;0;4753
Sant Feliu de Guíxols;234;10579;325;10579;559;87310
Fontanals de Cerdanya;0;582;150;582;150;14176
Salt;0;1347;0;1347;0;30945
Valls;2770;1573;0;1573;2770;84794
Montferri;0;205;0;205;0;3141
Vilabertran;0;165;0;165;0;2777
Sant Ferriol;0;649;94;649;94;286
la Pobla de Massaluca;397;150;0;150;397;2449
Castell-Platja d'Aro;162;6256;0;6256;162;108718
Torroja del Priorat;574;104;0;104;574;2134
Planoles;0;294;0;294;0;5500
Talarn;0;757;0;757;0;7093
Montoliu de Lleida;369;116;0;116;369;4935
Vilaplana;0;459;0;459;0;2305
Susqueda;0;361;0;361;0;225
Clariana de Cardener;0;457;0;457;0;293
la Morera de Montsant;0;758;0;758;0;2110
Montferrer i Castellbò;0;1215;0;1215;0;18053
Sant Esteve de la Sarga;0;709;0;709;0;2846
Santa Coloma de Farners;95;3411;0;3411;95;53185
Prat de Comte;0;127;0;127;0;1941
Tavèrnoles;0;260;0;260;0;4427
l'Albiol;988;177;0;177;988;6189
Granera;0;423;0;423;0;1465
Solivella;0;1095;0;1095;0;4601
Jafre;0;113;0;113;0;3825
Santa Pau;0;1651;77;1651;77;6856
el Bruc;0;1153;0;1153;0;21271
Pinell de Solsonès;55;598;0;598;55;472
Sant Boi de Lluçanès;136;261;1177;261;1313;6642
Aiguamúrcia;1242;714;66;714;1308;17202
Seva;970;934;0;934;970;54593
Santa Maria de Merlès;0;393;0;393;0;159
Font-rubí;0;542;0;542;0;8329
Caldes de Malavella;601;1470;0;1470;601;74500
Crespià;0;243;30;243;30;2589
Vidreres;528;793;0;793;528;71964
es Bòrdes;0;385;0;385;0;2745
Ogassa;0;334;0;334;0;2650
Canejan;0;770;0;770;0;904
Alins;0;1640;11;1640;11;4409
Vinyols i els Arcs;142;783;0;783;142;9170
Biosca;0;848;0;848;0;2516
Farrera;0;471;0;471;0;2182
Sant Pere Pescador;65;1396;0;1396;65;17213
Montblanc;3326;3747;149;3747;3475;35354
la Coma i la Pedra;0;812;0;812;0;11556
Roda de Ter;72;230;0;230;72;20882
La Guingueta d'Àneu;0;1104;1052;1104;1052;5958
Puigverd d'Agramunt;258;296;0;296;258;2596
Palau de Santa Eulàlia;0;388;0;388;0;1524
Madremanya;0;114;371;114;371;2761
Flix;3495;1677;0;1677;3495;21417
Vilallonga del Camp;31;156;0;156;31;9436
Cadaqués;0;2906;0;2906;0;30445
Sant Aniol de Finestres;0;773;154;773;154;1621
Torroella de Fluvià;0;532;85;532;85;7953
Gualta;0;293;0;293;0;4076
Passanant i Belltall;0;648;0;648;0;3169
el Cogul;0;610;0;610;0;2147
les Franqueses del Vallès;1370;1760;0;1760;1370;61883
Canyelles;0;626;0;626;0;54078
Santa Eulàlia de Ronçana;1217;415;94;415;1311;52059
Torre-serona;19;191;0;191;19;6479
Fulleda;0;474;0;474;0;1888
la Bisbal del Penedès;0;779;0;779;0;58141
l'Espluga Calba;599;744;0;744;599;3380
Capolat;0;407;0;407;0;141
Garrigàs;0;518;0;518;0;3279
Ivorra;476;246;0;246;476;1312
Vilajuïga;0;1073;0;1073;0;8259
Tona;653;789;175;789;828;36990
Mura;0;2312;0;2312;0;3839
Pals;1035;1603;244;1603;1278;40231
la Jonquera;0;1672;0;1672;0;18778
la Torre de Claramunt;0;355;0;355;0;42197
Sant Adrià de Besòs;0;5932;0;5932;0;28283
Sant Mori;0;275;0;275;0;1992
la Pobla de Cérvoles;158;835;0;835;158;2387
Nulles;393;104;34;104;427;3870
Terrassa;1216;11667;0;11667;1216;341422
Riudecanyes;2733;315;0;315;2733;12884
Pont de Molins;0;315;0;315;0;3880
Saldes;0;803;0;803;0;3864
Martorell;1053;2342;0;2342;1053;46325
Cassà de la Selva;219;775;0;775;219;37270
Sant Feliu de Codines;1041;604;15;604;1056;25928
el Pla de Santa Maria;2677;630;41;630;2718;26829
Ullastret;0;152;0;152;0;3476
Vinebre;458;680;0;680;458;3539
Montellà i Martinet;46;637;0;637;46;6553
Torroella de Montgrí;504;6098;47;6098;551;72714
Almatret;1297;785;0;785;1297;3400
Sudanell;329;153;112;153;441;6942
Sant Joan Despí;54;2311;0;2311;54;36217
la Vall de Bianya;0;1231;0;1231;0;5356
Molló;0;773;0;773;0;7105
Aiguafreda;314;481;54;481;368;14577
Móra la Nova;622;445;0;445;622;13864
Callús;101;695;209;695;310;9615
Alpicat;3733;707;0;707;3733;34303
Fortià;0;159;0;159;0;7844
Marçà;855;334;286;334;1141;3047
Margalef;0;177;0;177;0;1507
Albanyà;0;688;0;688;0;1610
Santa Maria de Palautordera;3331;1281;0;1281;3331;55568
Gaià;0;452;0;452;0;562
Oliana;0;571;0;571;0;12735
el Milà;0;145;0;145;0;1017
Montcada i Reixac;520;15524;33;15524;554;68437
Bordils;0;317;179;317;179;9716
Vic;1275;4776;0;4776;1275;112541
Sant Climent Sescebes;0;359;0;359;0;4738
Santa Eulàlia de Riuprimer;54;165;92;165;146;5188
Oristà;0;821;0;821;0;5299
Riudaura;0;114;0;114;0;2437
Sant Llorenç d'Hortons;0;340;0;340;0;18752
Fogars de Montclús;0;849;0;849;0;2009
Torrefarrera;1741;371;0;371;1741;23135
Lladó;0;607;0;607;0;6815
la Selva de Mar;0;362;0;362;0;2659
el Molar;76;90;0;90;76;2192
Olivella;0;697;0;697;0;70614
Vallfogona de Balaguer;724;612;0;612;724;15815
les Cabanyes;0;53;0;53;0;5989
Santa Llogaia d'Àlguema;0;158;0;158;0;3944
Alfara de Carles;0;1634;297;1634;297;2491
Jorba;0;431;0;431;0;7790
Vilademuls;0;1245;0;1245;0;4434
Móra d'Ebre;2952;722;0;722;2952;25247
Sant Andreu de la Barca;381;1304;0;1304;381;46840
Santa Coloma de Gramenet;0;26854;0;26854;0;63861
Tortosa;250;30604;0;30604;250;108649
Sant Boi de Llobregat;1000;10848;6;10848;1007;122840
el Pont de Suert;0;1503;105;1503;105;13533
Cabó;0;322;0;322;0;1288
Viladamat;0;284;0;284;0;3873
Algerri;0;821;234;821;234;4371
Sant Julià de Cerdanyola;0;439;0;439;0;3085
Camarles;47;4631;0;4631;47;19376
Bellvei;0;316;76;316;76;16910
