Sant Llorenç des Cardassar;5519;3573;99;3573;5618;61999
Sencelles;480;469;0;469;480;6933
Binissalem;1101;653;0;653;1101;22603
Llubí;5797;436;0;436;5797;14276
Es Mercadal;7780;7077;0;7077;7780;62185
Escorca;4127;1554;0;1554;4127;6017
Alaior;2139;11071;0;11071;2139;50577
Esporles;8907;1511;0;1511;8907;33646
Algaida;3311;1628;409;1628;3720;23348
Sóller;3510;7792;0;7792;3510;42887
Artà;5102;2141;0;2141;5102;51957
Deià;889;1274;0;1274;889;5306
Andratx;6411;5669;0;5669;6411;85336
Santa Eulària des Riu;184776;7320;214;7320;184990;337266
Ses Salines;1715;1972;14;1972;1729;34098
Es Migjorn Gran;2496;1888;0;1888;2496;10317
Llucmajor;11656;8037;0;8037;11656;164067
Santa Eugènia;2749;380;0;380;2749;6902
Lloret de Vistalegre;612;230;0;230;612;4147
Maó;13338;27065;466;27065;13804;92049
Marratxí;27717;4837;83;4837;27801;188719
Lloseta;2726;367;0;367;2726;14963
Sant Antoni de Portmany;118431;8783;58;8783;118489;171299
Sant Joan de Labritja;85170;3104;0;3104;85170;102563
Formentera;31339;3047;250;3047;31589;50744
Petra;999;936;0;936;999;14437
Ciutadella;17158;29925;19;29925;17177;135968
Santanyí;26254;20777;420;20777;26675;131035
Campos;6113;3153;0;3153;6113;69814
Palma;78482;24793;365;24793;78847;705637
Son Servera;7897;2079;185;2079;8083;49164
Ariany;378;317;0;317;378;9353
Alcúdia;13002;5367;7;5367;13009;95440
Santa Margalida;6240;2698;0;2698;6240;75328
Selva;2063;1062;0;1062;2063;14394
Vilafranca de Bonany;948;347;0;347;948;16505
Calvià;15552;16328;672;16328;16224;265179
Manacor;32869;19212;0;19212;32869;201474
Sant Lluís;2420;17350;0;17350;2420;70208
Capdepera;7868;4270;0;4270;7868;98355
Santa María del Camí;70;8683;0;8683;70;17848
Campanet;1641;558;0;558;1641;9615
Maria de la Salut;1445;406;0;406;1445;13230
Costitx;2578;249;0;249;2578;5791
Alaró;855;5336;0;5336;855;16379
Fornalutx;216;1372;167;1372;383;1398
Pollença;14744;13678;1382;13678;16127;81033
Sant Joan;2362;594;0;594;2362;11987
Puigpunyent;3867;717;0;717;3867;14557
Mancor de la Vall;787;268;0;268;787;5958
Felanitx;20143;4745;50;4745;20192;91599
Valldemossa;10256;2585;205;2585;10461;19813
Estellencs;2324;252;0;252;2324;4379
Sa Pobla;7783;1348;0;1348;7783;51701
Búger;217;198;0;198;217;4891
Montuïri;3872;742;0;742;3872;12051
Inca;6609;2006;0;2006;6609;63901
Muro;2976;2348;0;2348;2976;40476
Sineu;4363;751;132;751;4495;19511
Banyalbufar;0;988;0;988;0;6248
Bunyola;4117;1749;0;1749;4117;40650
Ferreries;4200;2850;0;2850;4200;17020
Eivissa;13914;4853;99;4853;14013;73154
Porreres;1792;978;163;978;1956;15653
Sant Josep de sa Talaia;118949;9090;632;9090;119581;232983
Es Castell;61;7311;0;7311;61;28861
Consell;1288;391;0;391;1288;10738
