Fuentelapeña;43;244;0;244;43;8857
Villárdiga;1449;34;0;34;1449;1449
Entrala;1213;53;0;53;1213;1728
Arcos de la Polvorosa;2796;98;0;98;2796;2796
Friera de Valverde;4767;85;0;85;4767;4767
Faramontanos de Tábara;0;147;0;147;0;8297
El Maderal;1802;92;0;92;1802;3435
Torregamones;1264;184;0;184;1264;6743
Viñas;2503;29;0;29;2503;2503
Villafáfila;1798;271;0;271;1798;9253
Santa Clara de Avedillo;2184;54;0;54;2184;3539
Santovenia;7727;265;0;265;7727;8726
Santa Cristina de la Polvorosa;599;554;0;554;599;10545
Manganeses de la Polvorosa;0;246;0;246;0;9229
Rabanales;6892;240;84;240;6976;9984
Mayalde;1418;85;0;85;1418;2945
Carbellino;415;150;0;150;415;7015
Villaseco del Pan;0;117;0;117;0;6908
Jambrina;170;33;0;33;170;2697
Bretó;4994;237;0;237;4994;4994
Gallegos del Pan;556;131;0;131;556;2853
Muelas del Pan;1656;437;0;437;1656;17336
Castrogonzalo;560;344;0;344;560;10140
Matilla de Arzón;2969;95;0;95;2969;2969
Burganes de Valverde;4018;330;0;330;4018;12520
Cazurra;0;53;0;53;0;1714
Porto;1917;261;0;261;1917;5059
Asturianos;5486;259;0;259;5486;10457
Fresno de Sayago;0;58;0;58;0;5434
Requejo;363;289;0;289;363;3792
Villaralbo;0;266;0;266;0;16286
Villadepera;1214;88;0;88;1214;7408
Rábano de Aliste;2981;94;0;94;2981;2981
Justel;3207;45;0;45;3207;3207
Valdescorriel;4445;105;0;105;4445;4445
Pinilla de Toro;5305;57;0;57;5305;5305
Villamayor de Campos;5819;94;0;94;5819;6294
Palacios de Sanabria;6376;262;0;262;6376;11554
Videmala;0;64;0;64;0;4404
Peleas de Abajo;0;51;0;51;0;2922
Arrabalde;5795;108;0;108;5795;5795
Villabuena del Puente;342;138;0;138;342;12121
Otero de Bodas;3998;120;0;120;3998;3998
Pedralba de la Pradería;7760;394;0;394;7760;9089
Coreses;0;365;0;365;0;17952
Fuentesaúco;564;419;0;419;564;14978
Villavendimio;3151;28;0;28;3151;3151
Montamarta;0;204;0;204;0;9157
Vadillo de la Guareña;0;110;0;110;0;5571
Cerecinos de Campos;3495;185;0;185;3495;7827
Coomonte;2999;42;0;42;2999;3151
Palacios del Pan;835;155;0;155;835;4070
Fermoselle;0;298;0;298;0;12443
Manganeses de la Lampreana;1105;282;0;282;1105;12873
Fuente Encalada;2957;63;0;63;2957;3625
Santa María de la Vega;540;98;0;98;540;5246
Valcabado;0;146;0;146;0;3970
Villabrázaro;10397;499;0;499;10397;11998
Fresno de la Polvorosa;1939;20;0;20;1939;1939
San Vicente de la Cabeza;9120;97;0;97;9120;9120
Algodre;2160;33;0;33;2160;2508
Villalpando;0;2055;0;2055;0;11158
Pereruela;2002;423;0;423;2002;14949
Roales;1794;520;0;520;1794;7248
Alcañices;4252;356;0;356;4252;13615
Torres del Carrizal;0;45;0;45;0;3468
Gema;756;92;0;92;756;4985
Morales del Vino;15592;452;565;452;16157;23421
Alcubilla de Nogales;633;112;0;112;633;3204
Molezuelas de la Carballeda;3988;56;0;56;3988;3988
Manzanal del Barco;0;104;0;104;0;4642
La Hiniesta;0;128;0;128;0;3266
Manzanal de Arriba;7084;559;0;559;7084;10605
Villageriz;1631;30;0;30;1631;1631
Quiruelas de Vidriales;5254;318;0;318;5254;9071
Vezdemarbán;0;155;0;155;0;6718
Castroverde de Campos;2495;172;0;172;2495;6824
Cubillos;0;141;0;141;0;4881
Fuentespreadas;0;84;0;84;0;4089
Castrillo de la Guareña;1915;88;0;88;1915;1915
Tapioles;3261;53;0;53;3261;3261
Brime de Sog;3761;99;0;99;3761;3761
Venialbo;53;137;0;137;53;8208
Ferreruela;3892;124;0;124;3892;7112
Vega de Tera;8014;248;0;248;8014;10541
Roelos de Sayago;107;81;0;81;107;3860
Argujillo;4125;113;0;113;4125;4125
La Bóveda de Toro;0;184;0;184;0;8454
Zamora;15399;4921;66;4921;15465;129458
Guarrate;0;116;0;116;0;6091
El Perdigón;2570;218;0;218;2570;11737
Villamor de los Escuderos;5770;101;0;101;5770;7822
Trabazos;4546;376;0;376;4546;11511
Bretocino;3495;89;0;89;3495;3495
Riofrío de Aliste;10773;121;0;121;10773;14447
Almaraz de Duero;0;137;0;137;0;6892
Salce;75;102;0;102;75;3775
Villanueva de Azoague;4212;650;0;650;4212;6064
Fresno de la Ribera;0;149;0;149;0;6616
Pajares de la Lampreana;0;134;0;134;0;6982
Vegalatrave;0;22;0;22;0;1862
San Pedro de la Nave-Almendra;7724;134;0;134;7724;8965
Fuentes de Ropel;484;272;0;272;484;7585
Losacino;6045;86;0;86;6045;6045
Moraleja de Sayago;0;123;0;123;0;4923
Cuelgamures;1864;31;0;31;1864;1864
Espadañedo;6842;277;0;277;6842;8245
Granucillo;628;212;0;212;628;2903
Rionegro del Puente;3541;279;0;279;3541;9228
Casaseca de Campeán;3160;42;0;42;3160;3160
Villar de Fallaves;1725;36;0;36;1725;1725
Villardondiego;2383;39;0;39;2383;2383
Moralina;4530;259;0;259;4530;5668
Moreruela de los Infanzones;0;93;0;93;0;4319
La Torre del Valle;3039;65;0;65;3039;3039
Cañizo;5071;61;0;61;5071;5453
Peñausende;0;277;0;277;0;10516
Mahide;9790;239;865;239;10654;10654
Ferreras de Abajo;3301;263;0;263;3301;10619
Hermisende;3254;548;0;548;3254;9167
Losacio;2530;40;0;40;2530;2530
Belver de los Montes;486;86;0;86;486;6411
Abezames;1284;50;0;50;1284;2131
Vega de Villalobos;1747;19;0;19;1747;1747
Malva;0;71;0;71;0;3501
Villaveza del Agua;3860;188;317;188;4177;4177
Pozoantiguo;4954;62;0;62;4954;4954
Figueruela de Arriba;8806;208;0;208;8806;8948
Andavías;229;154;0;154;229;8870
Madridanos;0;103;0;103;0;5421
Villalobos;0;117;0;117;0;3803
Micereces de Tera;2361;249;0;249;2361;9019
Aspariegos;4906;57;0;57;4906;4906
Puebla de Sanabria;10477;1071;0;1071;10477;15826
Alfaraz de Sayago;0;262;0;262;0;5992
Pías;5295;103;0;103;5295;5295
Mombuey;5049;265;0;265;5049;8531
Matilla la Seca;0;22;0;22;0;1503
Villalube;0;66;0;66;0;5030
Cernadilla;0;230;0;230;0;7244
Samir de los Caños;1221;50;0;50;1221;3849
Cabañas de Sayago;0;64;0;64;0;3064
Camarzana de Tera;4842;417;0;417;4842;13885
Castronuevo;5579;108;0;108;5579;5681
Trefacio;5702;177;0;177;5702;8389
Pobladura del Valle;0;166;0;166;0;4734
El Pego;6752;46;0;46;6752;6752
San Miguel de la Ribera;300;137;0;137;300;7592
Carbajales de Alba;817;229;0;229;817;8844
Fonfría;4039;476;0;476;4039;19525
San Esteban del Molar;2556;98;0;98;2556;3674
Villanueva de las Peras;0;71;0;71;0;4458
Barcial del Barco;4477;165;62;165;4539;4539
Olmillos de Castro;7103;74;0;74;7103;7103
Almeida de Sayago;282;275;0;275;282;14249
Valdefinjas;2356;26;0;26;2356;2356
Villanueva del Campo;0;902;0;902;0;12359
Gallegos del Río;8323;183;0;183;8323;11535
Bermillo de Sayago;8623;311;0;311;8623;14612
Villar del Buey;4268;439;0;439;4268;21488
San Cebrián de Castro;0;414;0;414;0;6216
Villardiegua de la Ribera;0;276;0;276;0;6960
Villaescusa;3640;110;0;110;3640;3640
Santibáñez de Tera;0;351;0;351;0;8496
Ayoó de Vidriales;10048;275;0;275;10048;10048
Calzadilla de Tera;0;147;0;147;0;5388
Molacillos;445;94;0;94;445;3820
Ferreras de Arriba;4569;114;0;114;4569;7983
Granja de Moreruela;0;259;0;259;0;4832
Bustillo del Oro;458;45;0;45;458;3668
Villalba de la Lampreana;0;77;0;77;0;5252
Argañín;3570;50;0;50;3570;3570
Revellinos;636;81;0;81;636;2856
San Pedro de Ceque;207;186;0;186;207;7592
Pozuelo de Tábara;3242;57;0;57;3242;3242
San Vitero;5048;73;0;73;5048;5197
Casaseca de las Chanas;0;107;0;107;0;4295
Peleagonzalo;376;71;0;71;376;5181
Fuentesecas;1687;22;0;22;1687;1687
Villaveza de Valverde;3058;129;0;129;3058;3058
Villalcampo;272;225;0;225;272;7965
Cubo de Benavente;3760;28;0;28;3760;3760
Cerecinos del Carrizal;684;53;0;53;684;3713
Quintanilla del Monte;2501;62;0;62;2501;2501
Maire de Castroponce;2860;30;0;30;2860;2860
Benavente;4106;8121;38;8121;4144;62989
Perilla de Castro;6754;162;0;162;6754;6754
Villalonso;890;65;0;65;890;2290
Corrales del Vino;0;302;0;302;0;13612
Rosinos de la Requejada;11971;229;39;229;12009;12436
San Martín de Valderaduey;1721;38;0;38;1721;1860
Villarrín de Campos;10080;144;0;144;10080;10512
Cobreros;12393;465;0;465;12393;15326
Cotanes del Monte;2359;21;0;21;2359;2359
Cañizal;0;221;0;221;0;8790
Pueblica de Valverde;2268;80;0;80;2268;5087
San Miguel del Valle;3789;28;0;28;3789;3888
Toro;3485;1918;0;1918;3485;36441
Benegiles;535;55;0;55;535;4142
Moreruela de Tábara;6228;177;0;177;6228;6228
Morales de Valverde;3605;99;0;99;3605;3605
