Palau-sator;0;597;0;597;0;3271
Riner;0;477;0;477;0;1784
el Prat de Llobregat;204;10254;0;10254;204;69798
Sant Esteve de Palautordera;439;329;0;329;439;16213
Verdú;0;695;0;695;0;6527
Vilafant;120;1224;0;1224;120;28820
Regencós;0;93;0;93;0;1840
Massanes;68;206;0;206;68;10647
Sant Miquel de Campmajor;0;775;0;775;0;1101
Fígols i Alinyà;0;574;0;574;0;3438
Olesa de Bonesvalls;0;380;0;380;0;26062
Navàs;0;1325;0;1325;0;22058
Gavà;151;2832;0;2832;151;71167
Lleida;2611;11019;38;11019;2649;229342
Vilaür;0;312;0;312;0;1995
Banyoles;0;4971;254;4971;254;65097
Campelles;0;135;0;135;0;2048
el Brull;42;740;0;740;42;1106
Garrigoles;0;228;0;228;0;2194
Vespella de Gaià;27;123;0;123;27;8042
Riu de Cerdanya;0;213;0;213;0;1426
Naut Aran;88;3576;496;3576;584;24578
Torrent;0;336;0;336;0;2566
Montagut i Oix;147;1250;90;1250;237;5469
Preixana;1019;220;0;220;1019;4018
Das;0;250;0;250;0;7295
Torrelavit;0;388;0;388;0;6167
Santa Bàrbara;0;987;0;987;0;33320
Capellades;0;238;0;238;0;14824
Alpens;0;156;693;156;693;3798
Sant Pere de Torelló;0;1142;0;1142;0;13004
Alfarràs;0;1215;0;1215;0;11515
Solsona;273;2746;0;2746;273;33804
Nalec;316;143;0;143;316;1762
Tordera;322;2379;131;2379;453;97901
Cubelles;0;1366;0;1366;0;75284
Lluçà;0;378;0;378;0;1057
Pontons;0;412;0;412;0;6911
Vilanova i la Geltrú;0;32711;121;32711;121;150231
Santa Oliva;0;487;0;487;0;24128
Matadepera;71;2481;0;2481;71;88135
Granollers;4792;9057;0;9057;4792;95320
Sant Quirze del Vallès;1752;1913;266;1913;2019;91054
Alella;243;718;0;718;243;55531
Salomó;0;158;0;158;0;4753
Sant Feliu de Guíxols;234;10607;325;10607;559;87312
Fontanals de Cerdanya;0;582;150;582;150;14176
Salt;0;1349;0;1349;0;30945
Valls;2770;1590;0;1590;2770;84797
Montferri;0;213;0;213;0;3141
Vilabertran;0;165;0;165;0;2777
Sant Ferriol;0;651;94;651;94;286
la Pobla de Massaluca;397;159;0;159;397;2449
Castell-Platja d'Aro;162;6253;0;6253;162;108721
Torroja del Priorat;574;104;0;104;574;2134
Planoles;0;294;0;294;0;5500
Talarn;0;764;0;764;0;7093
Montoliu de Lleida;369;116;0;116;369;4935
Vilaplana;0;475;0;475;0;2305
Susqueda;0;362;0;362;0;225
Clariana de Cardener;0;457;0;457;0;293
la Morera de Montsant;0;764;0;764;0;2110
Montferrer i Castellbò;0;1216;0;1216;0;18053
Sant Esteve de la Sarga;0;707;0;707;0;2846
Santa Coloma de Farners;95;3443;0;3443;95;53185
Prat de Comte;0;127;0;127;0;1941
Tavèrnoles;0;260;0;260;0;4427
l'Albiol;988;183;0;183;988;6189
Granera;0;423;0;423;0;1465
Solivella;0;1096;0;1096;0;4601
Jafre;0;121;0;121;0;3731
Santa Pau;0;1660;77;1660;77;6861
el Bruc;0;1155;0;1155;0;21271
Pinell de Solsonès;55;598;0;598;55;472
Sant Boi de Lluçanès;136;261;1177;261;1313;6642
Aiguamúrcia;1242;714;66;714;1308;17202
Seva;970;937;0;937;970;54593
Santa Maria de Merlès;0;611;0;611;0;159
Font-rubí;0;543;0;543;0;8329
Caldes de Malavella;601;1468;0;1468;601;74500
Crespià;0;243;30;243;30;2589
Vidreres;528;793;0;793;528;71964
es Bòrdes;0;392;0;392;0;2745
Ogassa;0;334;0;334;0;2650
Canejan;0;770;0;770;0;904
Alins;0;1640;11;1640;11;4409
Vinyols i els Arcs;142;783;0;783;142;9170
Biosca;0;848;0;848;0;2516
Farrera;0;472;0;472;0;2182
Sant Pere Pescador;65;1404;0;1404;65;17213
Montblanc;3326;3757;149;3757;3475;35354
la Coma i la Pedra;0;813;0;813;0;11556
Roda de Ter;72;230;0;230;72;20882
La Guingueta d'Àneu;0;1104;1052;1104;1052;5958
Puigverd d'Agramunt;258;296;0;296;258;2596
Palau de Santa Eulàlia;0;388;0;388;0;1524
Madremanya;0;115;371;115;371;2761
Flix;3495;1970;0;1970;3495;21417
Vilallonga del Camp;31;156;0;156;31;9436
Cadaqués;0;2907;0;2907;0;30445
Sant Aniol de Finestres;0;793;154;793;154;1621
Torroella de Fluvià;0;542;85;542;85;7953
Gualta;0;297;0;297;0;4076
Passanant i Belltall;0;648;0;648;0;3169
el Cogul;0;610;0;610;0;2147
les Franqueses del Vallès;1190;1761;0;1761;1190;61883
Canyelles;0;626;0;626;0;54077
Santa Eulàlia de Ronçana;1217;415;94;415;1311;52059
Torre-serona;19;190;0;190;19;6479
Fulleda;0;474;0;474;0;1888
la Bisbal del Penedès;0;793;0;793;0;60828
l'Espluga Calba;599;744;0;744;599;3380
Capolat;0;414;0;414;0;141
Garrigàs;0;518;0;518;0;3279
Ivorra;476;246;0;246;476;1312
Vilajuïga;0;1080;0;1080;0;8259
Tona;653;789;175;789;828;36990
Mura;0;2327;0;2327;0;3839
Pals;1035;1603;244;1603;1278;40231
la Jonquera;0;1672;0;1672;0;18778
la Torre de Claramunt;0;367;0;367;0;42197
Sant Adrià de Besòs;0;5971;0;5971;0;28275
Sant Mori;0;276;0;276;0;1992
la Pobla de Cérvoles;158;843;0;843;158;2387
Nulles;393;111;34;111;427;3870
Terrassa;1216;11776;0;11776;1216;341422
Riudecanyes;2733;317;0;317;2733;12884
Pont de Molins;0;315;0;315;0;3880
Saldes;0;804;0;804;0;3864
Martorell;1053;2351;0;2351;1053;46325
Cassà de la Selva;219;782;0;782;219;37264
Sant Feliu de Codines;1041;612;15;612;1056;25928
el Pla de Santa Maria;2677;631;41;631;2718;26829
Ullastret;0;154;0;154;0;3476
Vinebre;458;762;0;762;458;3539
Montellà i Martinet;46;637;0;637;46;6553
Torroella de Montgrí;504;6109;47;6109;551;72714
Almatret;1297;785;0;785;1297;3400
Sudanell;329;153;112;153;441;6942
Sant Joan Despí;54;2316;0;2316;54;35943
la Vall de Bianya;0;1251;57;1251;57;5417
Molló;0;824;0;824;0;7105
Aiguafreda;314;480;54;480;368;14577
Móra la Nova;622;444;0;444;622;13866
Callús;101;696;209;696;310;9615
Alpicat;3733;744;0;744;3733;34303
Fortià;0;159;0;159;0;7895
Marçà;855;334;286;334;1141;3047
Margalef;0;177;0;177;0;1507
Albanyà;0;841;0;841;0;1610
Santa Maria de Palautordera;3331;1301;0;1301;3331;55568
Gaià;0;564;0;564;0;562
Oliana;0;571;0;571;0;12735
el Milà;0;162;0;162;0;1017
Montcada i Reixac;539;15558;33;15558;572;68382
Bordils;0;321;179;321;179;9879
Vic;1291;4794;0;4794;1291;112576
Sant Climent Sescebes;0;359;0;359;0;4738
Santa Eulàlia de Riuprimer;54;170;92;170;146;5188
Oristà;0;821;0;821;0;5299
Riudaura;0;114;0;114;0;2437
Sant Llorenç d'Hortons;0;340;0;340;0;18752
Fogars de Montclús;0;866;0;866;0;2009
Torrefarrera;1741;371;0;371;1741;23135
Lladó;0;604;0;604;0;6815
la Selva de Mar;0;362;0;362;0;2659
el Molar;76;89;0;89;76;2192
Olivella;0;713;0;713;0;70614
Vallfogona de Balaguer;724;612;0;612;724;15815
les Cabanyes;17;54;0;54;17;6017
Santa Llogaia d'Àlguema;0;158;0;158;0;3944
Alfara de Carles;0;1635;297;1635;297;2491
Jorba;0;439;0;439;0;7790
Vilademuls;0;1249;0;1249;0;4434
Móra d'Ebre;2952;722;0;722;2952;25247
Sant Andreu de la Barca;381;1307;0;1307;381;46841
Santa Coloma de Gramenet;0;26870;0;26870;0;64748
Tortosa;250;30682;0;30682;250;108650
Sant Boi de Llobregat;1203;10859;6;10859;1209;122915
el Pont de Suert;0;1502;105;1502;105;13535
Cabó;0;322;0;322;0;1288
Viladamat;0;284;0;284;0;3873
Algerri;0;821;234;821;234;4371
Sant Julià de Cerdanyola;0;439;0;439;0;3085
Camarles;47;4631;0;4631;47;19376
Bellvei;0;316;76;316;76;16910
