Lezo;5370;1211;48;1211;5418;17200
Barrundia;0;3157;0;3157;0;22337
Gipuzkoa eta Arabako Partzuergo Orokorra;0;466;0;466;0;0
Ibarra;2371;628;0;628;2371;5476
Ibarrangelu;1471;862;0;862;1471;1471
Itsasondo;0;461;0;461;0;985
Basauri;7917;1763;66;1763;7982;42260
Leza;0;338;0;338;0;3597
Sestao;826;1749;264;1749;1090;21658
Lekeitio;5161;793;176;793;5338;12642
Arraia-Maeztu;0;3107;0;3107;0;16553
Bidania-Goiatz;550;402;0;402;550;1872
Zizurkil;2142;796;174;796;2316;2804
Altzaga;0;193;0;193;0;0
Leioa;9168;3080;373;3080;9541;43622
Kortezubi;300;733;285;733;585;585
San Millán/Donemiliaga;0;2529;0;2529;0;22881
Zegama;234;1487;98;1487;332;3289
Peñacerrada-Urizaharra;0;975;0;975;0;7619
Zarautz;8630;2203;0;2203;8630;33312
Aulesti;1064;536;0;536;1064;1822
Mendexa;171;265;0;265;171;782
Gatika;864;1156;0;1156;864;3363
Arakaldo;0;217;0;217;0;3472
Deba;2821;1705;0;1705;2821;8266
Arratzua-Ubarrundia;0;2421;0;2421;0;14357
Gamiz-Fika;2802;1314;0;1314;2802;4535
Erandio;6755;3007;464;3007;7219;32240
Zigoitia;0;5198;0;5198;0;32085
Olaberria;796;584;0;584;796;1613
Andoain;4226;2564;734;2564;4960;17674
Baliarrain;364;100;0;100;364;550
Berriz;8688;1150;0;1150;8688;11740
Valle de Arana/Harana;0;764;0;764;0;6090
Ereño;217;357;0;357;217;217
Irun;11269;9169;1073;9169;12342;73012
Iruña Oka/Iruña de Oca;0;3512;0;3512;0;34659
Laguardia;0;2164;0;2164;0;13339
Hondarribia/Fontarrabie;8896;4302;622;4302;9518;35837
Azkoitia;5242;1856;72;1856;5314;16859
Lizartza;840;199;0;199;840;1320
Laukiz;4419;445;239;445;4658;4658
Samaniego;57;301;0;301;57;5236
Urduña / Orduña;12335;1220;1270;1220;13605;17090
Villabuena de Álava/Eskuernaga;0;319;0;319;0;3601
Ormaiztegi;203;499;0;499;203;1181
Gordexola;235;413;443;413;679;9769
Larraul;0;253;33;253;33;829
Bergara;4510;2273;0;2273;4510;22020
Bermeo;5775;3667;1034;3667;6808;19063
Aia;2110;1862;161;1862;2271;5263
Lantarón;0;1766;0;1766;0;19684
Mañaria;196;499;177;499;374;1324
Okondo;0;1135;0;1135;0;2532
Munitibar-Arbatzegi Gerrikaitz;1050;569;324;569;1375;2133
Zaldibia;0;886;0;886;0;1359
Gaztelu;0;219;0;219;0;0
Garai;542;273;0;273;542;542
Mutriku;1514;1517;48;1517;1562;8692
Beasain;2960;1298;0;1298;2960;16386
Ordizia;1223;696;0;696;1223;13479
Igorre;1631;1524;0;1524;1631;8671
Labastida/Bastida;0;1513;0;1513;0;16208
Sondika;6618;1376;0;1376;6618;17639
Campezo/Kanpezu;0;1860;0;1860;0;11864
Oyón/Oion;428;1281;0;1281;428;16464
Pasaia;2268;1147;531;1147;2800;13268
Ubide;2601;207;48;207;2649;2649
Errenteria;7304;3769;85;3769;7388;36100
Gorliz;5672;1844;0;1844;5672;18488
Ataun;63;1386;236;1386;299;915
Enirio-Aralarko Mankomunitatea;0;1476;0;1476;0;0
Portugalete;1757;2642;279;2642;2036;35619
Elgoibar;4694;2159;0;2159;4694;18142
Lemoa;8074;781;761;781;8834;8834
Alonsotegi;297;947;0;947;297;5511
Villabona-Amasa;552;1041;0;1041;552;3404
Legutio;0;2452;0;2452;0;17778
Nabarniz;1269;510;0;510;1269;1269
Yécora/Iekora;0;248;0;248;0;4460
Plentzia;2252;990;78;990;2330;13014
Morga;956;717;507;717;1463;1463
Moreda de Álava;0;476;0;476;0;2915
Ribera Alta;0;2484;0;2484;0;18774
Urnieta;4185;1535;0;1535;4185;10445
Kuartango/Cuartango;0;1162;0;1162;0;13930
Aramaio;0;2367;0;2367;0;5468
Orozko;2485;2415;2105;2415;4590;10265
Larrabetzu;822;1083;0;1083;822;5310
Alkiza;0;410;0;410;0;1054
Sukarrieta;192;255;0;255;192;1449
