Palas de Rei;47659;2066;287;2066;47947;50931
O Vicedo;9233;1498;0;1498;9233;11391
Redondela;105749;3929;552;3929;106301;142091
Pontecesures;13711;223;131;223;13842;19224
Dumbría;21111;1109;1109;1109;22220;22220
Mondariz;72686;2645;14052;2645;86738;89689
Vilanova de Arousa;52957;992;5696;992;58653;65284
Guntín;28543;581;359;581;28902;30183
O Barco de Valdeorras;19619;7410;467;7410;20085;58095
Monterrei;29766;582;0;582;29766;32723
Santiago de Compostela;60420;20949;4846;20949;65266;268814
O Páramo;20001;433;122;433;20123;20123
Negueira de Muñiz;4606;109;0;109;4606;4606
O Grove;33709;1599;676;1599;34384;50649
O Porriño;55345;7631;2605;7631;57950;81460
A Mezquita;11950;535;221;535;12171;16391
Frades;7370;2811;79;2811;7450;20657
Vilamarín;24178;421;517;421;24695;24695
Malpica de Bergantiños;54864;2589;2722;2589;57586;64050
Barro;29559;678;113;678;29671;29775
Baltar;18730;474;0;474;18730;20854
Sada;27454;8526;4549;8526;32003;72616
Boimorto;7523;674;0;674;7523;7523
O Incio;36005;705;0;705;36005;36862
Castroverde;52442;926;0;926;52442;54335
Paradela;31104;656;84;656;31188;32102
Begonte;19033;996;89;996;19122;21275
Irixoa;5641;1436;568;1436;6209;6671
A Guarda;26021;2147;1168;2147;27188;48437
A Gudiña;14100;858;0;858;14100;20372
A Teixeira;7588;137;0;137;7588;8683
Fisterra;13846;1364;6802;1364;20648;28806
Entrimo;19388;387;0;387;19388;19449
Vilar de Barrio;19725;431;305;431;20030;22845
Alfoz;17321;659;905;659;18226;18226
Oroso;11594;1698;481;1698;12075;21303
Ribas de Sil;14367;488;616;488;14983;16295
Laza;28334;788;653;788;28988;32858
Trazo;8497;1098;433;1098;8930;9758
Riós;35013;800;39;800;35052;35052
Bande;28766;579;0;579;28766;30128
Pol;40993;1197;29;1197;41022;41816
Montederramo;18164;658;232;658;18396;19152
Triacastela;12477;305;0;305;12477;13570
Viveiro;4321;7909;652;7909;4973;18105
As Pontes de García Rodríguez;15059;4030;170;4030;15229;44443
Coles;36181;594;0;594;36181;36425
A Peroxa;31146;898;2859;898;34005;34005
Corcubión;4905;324;439;324;5345;7771
A Pobra do Brollón;32430;839;0;839;32430;34084
Toques;12220;453;0;453;12220;12220
Beade;3072;54;0;54;3072;5692
Piñor;17496;474;0;474;17496;17496
Carballo;65607;3303;998;3303;66606;121761
Vigo;133469;16799;28602;16799;162071;548576
Carballedo;48824;843;0;843;48824;48824
A Pobra de Trives;26569;610;608;610;27177;32998
Gondomar;43341;1475;12528;1475;55869;59266
Cangas;41622;2405;20656;2405;62278;106772
Sarria;70433;2838;125;2838;70559;94332
Cerceda;2859;2792;194;2792;3053;16877
Valga;29597;725;0;725;29597;32891
Xunqueira de Ambía;18767;980;0;980;18767;20263
Vilar de Santos;13350;186;0;186;13350;14274
Teo;19107;6893;4249;6893;23355;37056
Cabanas;17734;2443;942;2443;18676;24146
San Cibrao das Viñas;33594;1670;73;1670;33666;35726
Muras;1678;784;0;784;1678;2510
A Pontenova;42038;1280;0;1280;42038;46562
Monfero;22242;1312;0;1312;22242;22242
Verea;26682;346;0;346;26682;26682
Rubiá;20806;678;0;678;20806;24842
A Pastoriza;72856;1415;0;1415;72856;76935
Miño;15893;5207;1238;5207;17131;35556
Coirós;6106;1987;6481;1987;12587;13693
Ribadumia;49717;878;6007;878;55725;59050
Navia de Suarna;44041;817;2003;817;46045;47826
Porqueira;18359;291;0;291;18359;19768
Pontevedra;152077;8285;5751;8285;157829;230148
San Xoán de Río;16591;333;0;333;16591;16942
Laxe;21626;1351;1338;1351;22964;31402
Sanxenxo;81396;2382;1432;2382;82828;89314
Sobrado;22230;926;1470;926;23700;23700
Melón;19260;497;462;497;19723;22182
Samos;21845;1127;0;1127;21845;22680
Foz;13725;1887;0;1887;13725;35919
Fornelos de Montes;23183;682;2075;682;25258;26302
A Coruña;0;39987;0;39987;0;266515
Lobios;29564;1025;954;1025;30519;30519
Verín;46859;1275;1096;1275;47955;71787
Ares;402;7328;19;7328;421;37654
As Somozas;2751;1808;0;1808;2751;3501
Vilariño de Conso;13880;355;0;355;13880;15749
Castro de Rei;55912;1655;0;1655;55912;59081
Meira;17141;346;0;346;17141;20474
Culleredo;15805;7751;7443;7751;23248;79010
Lugo;161384;24422;79;24422;161463;342048
Cabana de Bergantiños;52344;1115;1079;1115;53423;53910
Paderne de Allariz;23379;535;95;535;23474;23474
Allariz;18702;13211;1282;13211;19983;30145
A Illa de Arousa;2209;532;431;532;2640;15816
Betanzos;15414;4760;546;4760;15960;35685
Boqueixón;8768;1019;399;1019;9167;9167
Gomesende;17745;247;462;247;18207;18207
Arzúa;16715;2968;0;2968;16715;25035
Cortegada;18812;376;712;376;19524;22553
Moaña;43825;1182;32706;1182;76530;87474
Val do Dubra;19761;1253;409;1253;20169;23167
Brión;21687;1680;528;1680;22214;29860
Lourenzá;18498;1016;0;1016;18498;20808
Tui;69236;3964;6358;3964;75594;90103
Esgos;16471;386;0;386;16471;16471
Dozón;16242;343;162;343;16403;16403
Poio;30625;3588;0;3588;30625;102656
Paderne;15010;2376;1588;2376;16599;22672
Baiona;19304;1322;1121;1322;20425;56959
Moeche;1973;2040;161;2040;2133;4196
Cartelle;47923;1151;76;1151;47999;48081
Ponteareas;133934;5882;3208;5882;137142;154077
O Pereiro de Aguiar;47805;1438;914;1438;48720;50755
Narón;8921;17329;4667;17329;13587;94559
Soutomaior;17683;581;1185;581;18867;26455
Cerdedo-Cotobade;72667;1998;5754;1998;78421;80790
Rianxo;58110;1742;251;1742;58361;65135
Castro Caldelas;20335;619;646;619;20981;28822
Bueu;22429;5522;29745;5522;52174;65167
O Saviñao;61117;1145;0;1145;61117;68120
Vedra;30906;2553;4563;2553;35469;36420
Vilardevós;35502;588;103;588;35605;37569
Petín;7160;234;739;234;7899;12873
Cervantes;42790;1285;385;1285;43175;44275
Vimianzo;63108;1866;1103;1866;64212;69359
Sandiás;15143;413;0;413;15143;15329
Láncara;39344;851;1021;851;40365;44936
Monforte de Lemos;61481;3560;397;3560;61878;91267
Lobeira;18821;309;0;309;18821;19566
Catoira;20007;537;573;537;20580;20580
Santa Comba;40692;1667;0;1667;40692;47544
Bergondo;8123;6649;2729;6649;10852;84972
Punxín;15227;223;865;223;16092;16092
Crecente;55166;742;2024;742;57190;57190
Vilaboa;29616;813;15546;813;45162;45162
Mondoñedo;31477;1912;90;1912;31567;39786
Boiro;28247;1700;2542;1700;30789;41874
Touro;16374;1139;24;1139;16398;17419
Padrón;30013;1270;3110;1270;33123;36269
Guitiriz;53714;3082;0;3082;53714;67312
Amoeiro;36080;440;211;440;36290;36290
Carballeda de Valdeorras;23562;525;136;525;23698;25437
Baños de Molgas;27076;1964;233;1964;27309;27858
O Rosal;6095;1436;0;1436;6095;78233
Friol;15157;15104;0;15104;15157;18112
Baleira;30630;684;70;684;30700;31677
Sober;51159;1516;68;1516;51227;51500
Valdoviño;25215;6313;2375;6313;27590;37516
Ponte Caldelas;25345;1453;892;1453;26236;32518
O Corgo;59360;1614;167;1614;59527;62508
Mugardos;5348;6139;348;6139;5695;30146
Dodro;17251;906;2126;906;19377;19846
Melide;28835;1891;18;1891;28852;51171
Caldas de Reis;40090;10951;490;10951;40580;46895
Vilagarcía de Arousa;37372;2210;1355;2210;38726;112584
Outes;14058;2684;706;2684;14764;18802
A Laracha;43417;2493;2126;2493;45543;62995
Covelo;69695;1931;10096;1931;79792;80680
Celanova;43191;1927;223;1927;43414;49679
Marín;57996;905;18545;905;76541;84701
Vilarmaior;1453;1192;0;1192;1453;1453
Vilalba;125626;5032;137;5032;125764;142225
Xove;4162;1377;0;1377;4162;8611
Os Blancos;15507;255;0;255;15507;15507
Baralla;44431;707;0;707;44431;50049
Tomiño;127338;2196;4990;2196;132328;136772
Vila de Cruces;57492;2075;856;2075;58348;61268
Ribeira;22952;3420;4315;3420;27267;75896
Cerdido;1154;1226;0;1226;1154;1154
Avión;31893;460;1584;460;33477;33477
O Irixo;31935;593;437;593;32371;32371
Manzaneda;17343;449;605;449;17948;20070
Toén;34534;550;46;550;34579;34579
Carral;8242;3758;3594;3758;11835;23701
Oímbra;18727;308;0;308;18727;18813
Cee;31421;1132;4715;1132;36136;45167
Moraña;35595;556;0;556;35595;37855
A Pobra do Caramiñal;14178;1255;637;1255;14815;33954
Oleiros;12859;17376;3948;17376;16807;202424
Mañón;12647;1893;445;1893;13092;18045
Castrelo de Miño;28455;422;0;422;28455;29964
Mazaricos;56181;2244;1679;2244;57860;58334
Portas;19273;374;215;374;19488;19488
Taboada;10532;595;77;595;10610;17558
Nigrán;39702;1578;2407;1578;42109;67358
Ferrol;34554;20642;10542;20642;45096;154316
Maceda;27648;935;840;935;28488;33688
Forcarei;36956;1088;23;1088;36979;39736
Lousame;25617;844;1703;844;27320;27320
Ames;39247;2759;6305;2759;45552;71214
Porto do Son;25046;2000;2239;2000;27285;34787
Outeiro de Rei;40689;1604;78;1604;40768;42765
Parada de Sil;14814;554;0;554;14814;14936
Mesía;7195;2748;228;2748;7422;7422
Trasmiras;19971;451;165;451;20136;21396
Pontedeume;9965;3466;949;3466;10914;22009
San Amaro;12124;276;183;276;12306;12306
Oia;38078;914;5310;914;43388;44141
Cambados;57078;1277;5204;1277;62282;81284
Riotorto;24268;591;138;591;24406;26015
O Pino;19636;2745;202;2745;19838;24965
Maside;34460;721;0;721;34460;35220
Leiro;21741;368;1654;368;23395;23684
Camariñas;23971;2445;5113;2445;29084;46578
Ourense;144257;13353;2340;13353;146597;252132
A Baña;15797;1179;1102;1179;16898;17384
Becerreá;39903;979;0;979;39903;49117
Rairiz de Veiga;22532;354;0;354;22532;22532
Muíños;25635;579;349;579;25984;27482
Ribeira de Piquín;18366;276;76;276;18442;18442
Ribadavia;22510;647;0;647;22510;25323
Quintela de Leirado;10906;145;0;145;10906;10906
Cuntis;24764;1084;0;1084;24764;25763
San Cristovo de Cea;41283;825;114;825;41397;41460
O Carballiño;59348;1071;751;1071;60099;74062
Cedeira;24705;3016;582;3016;25287;38337
Burela;6184;707;60;707;6244;38727
Mondariz-Balneario;2727;291;1149;291;3876;5186
Rábade;2863;325;0;325;2863;12454
Negreira;9542;3469;107;3469;9649;27401
Santiso;4618;1538;0;1538;4618;4618
Barbadás;29027;1662;2131;1662;31157;49957
Muxía;35582;2657;10471;2657;46053;51037
Trabada;17441;876;0;876;17441;18894
Coristanco;20015;1953;0;1953;20015;26207
A Capela;5624;724;0;724;5624;5624
Beariz;10506;243;109;243;10615;12273
O Valadouro;6250;753;372;753;6623;10511
Abegondo;29705;5213;3372;5213;33077;33624
A Bola;16845;264;0;264;16845;16845
Fene;5183;6060;799;6060;5982;42687
Salvaterra de Miño;71536;3036;7433;3036;78970;88223
Castrelo do Val;21055;2364;188;2364;21242;23911
Calvos de Randín;23084;656;0;656;23084;23129
Boborás;39096;622;33;622;39129;39526
Ponteceso;62972;2662;1443;2662;64415;73951
Noia;14167;2981;604;2981;14771;29958
Agolada;37932;1336;0;1336;37932;39325
Cospeito;18667;881;0;881;18667;24784
Cenlle;20459;319;62;319;20521;21318
Sarreaus;20519;570;0;570;20519;20519
A Arnoia;13944;266;437;266;14381;14381
Mos;10460;2775;1276;2775;11737;51635
Pedrafita do Cebreiro;22516;636;232;636;22748;24550
Quiroga;44549;1804;993;1804;45542;50552
Silleda;70891;2016;0;2016;70891;77903
Bóveda;19238;685;50;685;19288;21966
Chantada;76843;2015;469;2015;77312;86361
Vilamartín de Valdeorras;15901;565;0;565;15901;17959
Curtis;14613;3718;603;3718;15217;28989
Pantón;39290;1021;0;1021;39290;41838
Vilasantar;11534;1823;235;1823;11769;12575
Ourol;813;1190;297;1190;1110;2279
As Nogais;23284;1274;0;1274;23284;24780
Carballeda de Avia;20923;479;1004;479;21927;22258
A Merca;33549;1015;0;1015;33549;35212
Portomarín;21046;1047;0;1047;21046;25246
Muros;38474;1661;5467;1661;43940;47231
Arteixo;29186;8333;17391;8333;46576;115433
Antas de Ulla;34970;613;0;613;34970;38888
Ramirás;31741;415;146;415;31888;31888
Ribadeo;35837;2934;454;2934;36291;57152
Meis;51255;1500;6273;1500;57528;58339
Tordoia;7458;801;1018;801;8476;8476
Neda;7565;3505;332;3505;7896;20008
Folgoso do Courel;28411;1402;406;1402;28817;28817
Oza-Cesuras;10864;6932;2434;6932;13298;16261
Cualedro;26173;754;0;754;26173;27051
