La Unión;17987;1740;108;1740;18094;76783
Ricote;535;311;0;311;535;7372
Librilla;6325;1375;0;1375;6325;24916
Cartagena;159501;39057;4172;39057;163673;760845
Blanca;758;636;73;636;831;14827
Cehegín;35985;1263;681;1263;36666;87955
Las Torres de Cotillas;22130;1707;579;1707;22709;124664
Puerto Lumbreras;5911;1794;155;1794;6065;57340
Totana;27877;2935;90;2935;27967;97085
Beniel;4984;682;0;682;4984;28973
Abarán;8491;780;0;780;8491;32067
Molina de Segura;143704;4228;418;4228;144123;367369
Alcantarilla;21909;1610;151;1610;22061;80888
Mula;11863;1552;186;1552;12049;61423
Yecla;51060;3490;790;3490;51849;106940
Ceutí;2223;1097;24;1097;2247;62260
Santomera;20820;1395;0;1395;20820;61566
Albudeite;764;278;127;278;891;9645
Los Alcázares;841;2343;64;2343;904;145109
Abanilla;22004;1374;38;1374;22042;51033
Fuente Álamo de Murcia;105451;2597;0;2597;105451;156457
Fortuna;32401;1407;0;1407;32401;72750
Ojós;228;629;0;629;228;2878
Caravaca de la Cruz;55353;1829;8;1829;55361;81927
Águilas;60724;4308;0;4308;60724;142570
Murcia;636461;40645;5530;40645;641992;1464393
Torre Pacheco;31921;17966;298;17966;32219;280011
Alhama de Murcia;48278;2906;399;2906;48676;126119
Mazarrón;75475;3839;0;3839;75475;162581
Alguazas;8528;565;0;565;8528;29511
Pliego;1374;519;0;519;1374;20565
Bullas;18346;734;151;734;18497;64285
San Javier;32413;7434;810;7434;33223;196164
Jumilla;21520;2919;979;2919;22498;64090
Campos del Río;564;248;0;248;564;13789
Villanueva del Río Segura;1772;268;0;268;1772;13679
Lorca;82626;19179;977;19179;83603;208434
Lorquí;15671;1121;201;1121;15872;70253
San Pedro del Pinatar;19999;2247;883;2247;20882;145751
Ulea;365;333;0;333;365;4668
Calasparra;21616;1139;100;1139;21716;63936
Moratalla;24554;6588;116;6588;24670;45083
Cieza;6553;1619;428;1619;6981;41912
Archena;6471;1132;2016;1132;8487;69349
Aledo;2363;298;0;298;2363;7895
