Sant Llorenç des Cardassar;5374;3575;99;3575;5473;61884
Sencelles;480;471;0;471;480;6933
Binissalem;1101;652;0;652;1101;22606
Llubí;5797;436;0;436;5797;14276
Es Mercadal;7780;7078;0;7078;7780;62185
Escorca;4127;1566;0;1566;4127;6017
Alaior;2139;11071;0;11071;2139;50577
Esporles;8907;1511;0;1511;8907;33646
Algaida;3311;1635;409;1635;3720;23348
Sóller;3510;7826;0;7826;3510;42939
Artà;5102;2146;0;2146;5102;51896
Deià;889;1274;0;1274;889;5306
Andratx;6413;5768;0;5768;6413;85366
Santa Eulària des Riu;184607;7359;214;7359;184821;335896
Ses Salines;1715;1972;14;1972;1729;34098
Es Migjorn Gran;2496;1888;0;1888;2496;10317
Llucmajor;11694;8053;0;8053;11694;164117
Santa Eugènia;2749;381;0;381;2749;6902
Lloret de Vistalegre;612;230;0;230;612;4147
Maó;13338;27066;466;27066;13804;92049
Marratxí;24692;4988;83;4988;24775;190192
Lloseta;2726;367;0;367;2726;14963
Sant Antoni de Portmany;118434;8786;58;8786;118492;171300
Sant Joan de Labritja;83382;3202;0;3202;83382;100775
Formentera;31420;3102;250;3102;31670;50829
Petra;999;936;0;936;999;14437
Ciutadella;17158;29926;19;29926;17177;135968
Santanyí;26172;20781;420;20781;26592;131051
Campos;6113;3162;0;3162;6113;69814
Palma;74352;25350;365;25350;74716;704878
Son Servera;7897;2082;185;2082;8083;49164
Ariany;378;317;0;317;378;9353
Alcúdia;13002;5370;7;5370;13009;95443
Santa Margalida;5926;2702;0;2702;5926;75332
Selva;2062;1069;0;1069;2062;14396
Vilafranca de Bonany;948;353;0;353;948;16505
Calvià;15565;16351;672;16351;16236;265993
Manacor;32869;19217;0;19217;32869;201474
Sant Lluís;2420;17350;0;17350;2420;70208
Capdepera;7868;4272;0;4272;7868;98355
Santa María del Camí;70;8686;0;8686;70;17848
Campanet;1641;558;0;558;1641;9615
Maria de la Salut;1445;406;0;406;1445;13230
Costitx;2578;249;0;249;2578;5791
Alaró;855;5337;0;5337;855;16379
Fornalutx;216;1373;167;1373;383;1398
Pollença;14744;13683;1382;13683;16127;81021
Sant Joan;2362;594;0;594;2362;11987
Puigpunyent;3867;718;0;718;3867;14557
Mancor de la Vall;787;268;0;268;787;5958
Felanitx;20143;4744;50;4744;20192;91602
Valldemossa;10256;2591;205;2591;10461;19813
Estellencs;2324;264;0;264;2324;4379
Sa Pobla;7783;1348;0;1348;7783;51701
Búger;217;200;0;200;217;4891
Montuïri;3872;742;0;742;3872;12051
Inca;6368;2006;0;2006;6368;63901
Muro;2976;2363;0;2363;2976;40476
Sineu;4363;752;132;752;4495;19511
Banyalbufar;0;988;0;988;0;6248
Bunyola;4117;1765;0;1765;4117;40650
Ferreries;4200;2850;0;2850;4200;17020
Eivissa;13913;4875;99;4875;14012;73153
Porreres;1792;981;163;981;1956;15653
Sant Josep de sa Talaia;120252;9133;632;9133;120884;234289
Es Castell;61;7311;0;7311;61;28861
Consell;1288;391;0;391;1288;10738
