La Victoria de Acentejo;1656;886;0;886;1656;24877
Gáldar;1576;4279;89;4279;1664;97318
San Cristóbal de La Laguna;54378;17757;468;17757;54846;385693
Tejeda;533;1969;0;1969;533;12107
Los Silos;560;7106;0;7106;560;20656
Garafía;12677;3622;0;3622;12677;14496
Agüimes;3021;7007;541;7007;3561;129517
Los Realejos;27370;4811;0;4811;27370;98003
La Aldea de San Nicolás;198;2102;0;2102;198;40119
Antigua;5055;6734;0;6734;5055;65520
Yaiza;2941;14392;25083;14392;28024;169829
Puntallana;8013;1931;0;1931;8013;12903
Tijarafe;14280;2714;0;2714;14280;26286
La Guancha;6243;929;0;929;6243;24255
Tegueste;4561;1059;0;1059;4561;42805
Tinajo;428;2530;0;2530;428;46791
Ingenio;553;2547;78;2547;631;100967
Arucas;1625;2867;0;2867;1625;91455
El Rosario;5445;13691;89;13691;5534;58458
Tuineje;19512;7836;465;7836;19977;69921
Santiago del Teide;3096;9309;0;9309;3096;30948
Santa Cruz de Tenerife;22549;32023;25;32023;22574;343423
Telde;2344;7358;158;7358;2502;239756
Garachico;6790;5107;0;5107;6790;23566
Valsequillo de Gran Canaria;640;1186;0;1186;640;50401
Güímar;13026;9420;0;9420;13026;58456
Frontera;1666;5835;74;5835;1740;20494
Santa María de Guía de Gran Canaria;465;2213;0;2213;465;41295
Arona;49877;10439;428;10439;50304;207839
Valle Gran Rey;2197;2891;321;2891;2518;17027
Puntagorda;6268;1981;0;1981;6268;25158
Fuencaliente de la Palma;8465;1715;0;1715;8465;17647
Teguise;1657;10004;2030;10004;3687;161818
San Miguel de Abona;36805;3155;0;3155;36805;91891
Tazacorte;2535;1929;0;1929;2535;8121
Mogán;1965;5827;0;5827;1965;84891
Moya;162;1142;0;1142;162;30926
Vallehermoso;11851;3208;2777;3208;14628;19057
Breña Baja;7703;3988;367;3988;8070;30718
Haría;299;2819;0;2819;299;36846
Santa Lucía de Tirajana;5622;2770;0;2770;5622;127616
Artenara;348;1209;0;1209;348;6599
San Andrés y Sauces;6906;1291;0;1291;6906;17829
Hermigua;6361;1894;53;1894;6414;7021
Villa de Mazo;24567;2797;0;2797;24567;31582
Adeje;34750;12554;296;12554;35046;140355
Firgas;289;835;0;835;289;32837
Granadilla de Abona;29682;8495;6678;8495;36360;149791
El Pinar de El Hierro;7493;3172;0;3172;7493;18371
Pájara;3458;12543;1159;12543;4617;61463
Buenavista del Norte;6737;9617;1079;9617;7816;24683
Santa Úrsula;3578;6435;0;6435;3578;56944
El Paso;13939;5755;0;5755;13939;52473
Valverde;10127;9256;107;9256;10234;42927
Guía de Isora;9244;19174;0;19174;9244;61879
San Juan de la Rambla;7131;1329;0;1329;7131;21191
Betancuria;2394;2112;0;2112;2394;8315
Teror;234;1276;0;1276;234;35370
Breña Alta;17298;2257;0;2257;17298;43783
Icod de los Vinos;56133;3062;0;3062;56133;104349
Alajeró;10913;1548;614;1548;11527;15622
San Sebastián de la Gomera;16682;4484;1816;4484;18498;30538
Tacoronte;17365;1626;0;1626;17365;91097
Valleseco;245;906;0;906;245;18918
La Oliva;38672;8490;433;8490;39105;200782
Puerto de la Cruz;5797;5217;0;5217;5797;65578
Arafo;5497;6888;0;6888;5497;28121
Candelaria;18305;19078;0;19078;18305;71522
El Tanque;4853;3984;0;3984;4853;17495
Arico;14224;4456;0;4456;14224;58038
El Sauzal;7014;1229;0;1229;7014;38745
Vilaflor;3141;1836;0;1836;3141;8631
Fasnia;3544;1165;0;1165;3544;18121
Barlovento;8584;1250;0;1250;8584;12596
Vega de San Mateo;1333;1699;0;1699;1333;27474
San Bartolomé;1037;5639;2111;5639;3148;62773
Las Palmas de Gran Canaria;19143;37860;559;37860;19703;530176
Arrecife;4115;4842;0;4842;4115;115847
Tías;3717;9231;2060;9231;5777;112689
Santa Cruz de la Palma;5395;1528;0;1528;5395;24436
San Bartolomé de Tirajana;6864;32983;472;32983;7336;191232
La Matanza de Acentejo;6664;1055;0;1055;6664;26691
Agulo;5674;893;397;893;6071;6856
La Orotava;58670;5141;0;5141;58670;151728
Santa Brígida;1031;1563;0;1563;1031;69432
Puerto del Rosario;87401;8789;0;8789;87401;174599
Agaete;808;2292;1981;2292;2790;21076
