Santander;13549;42948;3036;42948;16585;276422
Camaleño;14029;1918;715;1918;14744;15753
Arenas de Iguña;4911;1325;61;1325;4972;19684
Valdeprado del Río;4182;697;95;697;4277;7938
Colindres;4127;675;0;675;4127;19921
Valdáliga;20997;1868;366;1868;21363;28863
Potes;214;1589;461;1589;675;7592
Castañeda;14066;440;117;440;14183;16563
Camargo;54742;2472;5667;2472;60409;113564
Corvera de Toranzo;19790;437;788;437;20577;22991
Entrambasaguas;542;3061;0;3061;542;25396
Udías;3470;155;173;155;3642;5544
Bareyo;4455;697;736;697;5190;27966
Piélagos;0;2763;1324;2763;1324;130464
Penagos;6947;1095;184;1095;7132;13514
Liérganes;4733;1242;464;1242;5196;13902
Santiurde de Reinosa;2336;251;0;251;2336;7539
Cabezón de la Sal;33802;1409;1931;1409;35733;45465
Alfoz de Lloredo;4476;781;124;781;4599;42451
Miera;1535;1178;152;1178;1687;5343
Tresviso;39;260;0;260;39;1109
Liendo;11140;314;1183;314;12323;17845
Selaya;4487;317;554;317;5040;10500
Los Tojos;2850;419;48;419;2898;3692
Castro-Urdiales;19435;8892;3389;8892;22823;93565
Vega de Pas;1470;774;61;774;1531;3104
Laredo;14921;3845;234;3845;15155;49861
Ampuero;8553;313;1589;313;10142;14892
Lamasón;3143;300;304;300;3447;4454
Herrerías;8992;674;59;674;9050;9346
Ruente;6387;1029;0;1029;6387;12321
Marina de Cudeyo;1041;1157;0;1157;1041;53535
Tudanca;4383;186;575;186;4959;5309
San Pedro del Romeral;1510;252;395;252;1905;2581
Campoo de Yuso;12242;749;13;749;12255;17890
Polanco;14424;667;3207;667;17631;24741
Meruelo;89;389;0;389;89;16575
San Vicente de la Barquera;4748;1142;905;1142;5653;16641
Vega de Liébana;4314;944;381;944;4694;18826
Mazcuerras;18164;513;678;513;18841;24774
Luena;5280;548;886;548;6166;7164
Cabezón de Liébana;7359;342;897;342;8256;13506
Rasines;791;306;145;306;936;2695
San Roque de Riomiera;85;1294;0;1294;85;85
Cieza;2439;228;716;228;3155;4269
Reocín;35638;1299;1615;1299;37252;49144
Bárcena de Cicero;313;870;36;870;348;34989
Santa Cruz de Bezana;24049;1164;10536;1164;34585;66337
Puente Viesgo;13504;1053;0;1053;13504;25893
Molledo;14222;1140;0;1140;14222;18324
Arredondo;5618;512;917;512;6536;9542
Valle de Villaverde;1632;427;0;427;1632;3298
Pesquera;0;111;0;111;0;1752
Ruesga;4417;780;794;780;5211;9732
Villacarriedo;9931;346;0;346;9931;15020
Hermandad de Campoo de Suso;13070;2014;795;2014;13865;27545
Limpias;2708;122;1193;122;3901;6105
Peñarrubia;7654;339;117;339;7771;9473
Bárcena de Pie de Concha;5288;205;0;205;5288;5288
Ramales de la Victoria;8031;2259;378;2259;8409;17437
Guriezo;11095;832;133;832;11228;13153
Valdeolea;5331;658;0;658;5331;18691
Val de San Vicente;15237;1431;393;1431;15630;28863
Arnuero;8791;730;910;730;9700;34834
Hazas de Cesto;8;381;0;381;8;15020
Villaescusa;21031;913;174;913;21205;30984
Comillas;16719;817;1395;817;18114;26654
Santillana del Mar;23297;1319;3340;1319;26637;34277
Santa María de Cayón;0;5786;0;5786;0;38738
Solórzano;185;311;0;311;185;6552
Escalante;65;263;0;263;65;5026
Suances;16718;1381;2976;1381;19694;63077
Campoo de Enmedio;11741;1134;460;1134;12201;31152
Los Corrales de Buelna;0;9347;0;9347;0;48037
Cillorigo de Liébana;7153;774;0;774;7153;10608
Santiurde de Toranzo;13292;370;76;370;13368;19793
Voto;11599;568;684;568;12282;22671
Santoña;2045;572;0;572;2045;26933
Pesaguero;6019;231;1776;231;7795;9840
Polaciones;2701;307;914;307;3615;5608
Saro;2588;109;104;109;2692;3587
Valderredible;972;2299;0;2299;972;39012
Medio Cudeyo;1811;3492;281;3492;2093;35749
El Astillero;15985;969;1246;969;17231;38218
Rionansa;3773;936;184;936;3957;18601
Campoo-Cabuérniga;0;161;0;161;0;0
Cabuérniga;7844;629;0;629;7844;17359
Las Rozas de Valdearroyo;1004;413;0;413;1004;15316
Anievas;66;173;0;173;66;7592
Soba;2658;2057;0;2057;2658;26409
Noja;5137;1612;576;1612;5713;30266
Reinosa;4293;1044;1413;1044;5706;32271
Ribamontán al Mar;1056;3747;0;3747;1056;44539
Villafufre;8681;211;0;211;8681;15686
San Felices de Buelna;18888;1118;0;1118;18888;19532
San Miguel de Aguayo;717;192;0;192;717;1820
Miengo;8106;932;942;932;9048;30176
Cartes;12540;506;520;506;13060;17151
Torrelavega;1332;24723;0;24723;1332;128839
Ruiloba;9645;352;1540;352;11186;14785
Argoños;3764;361;2447;361;6211;23652
Riotuerto;3119;2475;164;2475;3283;18078
Ribamontán al Monte;4263;609;0;609;4263;15640
