Palas de Rei;47659;2066;287;2066;47947;50931
O Vicedo;9233;1499;0;1499;9233;11391
Redondela;105749;3929;552;3929;106301;142091
Pontecesures;13711;223;131;223;13842;19224
Dumbría;21111;1114;1109;1114;22220;22220
Mondariz;72686;2650;14052;2650;86738;89689
Vilanova de Arousa;52592;1022;6438;1022;59029;65660
Guntín;28543;581;359;581;28902;30183
O Barco de Valdeorras;18803;7429;467;7429;19269;58076
Monterrei;29766;583;0;583;29766;32723
Santiago de Compostela;47097;21055;3730;21055;50827;273900
O Páramo;20001;433;122;433;20123;20123
Negueira de Muñiz;4606;109;0;109;4606;4606
O Grove;33709;1599;676;1599;34384;50649
O Porriño;55345;7631;2605;7631;57950;81460
A Mezquita;11950;705;221;705;12171;16391
Frades;5150;3205;79;3205;5229;21259
Vilamarín;24178;421;517;421;24695;24695
Malpica de Bergantiños;54864;2589;2722;2589;57586;64050
Barro;29559;678;113;678;29671;29775
Baltar;17026;483;0;483;17026;19150
Sada;27454;8533;4549;8533;32003;72616
Boimorto;7523;674;0;674;7523;7523
O Incio;36005;705;0;705;36005;36862
Castroverde;52442;929;0;929;52442;54335
Paradela;31104;656;84;656;31188;32102
Begonte;19033;1000;89;1000;19122;21275
Irixoa;5641;1436;568;1436;6209;6671
A Guarda;19307;2204;1168;2204;20474;50559
A Gudiña;14100;872;0;872;14100;20372
A Teixeira;7588;137;0;137;7588;8683
Fisterra;13846;1365;6802;1365;20648;28806
Entrimo;19388;387;0;387;19388;19449
Vilar de Barrio;19725;431;305;431;20030;22845
Alfoz;17321;661;905;661;18226;18226
Oroso;11594;1721;481;1721;12075;21303
Ribas de Sil;14367;488;616;488;14983;16295
Laza;28334;790;653;790;28988;32858
Trazo;8497;1098;433;1098;8930;9758
Riós;35013;800;39;800;35052;35052
Bande;28766;579;0;579;28766;30128
Pol;40993;1197;29;1197;41022;41816
Montederramo;18164;658;232;658;18396;19152
Triacastela;12477;305;0;305;12477;13570
Viveiro;4321;7909;652;7909;4973;18105
As Pontes de García Rodríguez;15059;4030;170;4030;15229;44443
Coles;36181;594;0;594;36181;36425
A Peroxa;31146;898;2859;898;34005;34005
Corcubión;4767;324;439;324;5207;7771
A Pobra do Brollón;32430;839;0;839;32430;34084
Toques;12220;453;0;453;12220;12220
Beade;3072;54;0;54;3072;5692
Piñor;17496;474;0;474;17496;17496
Carballo;65575;3308;998;3308;66574;121768
Vigo;130231;16823;28602;16823;158833;548641
Carballedo;48824;844;0;844;48824;48824
A Pobra de Trives;26569;610;608;610;27177;32998
Gondomar;43341;1475;12528;1475;55869;59266
Cangas;41583;2505;20693;2505;62276;106994
Sarria;70358;2843;125;2843;70483;94467
Cerceda;2931;2798;194;2798;3125;16949
Valga;29597;733;0;733;29597;32891
Xunqueira de Ambía;18767;980;0;980;18767;20263
Vilar de Santos;13350;186;0;186;13350;14274
Teo;19107;6894;4249;6894;23355;37056
Cabanas;17654;2546;942;2546;18596;24262
San Cibrao das Viñas;33594;1676;73;1676;33666;35786
Muras;1678;784;0;784;1678;2510
A Pontenova;42038;1280;0;1280;42038;46562
Monfero;22242;1312;0;1312;22242;22242
Verea;26682;348;0;348;26682;26682
Rubiá;21037;691;0;691;21037;25072
A Pastoriza;72856;1415;0;1415;72856;76935
Miño;15893;5211;1238;5211;17131;35556
Coirós;6106;1990;6481;1990;12587;13693
Ribadumia;49717;878;6007;878;55725;59050
Navia de Suarna;44041;817;2003;817;46045;47826
Porqueira;18359;291;0;291;18359;19768
Pontevedra;151053;8310;5751;8310;156804;229889
San Xoán de Río;16591;333;0;333;16591;16942
Laxe;21626;1361;1338;1361;22964;31402
Sanxenxo;81348;2389;1432;2389;82780;89266
Sobrado;22230;926;1470;926;23700;23700
Melón;19260;497;462;497;19723;22182
Samos;21845;1127;0;1127;21845;22680
Foz;13725;1887;0;1887;13725;35919
Fornelos de Montes;23183;696;2075;696;25258;26302
A Coruña;0;43684;0;43684;0;266588
Lobios;29564;1025;954;1025;30519;30519
Verín;46859;1282;1096;1282;47955;71787
Ares;402;7328;19;7328;421;37654
As Somozas;2751;1808;0;1808;2751;3501
Vilariño de Conso;13880;355;0;355;13880;15749
Castro de Rei;55912;1655;0;1655;55912;59081
Meira;17141;346;0;346;17141;20474
Culleredo;15805;7752;7443;7752;23248;79010
Lugo;161381;24514;79;24514;161460;342050
Cabana de Bergantiños;52344;1129;1079;1129;53423;53910
Paderne de Allariz;23379;535;95;535;23474;23474
Allariz;18702;13211;1282;13211;19983;30145
A Illa de Arousa;2217;615;431;615;2648;15823
Betanzos;15414;4760;546;4760;15960;35685
Boqueixón;8768;1019;399;1019;9167;9167
Gomesende;17745;247;462;247;18207;18207
Arzúa;16715;2971;0;2971;16715;25035
Cortegada;18847;405;1216;405;20062;23078
Moaña;43828;1183;32789;1183;76616;87560
Val do Dubra;19761;1253;409;1253;20169;23167
Brión;21687;1683;528;1683;22214;29860
Lourenzá;18498;1016;0;1016;18498;20808
Tui;69761;3979;6358;3979;76119;90023
Esgos;16471;386;0;386;16471;16471
Dozón;16242;343;162;343;16403;16403
Poio;30625;3587;0;3587;30625;102656
Paderne;15010;2381;1588;2381;16598;22672
Baiona;19304;1322;1121;1322;20425;56959
Moeche;1973;2040;161;2040;2133;4196
Cartelle;47923;1151;76;1151;47999;48081
Ponteareas;133929;5882;3208;5882;137137;154073
O Pereiro de Aguiar;47805;1438;914;1438;48720;50755
Narón;8921;17333;4667;17333;13587;94559
Soutomaior;17683;584;1185;584;18867;26455
Cerdedo-Cotobade;73042;2064;5754;2064;78796;81165
Rianxo;58117;1742;251;1742;58368;65142
Castro Caldelas;20335;619;646;619;20981;28822
Bueu;22191;5618;31811;5618;54003;66995
O Saviñao;61117;1145;0;1145;61117;68120
Vedra;30906;2553;4563;2553;35469;36420
Vilardevós;35502;588;103;588;35605;37569
Petín;8206;285;86;285;8293;13395
Cervantes;42790;1285;385;1285;43175;44275
Vimianzo;63108;1893;1103;1893;64212;69359
Sandiás;15143;413;0;413;15143;15329
Láncara;39344;851;1021;851;40365;44936
Monforte de Lemos;61464;3584;397;3584;61861;91250
Lobeira;18821;309;0;309;18821;19566
Catoira;20007;537;573;537;20580;20580
Santa Comba;40692;1680;0;1680;40692;47544
Bergondo;8123;6680;2729;6680;10852;84904
Punxín;15227;223;865;223;16092;16092
Crecente;55166;742;2024;742;57190;57190
Vilaboa;29497;847;15546;847;45043;45043
Mondoñedo;31477;1912;90;1912;31567;39786
Boiro;28164;1718;2542;1718;30706;42208
Touro;16374;1139;24;1139;16398;17419
Padrón;30013;1287;3110;1287;33123;36269
Guitiriz;53714;3086;0;3086;53714;67312
Amoeiro;36080;440;211;440;36290;36290
Carballeda de Valdeorras;23562;532;136;532;23698;25437
Baños de Molgas;27076;1965;233;1965;27309;27858
O Rosal;6317;1446;0;1446;6317;79478
Friol;15157;15103;0;15103;15157;18112
Baleira;30630;684;70;684;30700;31677
Sober;51159;1516;68;1516;51227;51500
Valdoviño;24998;6324;2375;6324;27373;37978
Ponte Caldelas;25345;1478;892;1478;26236;32518
O Corgo;59360;1614;167;1614;59527;62508
Mugardos;5348;6139;348;6139;5695;30146
Dodro;17251;906;2126;906;19377;19846
Melide;28835;1891;18;1891;28852;51171
Caldas de Reis;40847;10967;558;10967;41406;47721
Vilagarcía de Arousa;37372;2249;1355;2249;38726;112584
Outes;14058;2685;706;2685;14764;18802
A Laracha;43417;2494;2126;2494;45543;62995
Covelo;69563;2025;10668;2025;80230;81118
Celanova;43492;1927;223;1927;43716;49981
Marín;58436;949;20390;949;78825;86982
Vilarmaior;1453;1207;0;1207;1453;1453
Vilalba;125626;5044;137;5044;125764;142225
Xove;4162;1377;0;1377;4162;8611
Os Blancos;15507;255;0;255;15507;15507
Baralla;44431;707;0;707;44431;50049
Tomiño;127284;2200;4990;2200;132275;136695
Vila de Cruces;57492;2078;856;2078;58348;61268
Ribeira;21958;3541;4315;3541;26273;75283
Cerdido;1154;1226;0;1226;1154;1154
Avión;31893;460;1584;460;33477;33477
O Irixo;31935;593;437;593;32371;32371
Manzaneda;17343;449;605;449;17948;20070
Toén;34534;550;46;550;34579;34579
Carral;8225;3761;3635;3761;11860;23725
Oímbra;18727;308;0;308;18727;18813
Cee;31421;1133;4715;1133;36136;45167
Moraña;35595;584;0;584;35595;37855
A Pobra do Caramiñal;14272;1276;637;1276;14909;34043
Oleiros;12792;17456;3884;17456;16676;202344
Mañón;12647;1892;445;1892;13092;18045
Castrelo de Miño;28455;422;0;422;28455;29964
Mazaricos;56189;2258;1679;2258;57867;58342
Portas;19273;375;215;375;19488;19488
Taboada;10532;595;77;595;10610;17558
Nigrán;39702;1578;2407;1578;42109;67358
Ferrol;34850;20746;10542;20746;45392;154316
Maceda;27648;935;840;935;28488;33688
Forcarei;37146;1133;23;1133;37169;39927
Lousame;25617;844;1703;844;27320;27320
Ames;39247;2786;6305;2786;45552;71214
Porto do Son;25046;2002;2239;2002;27285;34787
Outeiro de Rei;40689;1604;78;1604;40768;42765
Parada de Sil;14814;554;0;554;14814;14936
Mesía;7195;2748;228;2748;7422;7422
Trasmiras;19971;451;165;451;20136;21396
Pontedeume;9965;3516;949;3516;10914;22009
San Amaro;12124;276;183;276;12306;12306
Oia;38898;926;5134;926;44033;44785
Cambados;56914;1277;5204;1277;62117;81282
Riotorto;24268;591;138;591;24406;26015
O Pino;20098;2769;202;2769;20301;26225
