Viguera;3496;368;0;368;3496;3995
Viniegra de Abajo;0;204;0;204;0;1826
Ribafrecha;403;453;0;453;403;13207
Ochánduri;1996;58;0;58;1996;2782
Villalobar de Rioja;2987;42;0;42;2987;2987
Pradejón;11765;459;0;459;11765;14904
Arenzana de Abajo;2995;140;0;140;2995;2995
Zorraquín;86;123;0;123;86;1541
Navajún;0;31;0;31;0;1060
Santurde de Rioja;492;140;0;140;492;4053
Sojuela;4289;201;1193;201;5483;6574
Arnedillo;3801;314;220;314;4021;4507
Préjano;1666;420;0;420;1666;3904
Villarejo;541;47;0;47;541;541
Anguciana;2101;116;0;116;2101;6191
Tobía;476;27;0;27;476;476
Almarza de Cameros;1410;100;0;100;1410;1410
Briñas;1278;121;0;121;1278;3674
Galbárruli;1690;117;84;117;1774;1774
Albelda de Iregua;4494;768;1426;768;5919;17612
Soto en Cameros;580;320;2035;320;2615;2881
Azofra;1971;138;0;138;1971;4133
Tormantos;215;55;0;55;215;1510
Canillas de Río Tuerto;2033;54;0;54;2033;2033
Ollauri;6265;72;0;72;6265;6265
Santa Coloma;60;93;0;93;60;2328
Bañares;4238;249;0;249;4238;4256
Arnedo;11397;1184;718;1184;12115;35091
Ocón;6433;303;0;303;6433;8907
Baños de Río Tobía;7554;86;0;86;7554;7554
Ortigosa de Cameros;512;229;0;229;512;3271
Zarzosa;336;35;0;35;336;336
Ojacastro;265;113;0;113;265;5568
Mansilla de la Sierra;0;103;0;103;0;1633
Canales de la Sierra;0;105;0;105;0;790
Cirueña;6790;344;0;344;6790;8122
Fonzaleche;1749;341;0;341;1749;4295
Leiva;771;1399;652;1399;1423;4677
Leza de Río Leza;2763;92;0;92;2763;2763
Uruñuela;6816;108;77;108;6893;6893
Castañares de Rioja;107;193;0;193;107;4085
Lagunilla del Jubera;5994;310;0;310;5994;5994
Muro de Aguas;757;833;0;833;757;3387
Ledesma de la Cogolla;1117;70;0;70;1117;1117
Hornillos de Cameros;49;56;586;56;635;635
El Villar de Arnedo;2989;313;0;313;2989;6622
Sajazarra;839;130;0;130;839;4072
Cervera del Río Alhama;9440;766;6813;766;16253;16785
Alesón;1269;91;0;91;1269;1269
Alfaro;10897;1055;1857;1055;12754;41577
Arrúbal;9657;281;111;281;9768;17173
Agoncillo;2890;532;0;532;2890;11492
Briones;6552;468;609;468;7161;11328
Ajamil;1100;187;0;187;1100;1100
Tricio;4792;88;0;88;4792;4792
Cihuri;6555;121;80;121;6635;6635
Anguiano;3760;381;0;381;3760;3760
Santo Domingo de la Calzada;5437;1388;441;1388;5878;22446
Villanueva de Cameros;0;108;0;108;0;1230
Hormilla;4789;154;0;154;4789;4789
San Vicente de la Sonsierra;2789;533;1105;533;3894;11546
San Román de Cameros;2636;222;0;222;2636;2636
Manzanares de Rioja;2319;53;0;53;2319;2319
Herramélluri;665;42;0;42;665;1991
Cuzcurrita de Río Tirón;5746;192;0;192;5746;9075
Pradillo;193;76;0;76;193;1170
Murillo de Río Leza;136;328;0;328;136;4605
Bobadilla;710;14;0;14;710;710
Haro;13200;1142;59;1142;13259;39097
Daroca de Rioja;1956;67;0;67;1956;1956
Tirgo;2242;104;0;104;2242;2242
Hervías;3138;85;0;85;3138;3138
Enciso;417;467;0;467;417;3864
Manjarrés;1501;40;0;40;1501;1501
Villar de Torre;3363;52;0;52;3363;3363
Pazuengos;1041;43;0;43;1041;1041
Valdemadera;0;38;0;38;0;822
Torrecilla en Cameros;970;602;0;602;970;4335
Estollo;2917;30;0;30;2917;2917
Cidamón;66;9;0;9;66;66
Nestares;137;58;0;58;137;1228
Lumbreras;3423;408;42;408;3465;7146
Grañón;95;182;0;182;95;3507
El Redal;2158;72;0;72;2158;2766
Sotés;2784;148;0;148;2784;2784
Cañas;1457;27;0;27;1457;1457
Gimileo;1482;49;0;49;1482;1482
Lardero;2741;1343;2034;1343;4776;31088
Nájera;10282;682;722;682;11004;21093
Cárdenas;1774;29;0;29;1774;1774
Nalda;11962;437;55;437;12017;14976
Autol;4013;554;2951;554;6964;12164
Grávalos;1638;128;0;128;1638;3562
Foncea;2102;48;0;48;2102;2102
Rabanera;656;39;0;39;656;656
Hormilleja;3234;411;114;411;3347;3347
Pinillos;847;51;0;51;847;847
Clavijo;2708;166;570;166;3278;3758
Matute;2380;120;0;120;2380;2380
Pedroso;400;42;0;42;400;400
Navarrete;4311;602;0;602;4311;12726
San Millán de la Cogolla;1317;144;106;144;1423;3657
San Asensio;11351;296;0;296;11351;11351
Casalarreina;9049;231;56;231;9105;13436
Corporales;0;26;0;26;0;1909
Hornos de Moncalvillo;98;61;179;61;277;899
Arenzana de Arriba;1243;69;0;69;1243;1243
Villaverde de Rioja;1329;14;0;14;1329;1852
Huércanos;6353;169;0;169;6353;6353
Cordovín;3124;28;0;28;3124;3124
Santa Eulalia Bajera;1075;94;0;94;1075;1172
Brieva de Cameros;98;152;0;152;98;1728
Rodezno;6325;76;0;76;6325;6792
Mancomunidad de Nalda, Sorzano y Viguera;0;3;0;3;0;0
Baños de Rioja;1703;48;0;48;1703;1703
Villalba de Rioja;999;125;0;125;999;2251
Entrena;2575;391;1452;391;4027;11925
Badarán;5627;101;0;101;5627;5627
Sorzano;506;146;0;146;506;2937
Treviana;3709;116;0;116;3709;3709
Cabezón de Cameros;496;62;0;62;496;496
Santurdejo;1952;58;0;58;1952;1952
Aldeanueva de Ebro;6869;386;113;386;6982;25435
Villoslada de Cameros;0;803;0;803;0;8831
Cenicero;3383;315;0;315;3383;9263
Medrano;767;93;0;93;767;2700
Bergasa;1954;132;0;132;1954;1954
Munilla;1288;194;0;194;1288;1288
Quel;4762;413;1045;413;5807;7177
Castroviejo;2119;79;0;79;2119;2519
Laguna de Cameros;3169;180;0;180;3169;3169
Ausejo;11172;351;0;351;11172;11172
Calahorra;7196;1154;1548;1154;8743;38811
Torrecilla sobre Alesanco;1695;28;0;28;1695;1695
Bezares;1318;36;0;36;1318;1318
Igea;1396;141;0;141;1396;1396
Torre en Cameros;318;65;0;65;318;481
Villarta-Quintana;128;169;0;169;128;4362
Rincón de Soto;11947;405;0;405;11947;20740
Alcanadre;4399;381;0;381;4399;8208
Cellorigo;91;47;0;47;91;1437
Alesanco;889;165;0;165;889;6656
Alberite;3999;346;265;346;4263;10194
Ábalos;2726;143;0;143;2726;4616
Villavelayo;0;190;0;190;0;1645
Santa Engracia del Jubera;3944;353;0;353;3944;3944
Fuenmayor;9959;449;0;449;9959;10894
Villamediana de Iregua;13642;477;77;477;13719;22967
Corera;2794;92;0;92;2794;2794
Muro en Cameros;2055;138;0;138;2055;2506
Nieva de Cameros;15;162;0;162;15;3324
Galilea;4469;121;0;121;4469;4469
Robres del Castillo;908;141;0;141;908;1018
Camprovín;1395;64;0;64;1395;1395
San Torcuato;1953;19;0;19;1953;1953
Viniegra de Arriba;0;104;0;104;0;103
Bergasillas Bajera;443;62;0;62;443;443
Terroba;503;66;0;66;503;503
Gallinero de Cameros;0;45;0;45;0;832
Jalón de Cameros;796;59;40;59;836;836
Aguilar del Río Alhama;5508;272;0;272;5508;5596
Cornago;5013;405;342;405;5355;6199
Villarroya;14;137;0;137;14;783
Herce;1323;234;0;234;1323;1323
El Rasillo de Cameros;92;164;0;164;92;7722
Tudelilla;3503;106;0;106;3503;3503
Torremontalbo;51;32;0;32;51;51
Ventosa;2720;108;0;108;2720;2720
Ezcaray;436;739;168;739;604;16135
Zarratón;4215;94;202;94;4416;4416
Berceo;2869;48;0;48;2869;2869
Valgañón;188;78;0;78;188;2774
Ventrosa;111;135;0;135;111;1869
San Millán de Yécora;902;39;0;39;902;902
Logroño;41928;7672;1456;7672;43384;212406
