Valdemorillo;3756;7806;625;7806;4381;115969
Arganda del Rey;16995;6963;1263;6963;18258;146823
Villaviciosa de Odón;5480;2961;347;2961;5827;133800
Collado Mediano;882;744;0;744;882;45791
Batres;929;287;0;287;929;17227
Olmeda de las Fuentes;248;386;0;386;248;4678
Villalbilla;2258;3572;0;3572;2258;107352
Guadalix de la Sierra;1598;526;0;526;1598;36158
Alcalá de Henares;26478;18456;403;18456;26881;295031
Majadahonda;1190;5040;0;5040;1190;150045
Valdilecha;292;322;0;322;292;10445
Becerril de la Sierra;589;987;0;987;589;51578
Talamanca de Jarama;1601;396;0;396;1601;21879
Villamanta;15;844;0;844;15;15924
Lozoya;702;308;501;308;1204;7858
Moraleja de Enmedio;369;669;0;669;369;19286
Torrejón de Ardoz;4491;12445;64;12445;4555;120242
El Berrueco;879;757;0;757;879;7300
Collado Villalba;385;7253;398;7253;783;118811
Villamanrique de Tajo;964;189;0;189;964;11026
Navalcarnero;13778;2254;0;2254;13778;95490
San Agustín del Guadalix;3354;950;170;950;3524;40909
Algete;8815;1479;168;1479;8983;68588
Los Santos de la Humosa;387;642;0;642;387;16422
Horcajo de la Sierra-Aoslos;176;148;0;148;176;1803
Pinilla del Valle;439;187;0;187;439;4476
San Sebastián de los Reyes;13660;6750;1933;6750;15593;140411
Titulcia;5597;254;0;254;5597;8210
Patones;412;543;61;543;473;4253
Ciempozuelos;1918;1240;0;1240;1918;48776
Leganés;9611;18688;714;18688;10326;198221
Miraflores de la Sierra;4614;1331;0;1331;4614;54016
Morata de Tajuña;2398;2129;0;2129;2398;27122
Navacerrada;2642;1980;99;1980;2741;23712
Pezuela de las Torres;2927;250;0;250;2927;9281
Paracuellos de Jarama;4694;4971;678;4971;5372;106877
Villavieja del Lozoya;1869;158;487;158;2356;6285
Tielmes;33;292;0;292;33;11023
Horcajuelo de la Sierra;671;174;0;174;671;1862
Moralzarzal;960;1330;0;1330;960;73701
Colmenar del Arroyo;1758;1078;0;1078;1758;15440
Piñuécar-Gandullas;592;155;0;155;592;5318
Quijorna;2079;396;0;396;2079;23589
Villar del Olmo;263;407;0;407;263;16051
Prádena del Rincón;0;102;0;102;0;2469
Sevilla la Nueva;347;6728;0;6728;347;37764
Fresnedillas de la Oliva;272;1278;0;1278;272;11203
Humanes de Madrid;1808;5119;0;5119;1808;28773
Belmonte de Tajo;91;285;0;285;91;10978
Valdemaqueda;0;603;0;603;0;15972
Valverde de Alcalá;0;228;0;228;0;4421
Nuevo Baztán;1210;1458;0;1458;1210;78654
Anchuelo;122;193;0;193;122;8069
Ambite;240;221;0;221;240;18405
San Martín de la Vega;7659;13148;0;13148;7659;81377
Venturada;1332;390;0;390;1332;31016
Ajalvir;13;1028;74;1028;87;15957
Lozoyuela-Navas-Sieteiglesias;3193;692;0;692;3193;15787
