Llanera;24182;3133;0;3133;24182;51720
Valdés;109402;3803;1073;3803;110475;129241
Morcín;7664;765;1614;765;9277;9870
Cangas de Onís;17103;3300;315;3300;17418;21093
Villaviciosa;28905;3979;0;3979;28905;44995
Ribera de Arriba;5235;795;117;795;5352;5352
Santo Adriano;2375;761;1233;761;3608;4659
Siero;42971;12292;1343;12292;44314;91915
Ribadesella;24293;3086;46;3086;24339;40009
Yernes y Tameza;3436;729;0;729;3436;3436
Candamo;3605;448;0;448;3605;3605
Illas;771;380;833;380;1604;2340
Santa Eulalia de Oscos;10981;406;0;406;10981;11506
Piloña;25376;9941;939;9941;26314;32063
Cangas del Narcea;134118;3377;1728;3377;135847;145394
Mieres;45534;5002;305;5002;45839;71496
Ponga;7764;1686;514;1686;8278;12968
Navia;52942;2306;0;2306;52942;60569
Sobrescobio;12063;1129;0;1129;12063;12085
Lena;44444;5817;3322;5817;47765;58856
Quirós;28734;4929;204;4929;28938;28938
Bimenes;5443;4345;0;4345;5443;5443
Tineo;93204;2254;117;2254;93321;97038
Peñamellera Alta;9114;2156;0;2156;9114;9394
Pravia;13780;1015;0;1015;13780;20906
Degaña;8869;232;0;232;8869;8869
Cabrales;43;8696;47;8696;90;4396
Riosa;4811;478;953;478;5764;7749
Pesoz;5476;192;164;192;5640;5640
Llangréu/Langreo;25171;14041;294;14041;25466;93226
Teverga;29235;870;1069;870;30304;30987
Cabranes;7159;500;628;500;7787;7787
Vegadeo;26265;1324;3935;1324;30199;35048
Coaña;26633;1063;0;1063;26633;27355
Taramundi;14184;2138;423;2138;14607;16384
Corvera de Asturias;15900;1956;0;1956;15900;38481
Castrillón;44523;3352;378;3352;44901;82066
Nava;20731;930;408;930;21138;27689
Ibias;38634;1323;333;1323;38966;38966
Salas;25413;1920;2042;1920;27455;36442
Soto del Barco;15638;717;0;717;15638;25412
San Tirso de Abres;9318;558;0;558;9318;9715
Caso;21490;3071;578;3071;22068;25479
Llanes;55645;10896;2560;10896;58205;81291
Colunga;28893;4723;540;4723;29434;42382
Sariego;7113;523;0;523;7113;8720
Villayón;17150;485;619;485;17769;17769
Ribadedeva;9123;740;431;740;9554;10184
Amieva;7116;665;1547;665;8663;8663
Somiedo;33515;2215;366;2215;33880;35193
Parres;9637;1049;504;1049;10141;15384
Onís;7081;2441;0;2441;7081;7081
Carreño;11360;2115;140;2115;11499;28838
Grandas de Salime;20533;729;0;729;20533;23420
Castropol;36738;1628;0;1628;36738;47537
Proaza;16124;793;140;793;16264;16932
Aller;22468;4273;1080;4273;23548;33131
Boal;12428;1421;0;1421;12428;14446
Grau/Grado;28507;2350;366;2350;28872;40734
San Martín de Oscos;12380;277;0;277;12380;12380
Illano;16712;638;1076;638;17787;17787
El Franco;11291;824;0;824;11291;18575
Villanueva de Oscos;7132;478;0;478;7132;7132
Las Regueras;6011;679;0;679;6011;6011
Peñamellera Baja;10238;843;0;843;10238;11478
Samartín del Rei Aurelio;23064;2341;192;2341;23256;42809
Noreña;1151;1313;172;1313;1323;17669
Belmonte de Miranda;12228;886;1326;886;13554;15527
Allande;41013;1439;34;1439;41048;42497
Laviana;25102;2722;987;2722;26088;35718
Muros de Nalón;6563;1522;0;1522;6563;15591
Avilés;28494;6175;2246;6175;30741;105415
Oviedo;76828;24970;3102;24970;79930;241095
Caravia;2037;889;0;889;2037;7588
