Sant Llorenç des Cardassar;5374;3599;99;3599;5473;61884
Sencelles;480;475;0;475;480;6934
Binissalem;1101;653;0;653;1101;22606
Llubí;5797;448;0;448;5797;14276
Alaior;2139;11071;0;11071;2139;50577
Esporles;8710;1546;0;1546;8710;35967
Algaida;3307;1656;409;1656;3716;23510
Artà;3304;2324;0;2324;3304;47904
Deià;889;1283;0;1283;889;5306
Andratx;6407;5783;0;5783;6407;85359
Santa Eulària des Riu;184607;7394;214;7394;184821;335896
Sóller;3515;7873;0;7873;3515;42948
Mancor de la Vall;787;271;0;271;787;5958
Llucmajor;11720;7894;0;7894;11720;164147
Santa Eugènia;2749;381;0;381;2749;6902
Lloret de Vistalegre;612;230;0;230;612;4147
Maó;13338;27076;466;27076;13804;92049
Marratxí;24069;5065;83;5065;24152;189904
Lloseta;2664;368;0;368;2664;14958
Sant Antoni de Portmany;118434;8868;58;8868;118492;171300
Sant Joan de Labritja;83382;3224;0;3224;83382;100775
Formentera;31420;3102;250;3102;31670;50829
es Migjorn Gran;2496;1909;0;1909;2496;10317
Petra;2508;1170;0;1170;2508;15946
Ciutadella;17158;29925;19;29925;17177;135968
Santanyí;24670;20786;420;20786;25090;131120
Escorca;4127;1584;0;1584;4127;6017
Palma;74123;25798;363;25798;74486;704338
Son Servera;7897;2088;185;2088;8083;49164
Ariany;378;355;0;355;378;8405
Alcúdia;12979;5378;7;5378;12986;95420
Santa Margalida;5926;2725;0;2725;5926;75328
Selva;1815;1076;0;1076;1815;14409
Vilafranca de Bonany;948;353;0;353;948;16505
sa Pobla;7783;1434;0;1434;7783;51692
Calvià;16360;16406;672;16406;17031;267094
Manacor;32821;19239;0;19239;32821;201501
Sant Lluís;2420;17351;0;17351;2420;70208
Capdepera;7868;4281;0;4281;7868;98355
Santa María del Camí;70;8687;0;8687;70;17848
Campanet;1641;569;0;569;1641;9615
Maria de la Salut;1445;409;0;409;1445;13230
Costitx;2579;248;0;248;2579;5793
Alaró;855;5340;0;5340;855;16379
Campos;6239;3171;0;3171;6239;69940
Pollença;14736;13720;1382;13720;16118;81020
Sant Joan;2362;592;0;592;2362;11987
Puigpunyent;3382;734;0;734;3382;14556
Fornalutx;216;1374;167;1374;383;1398
es Castell;61;7311;0;7311;61;28861
Felanitx;20143;4775;50;4775;20192;91598
Estellencs;2324;264;0;264;2324;4379
Valldemossa;9682;2619;205;2619;9887;19813
Búger;217;214;0;214;217;4891
Montuïri;3734;747;0;747;3734;12051
Inca;6367;2030;0;2030;6367;63900
es Mercadal;7780;9038;0;9038;7780;62185
Muro;3002;2391;0;2391;3002;40487
Sineu;4363;753;132;753;4495;19511
Banyalbufar;0;1065;0;1065;0;5661
Bunyola;3033;1831;0;1831;3033;40648
Ferreries;4200;3138;0;3138;4200;17020
Eivissa;13913;4875;99;4875;14012;73153
ses Salines;1715;1972;14;1972;1729;34098
Porreres;2551;983;163;983;2714;16411
Sant Josep de sa Talaia;120252;9133;632;9133;120884;234289
Consell;1288;394;0;394;1288;10738
