La Victoria de Acentejo;1656;886;0;886;1656;24877
Gáldar;1576;4531;89;4531;1664;97318
San Cristóbal de La Laguna;54378;17765;468;17765;54846;385693
Tejeda;533;1969;0;1969;533;12107
Los Silos;560;7106;0;7106;560;20656
Los Llanos de Aridane;17546;5864;0;5864;17546;67628
Garafía;12459;3652;0;3652;12459;14277
Agüimes;1789;7025;541;7025;2329;113794
Los Realejos;26722;4839;0;4839;26722;98003
La Aldea de San Nicolás;261;2137;0;2137;261;39754
Antigua;5055;6736;0;6736;5055;65520
Yaiza;2941;14894;25083;14894;28024;169829
Puntallana;8006;2161;0;2161;8006;12903
Tijarafe;14280;2746;0;2746;14280;26286
La Guancha;6243;929;0;929;6243;24255
Tegueste;4561;1059;0;1059;4561;42805
Tinajo;428;3904;0;3904;428;46791
Ingenio;553;2548;78;2548;631;100694
Arucas;1657;2946;0;2946;1657;90613
El Rosario;5445;13704;89;13704;5534;58458
Tuineje;19512;7844;465;7844;19977;69921
Santiago del Teide;3096;9310;0;9310;3096;30943
Santa Cruz de Tenerife;22361;32040;25;32040;22385;343421
Telde;2344;7391;158;7391;2502;239756
Garachico;4880;5185;0;5185;4880;24305
Valsequillo de Gran Canaria;640;1186;0;1186;640;50401
Güímar;13026;10416;0;10416;13026;58451
Frontera;1666;5838;74;5838;1740;20494
Santa María de Guía de Gran Canaria;423;2245;0;2245;423;40608
Arona;49877;10439;428;10439;50304;207839
Valle Gran Rey;2197;2891;321;2891;2518;17027
Puntagorda;6268;1981;0;1981;6268;25158
Fuencaliente de la Palma;7941;1795;0;1795;7941;17128
Teguise;1657;15071;2030;15071;3687;162113
San Miguel de Abona;36805;3155;0;3155;36805;91891
Tazacorte;2535;1930;0;1930;2535;8121
Mogán;1932;5931;0;5931;1932;85131
Moya;162;1143;0;1143;162;30926
Vallehermoso;11851;3211;2777;3211;14628;19057
Breña Baja;7703;3993;367;3993;8070;30718
Haría;299;4198;0;4198;299;36846
Santa Lucía de Tirajana;5555;2965;0;2965;5555;127484
Artenara;348;1209;0;1209;348;6599
San Andrés y Sauces;6906;1291;0;1291;6906;17829
Hermigua;6361;1894;53;1894;6414;7021
Villa de Mazo;24499;2896;0;2896;24499;31515
Adeje;34750;12562;296;12562;35046;140355
Firgas;289;840;0;840;289;32837
Granadilla de Abona;29682;8495;6678;8495;36360;149791
El Pinar de El Hierro;7493;3176;0;3176;7493;18371
Pájara;3458;12652;1159;12652;4617;61462
Buenavista del Norte;6737;9617;1079;9617;7816;24683
Santa Úrsula;3578;6436;0;6436;3578;56934
El Paso;13939;5801;0;5801;13939;52473
Valverde;10127;9268;107;9268;10234;42927
Guía de Isora;9244;19174;0;19174;9244;61879
San Juan de la Rambla;7188;1342;0;1342;7188;21248
Betancuria;2394;2112;0;2112;2394;8315
Teror;234;1277;0;1277;234;35370
Breña Alta;17533;2417;0;2417;17533;43866
Icod de los Vinos;55513;3144;0;3144;55513;104292
Alajeró;10913;1548;614;1548;11527;15622
San Sebastián de la Gomera;16682;4484;1816;4484;18498;30538
Tacoronte;17365;1639;0;1639;17365;91521
Valleseco;245;906;0;906;245;18918
La Oliva;38670;12188;433;12188;39103;200600
Puerto de la Cruz;5797;5221;0;5221;5797;65578
Arafo;5497;6888;0;6888;5497;28121
Candelaria;18305;19078;0;19078;18305;71522
El Tanque;4853;3985;0;3985;4853;17495
Arico;14224;4456;0;4456;14224;58038
El Sauzal;7014;1237;0;1237;7014;38641
Vilaflor;3141;1836;0;1836;3141;8631
Fasnia;3544;1170;0;1170;3544;18121
Barlovento;8584;1293;0;1293;8584;12596
Vega de San Mateo;1333;1705;0;1705;1333;27460
San Bartolomé;1037;5855;2111;5855;3148;62773
Las Palmas de Gran Canaria;19147;40885;559;40885;19706;523622
Arrecife;4115;4921;0;4921;4115;115847
Tías;3717;9234;2060;9234;5777;112689
Santa Cruz de la Palma;5710;1739;0;1739;5710;24716
San Bartolomé de Tirajana;7255;33003;472;33003;7727;191625
La Matanza de Acentejo;6664;1055;0;1055;6664;26691
Agulo;5674;893;397;893;6071;6856
La Orotava;58748;5162;0;5162;58748;151803
Santa Brígida;1031;1564;0;1564;1031;69432
Puerto del Rosario;87401;8792;0;8792;87401;174599
Agaete;777;2300;1981;2300;2758;20538
