Montorio;0;258;0;258;0;4625
Villambistia;0;58;0;58;0;1751
Pedrosa de Río Úrbel;1058;310;0;310;1058;5050
Ibrillos;881;27;0;27;881;881
Merindad de Sotoscueva;7735;3705;0;3705;7735;20649
Pedrosa de Duero;7861;274;0;274;7861;9805
Las Hormazas;2538;200;0;200;2538;2964
Sarracín;0;289;0;289;0;3011
Cascajares de la Sierra;990;111;0;111;990;2013
Cabezón de la Sierra;0;230;0;230;0;2287
Mahamud;439;248;0;248;439;3805
Villafruela;613;211;0;211;613;3887
Quintanilla del Coco;503;104;0;104;503;1740
Quintanaélez;1125;114;0;114;1125;2083
Villaverde-Mogina;2223;103;0;103;2223;3259
Retuerta;386;77;0;77;386;2069
Medina de Pomar;2208;11070;377;11070;2585;96842
Barbadillo del Pez;1530;139;0;139;1530;2071
Barrios de Colina;378;137;0;137;378;787
Rojas;0;102;0;102;0;2378
Coruña del Conde;203;223;0;223;203;3204
Villangómez;119;344;0;344;119;6297
Regumiel de la Sierra;4198;187;0;187;4198;6082
Torresandino;7388;419;0;419;7388;8033
Barbadillo de Herreros;1024;480;0;480;1024;3260
Cillaperlata;0;117;0;117;0;1815
Cayuela;165;215;0;215;165;3643
Torrelara;0;289;0;289;0;1759
Villanueva de Carazo;770;48;0;48;770;1194
Villahoz;2002;665;58;665;2060;7025
Alcocero de Mola;496;69;0;69;496;1538
Castrillo del Val;1680;897;293;897;1973;12523
Cavia;371;325;24;325;395;3768
Solarana;809;78;0;78;809;3443
Itero del Castillo;1440;154;0;154;1440;2966
Carrias;315;33;0;33;315;1202
Arauzo de Salce;0;178;0;178;0;1552
Arlanzón;4763;740;13;740;4776;9945
Padilla de Arriba;353;94;0;94;353;1847
Valdorros;1044;283;41;283;1086;9440
Santo Domingo de Silos;1063;980;27;980;1091;8097
Zael;1836;106;0;106;1836;1836
Tamarón;968;120;0;120;968;1560
Valle de Tobalina;2511;1278;401;1278;2912;30843
Abajas;7;144;0;144;7;2506
Fresnillo de las Dueñas;694;507;0;507;694;4861
Castrillo de la Vega;3159;386;0;386;3159;7384
Estépar;11973;1196;0;1196;11973;18802
Quintanapalla;30;199;0;199;30;2544
Hornillos del Camino;414;102;12;102;426;1144
Zuñeda;0;55;0;55;0;1688
Moradillo de Roa;248;95;0;95;248;3493
Madrigalejo del Monte;2561;287;0;287;2561;5238
Los Ausines;1384;330;0;330;1384;4125
Valles de Palenzuela;2032;149;0;149;2032;2137
Quintana del Pidio;3108;132;0;132;3108;3108
Villanueva de Teba;94;40;0;40;94;1949
Santa Olalla de Bureba;405;116;0;116;405;1730
Sargentes de la Lora;2324;339;0;339;2324;4781
Pardilla;1317;383;0;383;1317;2294
Gumiel de Izán;1778;693;0;693;1778;10238
Partido de la Sierra en Tobalina;0;87;0;87;0;1931
Monasterio de Rodilla;388;368;177;368;565;3227
Ibeas de Juarros;3673;1434;0;1434;3673;19001
Barrio de Muñó;893;45;0;45;893;893
Jaramillo Quemado;0;208;0;208;0;2863
Berzosa de Bureba;0;35;0;35;0;1230
Monasterio de la Sierra;0;50;0;50;0;1060
Vizcaínos;944;100;0;100;944;944
Valle de Zamanzas;1344;277;0;277;1344;3824
Valle de Valdelucio;7141;1250;0;1250;7141;9576
Grijalba;2425;147;0;147;2425;2464
Arauzo de Torre;39;349;0;349;39;1681
Vileña;85;23;0;23;85;734
Valdezate;0;87;0;87;0;3175
Comunidad de Merindad de Río Ubierna, Quintanilla Vivar y Sotragero;0;1;0;1;0;0
Las Quintanillas;715;551;57;551;771;5021
Peral de Arlanza;147;789;0;789;147;3634
Valle de Sedano;904;3457;0;3457;904;15582
Orbaneja Riopico;645;261;24;261;669;3226
Villamayor de Treviño;849;110;0;110;849;2051
Navas de Bureba;630;40;0;40;630;2106
Revilla Vallejera;5655;205;0;205;5655;6662
Milagros;3692;180;88;180;3780;7077
Villagalijo;1528;55;0;55;1528;1528
Arija;0;664;0;664;0;7949
San Vicente del Valle;621;41;0;41;621;1501
Junta de Traslaloma;8461;373;0;373;8461;11340
Rábanos;1163;109;0;109;1163;2213
Valle de Losa;10793;1425;0;1425;10793;45093
Belorado;3891;933;0;933;3891;15182
Redecilla del Campo;1537;98;0;98;1537;3442
Zazuar;0;2290;0;2290;0;4921
Palazuelos de la Sierra;1834;68;0;68;1834;2297
Berberana;255;222;0;222;255;3426
Madrigal del Monte;24;493;0;493;24;4116
Villamayor de los Montes;1047;288;0;288;1047;4980
Fresno de Rodilla;0;103;0;103;0;1248
Frandovínez;76;322;0;322;76;2978
Pinilla de los Barruecos;265;392;0;392;265;3060
La Vid y Barrios;2705;372;0;372;2705;6083
Santibáñez de Esgueva;2552;122;0;122;2552;2552
Manciles;794;34;0;34;794;1101
Pineda de la Sierra;2373;194;0;194;2373;2418
Comunidad de Vizcaínos y Jaramillo de la Fuente;0;1;0;1;0;0
Cantabrana;27;40;0;40;27;1002
Merindad de Valdivielso;13851;1098;0;1098;13851;17431
Barbadillo del Mercado;1194;255;0;255;1194;5609
Monterrubio de la Demanda;1178;97;0;97;1178;2484
Vadocondes;133;626;2;626;135;4149
Rubena;0;252;0;252;0;2165
Burgos;8367;53150;2654;53150;11021;299252
Huerta de Arriba;1867;143;154;143;2021;2734
Villafranca Montes de Oca;2252;548;72;548;2324;3922
Santa Cruz de la Salceda;1166;132;0;132;1166;3049
Alfoz de Bricia;7086;358;0;358;7086;8370
Moncalvillo;3046;35;0;35;3046;3046
Ledanía de Castrillo de la Reina, Hacinas y Salas de los Infantes;0;53;0;53;0;0
Pedrosa del Príncipe;347;212;0;212;347;3101
Belbimbre;1158;87;0;87;1158;1532
Hontangas;1336;65;0;65;1336;2758
Llano de Bureba;357;75;0;75;357;1527
La Revilla y Ahedo;730;254;0;254;730;5587
Villadiego;183;2499;0;2499;183;40375
Pineda Trasmonte;509;182;0;182;509;2738
Fuentebureba;0;171;0;171;0;1992
Tosantos;182;67;0;67;182;2110
Villaverde del Monte;3786;203;0;203;3786;5481
Campillo de Aranda;313;77;0;77;313;2381
Villanueva de Argaño;721;167;0;167;721;2280
Villalbilla de Gumiel;2569;52;0;52;2569;2569
Reinoso;786;46;0;46;786;786
Santa Gadea del Cid;122;106;0;106;122;3568
Comunidad de Cubillo del Campo y Hontoria de la Cantera;0;51;0;51;0;0
Fresneña;5007;98;0;98;5007;5989
Castrillo de la Reina;1265;137;0;137;1265;5221
Monte Revenga;0;43;0;43;0;0
Villatuelda;742;293;24;293;766;2333
Alfoz de Santa Gadea;1673;208;0;208;1673;6154
Celada del Camino;1116;142;0;142;1116;3216
La Horra;2920;280;0;280;2920;5616
Pinilla de los Moros;722;76;0;76;722;1699
Merindad de Montija;503;2956;0;2956;503;29737
