Boceguillas;2777;354;0;354;2777;11381
Fuenterrebollo;1916;80;0;80;1916;8270
Olombrada;1449;161;0;161;1449;11008
Aldehuela del Codonal;2338;116;0;116;2338;2338
Martín Muñoz de las Posadas;758;186;0;186;758;7758
Honrubia de la Cuesta;3287;124;0;124;3287;4590
Carrascal del Río;2216;111;0;111;2216;3836
Navares de las Cuevas;61;93;0;93;61;1434
Valseca;1287;109;0;109;1287;2842
Valleruela de Pedraza;0;37;0;37;0;1865
Arahuetes;0;23;0;23;0;1217
Cobos de Fuentidueña;342;49;0;49;342;1690
Valdeprados;1302;64;0;64;1302;1302
Languilla;2748;57;0;57;2748;3673
Fuente de Santa Cruz;2674;34;0;34;2674;2674
Cerezo de Arriba;15;363;0;363;15;3480
Aldeanueva de la Serrezuela;1916;48;0;48;1916;2119
Mata de Cuéllar;790;79;0;79;790;4206
Cubillo;1580;24;0;24;1580;1580
Riaguas de San Bartolomé;2236;44;0;44;2236;2236
Cabezuela;1406;111;0;111;1406;9390
Encinas;1773;20;0;20;1773;1773
Maderuelo;402;553;0;553;402;2844
El Espinar;15360;3091;512;3091;15872;124504
Sequera de Fresno;0;57;0;57;0;1585
Valdevacas y Guijar;1743;30;0;30;1743;1743
Monterrubio;1475;25;0;25;1475;1475
San Pedro de Gaíllos;0;195;0;195;0;7020
Donhierro;1295;21;0;21;1295;1295
Bernardos;31;151;0;151;31;7582
Torreadrada;958;79;0;79;958;3415
Anaya;2238;82;0;82;2238;2238
Sebúlcor;2058;59;0;59;2058;4985
Valtiendas;2473;123;0;123;2473;2570
Valleruela de Sepúlveda;166;40;0;40;166;1676
Cuéllar;23396;1627;0;1627;23396;56857
San Cristóbal de la Vega;2661;68;0;68;2661;2661
Aldealengua de Pedraza;14;159;0;159;14;3429
Frumales;993;62;0;62;993;5175
Prádena;116;288;0;288;116;10576
Gomezserracín;7054;149;0;149;7054;9023
Corral de Ayllón;415;76;0;76;415;3213
Martín Muñoz de la Dehesa;7000;98;0;98;7000;7000
Vegas de Matute;12002;112;0;112;12002;13542
Turégano;2311;372;0;372;2311;12023
Fresno de Cantespino;2538;355;0;355;2538;27913
Hontanares de Eresma;525;97;0;97;525;7627
Santiuste de San Juan Bautista;7969;128;0;128;7969;8529
San Miguel de Bernuy;1093;112;0;112;1093;2884
Ortigosa de Pestaño;0;26;0;26;0;1284
Aldealcorvo;0;77;0;77;0;1533
Escalona del Prado;121;232;0;232;121;6111
Lastras de Cuéllar;2303;253;0;253;2303;10337
Carabias;2525;102;0;102;2525;3310
Pinarejos;3127;97;0;97;3127;3127
Castrojimeno;975;85;0;85;975;2561
Navafría;0;882;0;882;0;3789
Laguna de Contreras;550;42;0;42;550;3285
Navares de Enmedio;3013;62;0;62;3013;3013
Roda de Eresma;1849;48;0;48;1849;1849
Rapariegos;3014;56;0;56;3014;3014
Aldealengua de Santa María;2525;37;0;37;2525;2525
Marazuela;1862;37;0;37;1862;1862
Valle de Tabladillo;269;49;0;49;269;2010
Ituero y Lama;1654;876;1171;876;2825;18409
Sacramenia;6275;679;0;679;6275;7631
Marazoleja;2211;48;0;48;2211;2211
Cilleruelo de San Mamés;245;21;0;21;245;1953
San Martín y Mudrián;4611;119;0;119;4611;4611
Añe;188;51;0;51;188;1853
Cuevas de Provanco;4366;61;0;61;4366;4366
Orejana;1228;82;0;82;1228;2369
Zarzuela del Monte;2445;277;0;277;2445;10031
Santa Marta del Cerro;0;33;0;33;0;1307
Pedraza;777;385;0;385;777;6173
Real Sitio de San Ildefonso;9062;2203;298;2203;9360;30426
Casla;0;78;0;78;0;4426
Montejo de la Vega de la Serrezuela;1048;103;0;103;1048;1975
Fresno de la Fuente;614;74;0;74;614;2090
Vallelado;2850;97;0;97;2850;7861
Ayllón;6342;1474;0;1474;6342;15310
Hontalbilla;249;93;0;93;249;7338
Veganzones;246;148;0;148;246;4170
Torrecaballeros;2946;210;0;210;2946;12733
San Cristóbal de Cuéllar;32;64;0;64;32;2591
Riaza;7860;1506;492;1506;8352;27458
Valverde del Majano;5537;240;0;240;5537;11140
Tolocirio;1737;38;0;38;1737;1737
Segovia;16302;6995;543;6995;16845;111577
Otero de Herreros;14871;355;0;355;14871;16383
Sangarcía;3595;92;0;92;3595;6930
Pinarnegrillo;795;716;0;716;795;3238
Ribota;846;40;0;40;846;1641
Carbonero el Mayor;8478;978;0;978;8478;20029
Bernuy de Porreros;2391;124;0;124;2391;7694
Santo Tomé del Puerto;1119;491;0;491;1119;8715
Ortigosa del Monte;5524;177;0;177;5524;9858
