Matalebreras;1124;84;0;84;1124;2563
Burgo de Osma-Ciudad de Osma;4059;1388;0;1388;4059;48701
Barca;68;218;0;218;68;3185
Blacos;1083;38;0;38;1083;1327
San Felices;1775;65;0;65;1775;1775
Rello;1311;246;0;246;1311;1819
Herrera de Soria;1087;59;0;59;1087;1087
Santa Cruz de Yanguas;3071;68;0;68;3071;3071
La Póveda de Soria;2779;137;0;137;2779;2844
Cidones;2636;313;0;313;2636;13040
Cubilla;0;53;0;53;0;1031
Arenillas;1560;21;0;21;1560;1560
Adradas;4020;294;0;294;4020;4020
Cerbón;1518;26;0;26;1518;1518
Fuentestrún;1929;19;0;19;1929;1929
Beratón;2299;42;0;42;2299;2299
Los Villares de Soria;0;50;0;50;0;2783
Valdeavellano de Tera;1095;118;1261;118;2356;4007
Pinilla del Campo;988;12;0;12;988;988
Portillo de Soria;339;8;0;8;339;339
Buberos;901;24;0;24;901;901
Renieblas;3631;81;0;81;3631;3631
Sotillo del Rincón;2964;183;0;183;2964;4812
Velilla de la Sierra;288;70;0;70;288;598
Frechilla de Almazán;1857;103;0;103;1857;1857
Castilruiz;3126;85;0;85;3126;4752
Taroda;2533;54;0;54;2533;2533
Nafría de Ucero;1642;108;0;108;1642;2786
Alentisque;1243;50;0;50;1243;1243
San Esteban de Gormaz;1774;2587;0;2587;1774;39312
Santa María de las Hoyas;169;166;0;166;169;3932
Carabantes;861;20;0;20;861;861
Yelo;2029;166;0;166;2029;2029
Cubo de la Solana;2862;449;0;449;2862;6229
Fuentearmegil;444;171;0;171;444;6169
Narros;1770;22;0;22;1770;1770
Calatañazor;816;265;0;265;816;1527
Deza;5085;371;0;371;5085;5830
Espejón;0;64;0;64;0;2007
Miño de Medinaceli;2170;255;0;255;2170;2548
Fresno de Caracena;972;26;0;26;972;972
Hinojosa del Campo;2399;17;0;17;2399;2399
Trévago;1961;25;0;25;1961;1961
Bayubas de Abajo;553;104;0;104;553;2606
Velilla de los Ajos;641;22;0;22;641;641
Arcos de Jalón;19501;1687;0;1687;19501;28812
Santa María de Huerta;469;272;0;272;469;5072
Baraona;5900;417;0;417;5900;6250
Villaseca de Arciel;615;20;0;20;615;615
Candilichera;1688;49;310;49;1998;2158
Serón de Nágima;1058;107;0;107;1058;5290
Casarejos;506;425;0;425;506;3370
Valdelagua del Cerro;566;6;0;6;566;566
Valtajeros;1051;24;0;24;1051;1084
Tajahuerce;1232;15;0;15;1232;1232
Alconaba;1829;216;0;216;1829;5784
Dévanos;1593;36;0;36;1593;1593
Aliud;948;27;0;27;948;948
Ágreda;10147;631;133;631;10280;19310
Villasayas;1917;431;0;431;1917;2523
Villanueva de Gormaz;1452;16;0;16;1452;1452
Tajueco;1614;30;0;30;1614;1614
Almazán;2254;1106;0;1106;2254;31294
Fuentecambrón;1112;68;0;68;1112;1112
Noviercas;1354;122;0;122;1354;7720
Cueva de Ágreda;0;52;0;52;0;1046
Monteagudo de las Vicarías;2441;226;0;226;2441;4790
Rollamienta;1225;42;0;42;1225;1225
Vozmediano;1703;70;0;70;1703;1997
Bliecos;1052;23;0;23;1052;1052
El Royo;4461;236;0;236;4461;7416
Aldealseñor;1566;24;0;24;1566;1566
Los Rábanos;8769;415;0;415;8769;12212
Vadillo;0;98;0;98;0;1920
Aldealpozo;1072;59;0;59;1072;1072
Liceras;1837;243;0;243;1837;1837
Quintanas de Gormáz;0;79;0;79;0;2327
Navaleno;1309;601;0;601;1309;9553
Fuentelmonge;854;93;353;93;1207;1207
Cañamaque;1772;30;0;30;1772;1772
Yanguas;1043;289;0;289;1043;2970
Muriel Viejo;359;42;0;42;359;1160
