Melgar de Arriba;0;88;0;88;0;3849
Pollos;661;174;0;174;661;7428
Valverde de Campos;0;394;0;394;0;1987
La Parrilla;178;174;0;174;178;6700
San Martín de Valvení;662;153;0;153;662;2553
Geria;0;256;0;256;0;3676
Valdearcos de la Vega;99;36;0;36;99;1013
Castrillo de Duero;520;177;0;177;520;4077
Viloria;235;95;0;95;235;4919
Camporredondo;283;110;0;110;283;3294
Viana de Cega;866;378;0;378;866;26292
Morales de Campos;0;92;0;92;0;2451
Urones de Castroponce;0;105;0;105;0;2882
Villafrechós;0;303;0;303;0;6620
San Pablo de la Moraleja;181;132;0;132;181;2539
La Pedraja de Portillo;1969;532;0;532;1969;10957
Villalán de Campos;0;58;0;58;0;1389
Mucientes;16;236;0;236;16;7066
Fombellida;712;290;0;290;712;3680
Herrín de Campos;0;126;0;126;0;2868
Corcos;2854;211;0;211;2854;5779
Tordesillas;292;2133;182;2133;473;69810
Nava del Rey;1067;410;0;410;1067;14579
Torrescárcela;69;41;0;41;69;1874
Villanueva de Duero;6956;346;0;346;6956;22445
Canillas de Esgueva;318;123;0;123;318;2781
Valladolid;30873;20778;2677;20778;33550;439389
Villavellid;0;86;0;86;0;1856
Barcial de la Loma;0;110;0;110;0;3307
San Pelayo;0;34;0;34;0;1198
Melgar de Abajo;0;77;0;77;0;3539
Laguna de Duero;6240;6018;0;6018;6240;83257
Rueda;3458;594;0;594;3458;17135
Villabáñez;969;148;0;148;969;10713
Villacarralón;0;71;0;71;0;2314
Villafuerte;415;96;0;96;415;2317
Olmedo;3087;1975;0;1975;3087;20065
Cabreros del Monte;0;105;0;105;0;2699
Barruelo del Valle;0;55;0;55;0;1881
Valdunquillo;0;158;0;158;0;4504
Curiel de Duero;881;143;0;143;881;3239
Cogeces de Íscar;495;89;0;89;495;2678
Castronuevo de Esgueva;826;117;0;117;826;6184
Amusquillo;418;489;0;489;418;2616
Quintanilla de Trigueros;0;44;0;44;0;1550
Adalia;0;52;0;52;0;2675
Velilla;0;116;0;116;0;2119
Villardefrades;0;282;0;282;0;2962
Bocigas;34;72;0;72;34;1718
Pedrajas de San Esteban;745;213;0;213;745;24696
La Mudarra;0;125;0;125;0;2396
Pozuelo de la Orden;0;49;0;49;0;2335
Valdestillas;1342;397;0;397;1342;13621
Villagómez la Nueva;0;61;0;61;0;3923
Carpio;887;218;0;218;887;10362
Manzanillo;36;18;0;18;36;648
Nueva Villa de las Torres;135;53;0;53;135;3705
Villalbarba;0;68;0;68;0;3397
Arroyo de la Encomienda;2656;2209;105;2209;2761;67686
Torre de Peñafiel;388;83;0;83;388;2717
Vega de Ruiponce;0;48;0;48;0;3695
Trigueros del Valle;1190;481;0;481;1190;4524
Ceinos de Campos;0;143;0;143;0;4872
Quintanilla del Molar;0;42;0;42;0;1398
Encinas de Esgueva;1142;148;0;148;1142;4824
Villalba de la Loma;0;41;0;41;0;1981
Saelices de Mayorga;0;42;0;42;0;3405
Villafrades de Campos;0;62;0;62;0;4059
Robladillo;0;32;0;32;0;1128
Peñafiel;5068;839;0;839;5068;28069
Villacid de Campos;0;81;0;81;0;2871
Bocos de Duero;369;60;0;60;369;663
Castromembibre;0;71;0;71;0;2379
San Pedro de Latarce;0;174;0;174;0;7105
Berrueces;0;195;0;195;0;3099
Fuensaldaña;0;292;0;292;0;26033
Fompedraza;523;62;0;62;523;2364
Ventosa de la Cuesta;586;74;0;74;586;2330
Moraleja de las Panaderas;564;56;0;56;564;1321
Íscar;2310;474;332;474;2643;32892
Moral de la Reina;0;147;0;147;0;4147
Berceruelo;0;145;0;145;0;1476
Santibáñez de Valcorba;377;79;0;79;377;3821
Santovenia de Pisuerga;4935;390;0;390;4935;17195
Puras;0;26;0;26;0;686
Torrecilla de la Torre;0;16;0;16;0;725
San Miguel del Arroyo;1898;297;0;297;1898;12564
Mota del Marqués;0;702;0;702;0;6121
Pozaldez;431;131;0;131;431;7342
Roales de Campos;0;85;0;85;0;3669
Villavaquerín;106;81;0;81;106;1964
Rubí de Bracamonte;12;53;0;53;12;3250
Castroponce;0;109;0;109;0;3690
Medina de Rioseco;0;833;0;833;0;23031
Valoria la Buena;538;290;0;290;538;6259
Aldea de San Miguel;228;207;0;207;228;4421
Vega de Valdetronco;0;85;0;85;0;1956
Piñel de Abajo;37;874;0;874;37;2525
Becilla de Valderaduey;0;393;0;393;0;5904
Tordehumos;0;103;0;103;0;6701
Cervillego de la Cruz;636;65;0;65;636;3276
Fontihoyuelo;0;42;0;42;0;1700
Villaco;538;90;0;90;538;1687
Piñel de Arriba;170;451;0;451;170;2487
Villán de Tordesillas;0;62;0;62;0;2622
Cubillas de Santa Marta;0;137;0;137;0;1970
Bercero;0;358;0;358;0;2670
Renedo de Esgueva;2437;243;0;243;2437;24664
Castrodeza;0;89;0;89;0;7616
San Llorente;310;93;0;93;310;2036
Pozal de Gallinas;2677;164;0;164;2677;9065
Villalón de Campos;0;368;0;368;0;15558
Villalba de los Alcores;0;192;0;192;0;4958
Aguasal;228;89;0;89;228;1227
La Seca;945;314;0;314;945;10926
Urueña;0;445;0;445;0;3118
Castroverde de Cerrato;904;146;0;146;904;2512
Bolaños de Campos;0;128;0;128;0;4947
Santervás de Campos;0;170;0;170;0;5770
Esguevillas de Esgueva;1674;330;34;330;1707;5513
Cistérniga;7090;680;64;680;7155;30342
Mayorga;0;352;0;352;0;13713
La Unión de Campos;0;147;0;147;0;5779
Villasexmir;0;41;0;41;0;1565
Monasterio de Vega;0;31;0;31;0;1644
Peñaflor de Hornija;0;282;0;282;0;4368
Gatón de Campos;0;52;0;52;0;1958
Torrecilla de la Orden;763;117;0;117;763;5916
Velascálvaro;55;31;0;31;55;3035
San Cebrián de Mazote;0;166;0;166;0;3536
Castrillo-Tejeriego;647;125;39;125;687;2990
Rábano;568;113;0;113;568;3312
Mojados;12189;418;0;418;12189;33311
Montemayor de Pililla;659;256;0;256;659;12382
Benafarces;0;62;0;62;0;1921
San Miguel del Pino;44;75;0;75;44;3680
Alaejos;919;294;0;294;919;13210
Aldeamayor de San Martín;19384;2178;166;2178;19550;76376
Villanueva de San Mancio;0;283;0;283;0;2498
Piña de Esgueva;146;63;0;63;146;3297
Matapozuelos;3288;1142;0;1142;3288;15570
Villarmentero de Esgueva;531;42;0;42;531;1784
Bahabón;219;55;0;55;219;3346
Campaspero;708;150;63;150;771;9234
Velliza;0;99;0;99;0;4096
Ciguñuela;0;108;0;108;0;3831
Medina del Campo;5653;7782;0;7782;5653;55964
La Zarza;746;64;0;64;746;1854
El Campillo;940;100;0;100;940;5476
Villaverde de Medina;772;172;0;172;772;5614
Castromonte;0;306;0;306;0;6211
Torre de Esgueva;436;240;0;240;436;1762
Santa Eufemia del Arroyo;0;321;0;321;0;2525
Sardón de Duero;1773;162;128;162;1901;7366
Portillo;14;3473;0;3473;14;17244
Langayo;814;90;0;90;814;4657
Cuenca de Campos;0;142;0;142;0;3537
Villanueva de los Infantes;56;33;0;33;56;2063
Fuente-Olmedo;244;61;0;61;244;2187
Villanubla;0;629;0;629;0;16047
Villabrágima;0;156;0;156;0;8155
Zaratán;2597;586;0;586;2597;24375
San Vicente del Palacio;654;139;0;139;654;2778
Salvador de Zapardiel;543;87;0;87;543;3045
Castrobol;0;21;0;21;0;2704
Villabaruz de Campos;0;47;0;47;0;1637
Canalejas de Peñafiel;54;78;0;78;54;4880
Ramiro;80;36;0;36;80;1439
Cabezón de Valderaduey;0;30;0;30;0;1696
Cogeces del Monte;474;126;0;126;474;6385
Tudela de Duero;16282;881;646;881;16928;57034
Serrada;599;259;0;259;599;9794
Muriel;134;79;0;79;134;2911
Casasola de Arión;0;200;0;200;0;5706
Tamariz de Campos;0;192;0;192;0;4150
Bobadilla del Campo;225;119;0;119;225;5382
Traspinedo;10208;225;0;225;10208;24132
Valbuena de Duero;1799;215;0;215;1799;5623
Gallegos de Hornija;0;50;0;50;0;1930
Olmos de Esgueva;0;47;0;47;0;2985
San Salvador;0;34;0;34;0;1187
Villafranca de Duero;175;96;0;96;175;4310
Montealegre de Campos;0;151;0;151;0;3154
Hornillos de Eresma;979;118;0;118;979;2765
Villanueva de la Condesa;0;24;0;24;0;1080
Villagarcía de Campos;0;115;0;115;0;4410
Marzales;0;39;0;39;0;1494
Alcazarén;2003;236;0;236;2003;10164
San Román de Hornija;0;130;0;130;0;5305
Corrales de Duero;89;30;0;30;89;1597
Castrejón de Trabancos;1487;81;0;81;1487;5153
Almenara de Adaja;0;38;0;38;0;563
Villanueva de los Caballeros;0;154;0;154;0;4513
Valdenebro de los Valles;0;530;0;530;0;3990
Fresno el Viejo;707;261;0;261;707;8130
Lomoviejo;703;62;0;62;703;2812
Torrecilla de la Abadesa;0;100;0;100;0;2684
Torrelobatón;0;177;0;177;0;7166
Tiedra;0;198;0;198;0;6765
Olmos de Peñafiel;225;51;0;51;225;1381
Wamba;28;429;0;429;28;2494
Aguilar de Campos;0;125;0;125;0;5374
Quintanilla de Onésimo;3656;269;0;269;3656;13750
Matilla de los Caños;0;58;0;58;0;1404
Brahojos de Medina;190;88;0;88;190;3283
Villavicencio de los Caballeros;0;138;0;138;0;6119
Boecillo;14352;909;52;909;14405;69769
Villalar de los Comuneros;0;120;0;120;0;5016
Siete Iglesias de Trabancos;482;221;0;221;482;7912
Megeces;104;95;0;95;104;5630
Castronuño;139;253;0;253;139;8488
Simancas;4072;1032;56;1032;4128;40602
Fuente el Sol;0;74;0;74;0;2145
Ataquines;1681;192;0;192;1681;6851
Pesquera de Duero;598;222;0;222;598;4528
Olivares de Duero;793;115;0;115;793;3706
Villamuriel de Campos;0;60;0;60;0;2525
Pedrosa del Rey;0;169;0;169;0;4626
Palazuelo de Vedija;0;130;0;130;0;4842
Roturas;0;215;0;215;0;1527
Cigales;334;512;0;512;334;20430
Bustillo de Chaves;0;37;0;37;0;2603
Llano de Olmedo;0;35;0;35;0;1791
Quintanilla de Arriba;407;115;0;115;407;2225
Cabezón de Pisuerga;6977;538;0;538;6977;24394
